"combine","Freq","type","n","unique"
"0011",53,"synthetic",1,"0100"
"0100",89,"synthetic",1,"0100"
"0101",77,"synthetic",1,"0100"
"0110",72,"synthetic",1,"0100"
"0111",82,"synthetic",1,"0100"
"1000",61,"synthetic",1,"0100"
"1001",51,"synthetic",1,"0100"
"1010",99,"synthetic",1,"0100"
"1011",52,"synthetic",1,"0100"
"1100",72,"synthetic",1,"0100"
"1101",52,"synthetic",1,"0100"
"1110",57,"synthetic",1,"0100"
"0000",70,"original",1,"0100"
"0001",61,"original",1,"0100"
"0010",67,"original",1,"0100"
"0011",53,"original",1,"0100"
"0100",78,"original",1,"0100"
"0101",74,"original",1,"0100"
"0110",67,"original",1,"0100"
"0111",80,"original",1,"0100"
"1000",54,"original",1,"0100"
"1001",65,"original",1,"0100"
"1010",93,"original",1,"0100"
"1011",60,"original",1,"0100"
"1100",64,"original",1,"0100"
"1101",56,"original",1,"0100"
"1110",58,"original",1,"0100"
"0000",66,"synthetic",1,"1100"
"0001",76,"synthetic",1,"1100"
"0010",70,"synthetic",1,"1100"
"0011",42,"synthetic",1,"1100"
"0100",68,"synthetic",1,"1100"
"0101",81,"synthetic",1,"1100"
"0110",71,"synthetic",1,"1100"
"0111",77,"synthetic",1,"1100"
"1000",66,"synthetic",1,"1100"
"1001",70,"synthetic",1,"1100"
"1010",77,"synthetic",1,"1100"
"1011",58,"synthetic",1,"1100"
"1100",69,"synthetic",1,"1100"
"1101",59,"synthetic",1,"1100"
"1110",50,"synthetic",1,"1100"
"0000",70,"original",1,"1100"
"0001",61,"original",1,"1100"
"0010",67,"original",1,"1100"
"0011",53,"original",1,"1100"
"0100",77,"original",1,"1100"
"0101",74,"original",1,"1100"
"0110",67,"original",1,"1100"
"0111",80,"original",1,"1100"
"1000",54,"original",1,"1100"
"1001",65,"original",1,"1100"
"1010",93,"original",1,"1100"
"1011",60,"original",1,"1100"
"1100",65,"original",1,"1100"
"1101",56,"original",1,"1100"
"1110",58,"original",1,"1100"
"0000",66,"synthetic",1,"0010"
"0001",64,"synthetic",1,"0010"
"0010",70,"synthetic",1,"0010"
"0011",55,"synthetic",1,"0010"
"0100",63,"synthetic",1,"0010"
"0101",84,"synthetic",1,"0010"
"0110",66,"synthetic",1,"0010"
"0111",69,"synthetic",1,"0010"
"1000",41,"synthetic",1,"0010"
"1001",57,"synthetic",1,"0010"
"1010",107,"synthetic",1,"0010"
"1011",70,"synthetic",1,"0010"
"1100",74,"synthetic",1,"0010"
"1101",50,"synthetic",1,"0010"
"1110",64,"synthetic",1,"0010"
"0000",70,"original",1,"0010"
"0001",61,"original",1,"0010"
"0010",68,"original",1,"0010"
"0011",53,"original",1,"0010"
"0100",77,"original",1,"0010"
"0101",74,"original",1,"0010"
"0110",67,"original",1,"0010"
"0111",80,"original",1,"0010"
"1000",54,"original",1,"0010"
"1001",65,"original",1,"0010"
"1010",93,"original",1,"0010"
"1011",60,"original",1,"0010"
"1100",64,"original",1,"0010"
"1101",56,"original",1,"0010"
"1110",58,"original",1,"0010"
"0000",62,"synthetic",1,"1010"
"0001",66,"synthetic",1,"1010"
"0010",65,"synthetic",1,"1010"
"0011",50,"synthetic",1,"1010"
"0100",74,"synthetic",1,"1010"
"0101",85,"synthetic",1,"1010"
"0110",74,"synthetic",1,"1010"
"0111",88,"synthetic",1,"1010"
"1000",57,"synthetic",1,"1010"
"1001",49,"synthetic",1,"1010"
"1010",87,"synthetic",1,"1010"
"1011",57,"synthetic",1,"1010"
"1100",81,"synthetic",1,"1010"
"1101",51,"synthetic",1,"1010"
"1110",54,"synthetic",1,"1010"
"0000",70,"original",1,"1010"
"0001",61,"original",1,"1010"
"0010",67,"original",1,"1010"
"0011",53,"original",1,"1010"
"0100",77,"original",1,"1010"
"0101",74,"original",1,"1010"
"0110",67,"original",1,"1010"
"0111",80,"original",1,"1010"
"1000",54,"original",1,"1010"
"1001",65,"original",1,"1010"
"1010",94,"original",1,"1010"
"1011",60,"original",1,"1010"
"1100",64,"original",1,"1010"
"1101",56,"original",1,"1010"
"1110",58,"original",1,"1010"
"0000",76,"synthetic",1,"0110"
"0001",69,"synthetic",1,"0110"
"0010",61,"synthetic",1,"0110"
"0011",58,"synthetic",1,"0110"
"0100",63,"synthetic",1,"0110"
"0101",74,"synthetic",1,"0110"
"0110",74,"synthetic",1,"0110"
"0111",83,"synthetic",1,"0110"
"1000",56,"synthetic",1,"0110"
"1001",65,"synthetic",1,"0110"
"1010",95,"synthetic",1,"0110"
"1011",62,"synthetic",1,"0110"
"1100",67,"synthetic",1,"0110"
"1101",40,"synthetic",1,"0110"
"1110",57,"synthetic",1,"0110"
"0000",70,"original",1,"0110"
"0001",61,"original",1,"0110"
"0010",67,"original",1,"0110"
"0011",53,"original",1,"0110"
"0100",77,"original",1,"0110"
"0101",74,"original",1,"0110"
"0110",68,"original",1,"0110"
"0111",80,"original",1,"0110"
"1000",54,"original",1,"0110"
"1001",65,"original",1,"0110"
"1010",93,"original",1,"0110"
"1011",60,"original",1,"0110"
"1100",64,"original",1,"0110"
"1101",56,"original",1,"0110"
"1110",58,"original",1,"0110"
"0000",65,"synthetic",1,"1110"
"0001",57,"synthetic",1,"1110"
"0010",72,"synthetic",1,"1110"
"0011",64,"synthetic",1,"1110"
"0100",75,"synthetic",1,"1110"
"0101",86,"synthetic",1,"1110"
"0110",76,"synthetic",1,"1110"
"0111",78,"synthetic",1,"1110"
"1000",52,"synthetic",1,"1110"
"1001",70,"synthetic",1,"1110"
"1010",84,"synthetic",1,"1110"
"1011",45,"synthetic",1,"1110"
"1100",66,"synthetic",1,"1110"
"1101",63,"synthetic",1,"1110"
"1110",47,"synthetic",1,"1110"
"0000",70,"original",1,"1110"
"0001",61,"original",1,"1110"
"0010",67,"original",1,"1110"
"0011",53,"original",1,"1110"
"0100",77,"original",1,"1110"
"0101",74,"original",1,"1110"
"0110",67,"original",1,"1110"
"0111",80,"original",1,"1110"
"1000",54,"original",1,"1110"
"1001",65,"original",1,"1110"
"1010",93,"original",1,"1110"
"1011",60,"original",1,"1110"
"1100",64,"original",1,"1110"
"1101",56,"original",1,"1110"
"1110",59,"original",1,"1110"
"0000",76,"synthetic",1,"0001"
"0001",65,"synthetic",1,"0001"
"0010",63,"synthetic",1,"0001"
"0011",61,"synthetic",1,"0001"
"0100",95,"synthetic",1,"0001"
"0101",67,"synthetic",1,"0001"
"0110",55,"synthetic",1,"0001"
"0111",68,"synthetic",1,"0001"
"1000",49,"synthetic",1,"0001"
"1001",65,"synthetic",1,"0001"
"1010",105,"synthetic",1,"0001"
"1011",61,"synthetic",1,"0001"
"1100",63,"synthetic",1,"0001"
"1101",50,"synthetic",1,"0001"
"1110",57,"synthetic",1,"0001"
"0000",70,"original",1,"0001"
"0001",62,"original",1,"0001"
"0010",67,"original",1,"0001"
"0011",53,"original",1,"0001"
"0100",77,"original",1,"0001"
"0101",74,"original",1,"0001"
"0110",67,"original",1,"0001"
"0111",80,"original",1,"0001"
"1000",54,"original",1,"0001"
"1001",65,"original",1,"0001"
"1010",93,"original",1,"0001"
"1011",60,"original",1,"0001"
"1100",64,"original",1,"0001"
"1101",56,"original",1,"0001"
"1110",58,"original",1,"0001"
"0000",77,"synthetic",1,"1001"
"0001",57,"synthetic",1,"1001"
"0010",64,"synthetic",1,"1001"
"0011",49,"synthetic",1,"1001"
"0100",77,"synthetic",1,"1001"
"0101",78,"synthetic",1,"1001"
"0110",73,"synthetic",1,"1001"
"0111",77,"synthetic",1,"1001"
"1000",57,"synthetic",1,"1001"
"1001",64,"synthetic",1,"1001"
"1010",93,"synthetic",1,"1001"
"1011",61,"synthetic",1,"1001"
"1100",54,"synthetic",1,"1001"
"1101",58,"synthetic",1,"1001"
"1110",61,"synthetic",1,"1001"
"0000",70,"original",1,"1001"
"0001",61,"original",1,"1001"
"0010",67,"original",1,"1001"
"0011",53,"original",1,"1001"
"0100",77,"original",1,"1001"
"0101",74,"original",1,"1001"
"0110",67,"original",1,"1001"
"0111",80,"original",1,"1001"
"1000",54,"original",1,"1001"
"1001",66,"original",1,"1001"
"1010",93,"original",1,"1001"
"1011",60,"original",1,"1001"
"1100",64,"original",1,"1001"
"1101",56,"original",1,"1001"
"1110",58,"original",1,"1001"
"0000",61,"synthetic",1,"0101"
"0001",71,"synthetic",1,"0101"
"0010",62,"synthetic",1,"0101"
"0011",55,"synthetic",1,"0101"
"0100",80,"synthetic",1,"0101"
"0101",65,"synthetic",1,"0101"
"0110",68,"synthetic",1,"0101"
"0111",79,"synthetic",1,"0101"
"1000",50,"synthetic",1,"0101"
"1001",72,"synthetic",1,"0101"
"1010",85,"synthetic",1,"0101"
"1011",63,"synthetic",1,"0101"
"1100",70,"synthetic",1,"0101"
"1101",51,"synthetic",1,"0101"
"1110",68,"synthetic",1,"0101"
"0000",70,"original",1,"0101"
"0001",61,"original",1,"0101"
"0010",67,"original",1,"0101"
"0011",53,"original",1,"0101"
"0100",77,"original",1,"0101"
"0101",75,"original",1,"0101"
"0110",67,"original",1,"0101"
"0111",80,"original",1,"0101"
"1000",54,"original",1,"0101"
"1001",65,"original",1,"0101"
"1010",93,"original",1,"0101"
"1011",60,"original",1,"0101"
"1100",64,"original",1,"0101"
"1101",56,"original",1,"0101"
"1110",58,"original",1,"0101"
"0000",69,"synthetic",1,"1101"
"0001",59,"synthetic",1,"1101"
"0010",75,"synthetic",1,"1101"
"0011",56,"synthetic",1,"1101"
"0100",87,"synthetic",1,"1101"
"0101",82,"synthetic",1,"1101"
"0110",79,"synthetic",1,"1101"
"0111",56,"synthetic",1,"1101"
"1000",49,"synthetic",1,"1101"
"1001",67,"synthetic",1,"1101"
"1010",82,"synthetic",1,"1101"
"1011",62,"synthetic",1,"1101"
"1100",55,"synthetic",1,"1101"
"1101",63,"synthetic",1,"1101"
"1110",59,"synthetic",1,"1101"
"0000",70,"original",1,"1101"
"0001",61,"original",1,"1101"
"0010",67,"original",1,"1101"
"0011",53,"original",1,"1101"
"0100",77,"original",1,"1101"
"0101",74,"original",1,"1101"
"0110",67,"original",1,"1101"
"0111",80,"original",1,"1101"
"1000",54,"original",1,"1101"
"1001",65,"original",1,"1101"
"1010",93,"original",1,"1101"
"1011",60,"original",1,"1101"
"1100",64,"original",1,"1101"
"1101",57,"original",1,"1101"
"1110",58,"original",1,"1101"
"0000",70,"synthetic",1,"0011"
"0001",50,"synthetic",1,"0011"
"0010",64,"synthetic",1,"0011"
"0011",40,"synthetic",1,"0011"
"0100",83,"synthetic",1,"0011"
"0101",84,"synthetic",1,"0011"
"0110",67,"synthetic",1,"0011"
"0111",68,"synthetic",1,"0011"
"1000",56,"synthetic",1,"0011"
"1001",77,"synthetic",1,"0011"
"1010",95,"synthetic",1,"0011"
"1011",58,"synthetic",1,"0011"
"1100",70,"synthetic",1,"0011"
"1101",56,"synthetic",1,"0011"
"1110",62,"synthetic",1,"0011"
"0000",70,"original",1,"0011"
"0001",61,"original",1,"0011"
"0010",67,"original",1,"0011"
"0011",54,"original",1,"0011"
"0100",77,"original",1,"0011"
"0101",74,"original",1,"0011"
"0110",67,"original",1,"0011"
"0111",80,"original",1,"0011"
"1000",54,"original",1,"0011"
"1001",65,"original",1,"0011"
"1010",93,"original",1,"0011"
"1011",60,"original",1,"0011"
"1100",64,"original",1,"0011"
"1101",56,"original",1,"0011"
"1110",58,"original",1,"0011"
"0000",81,"synthetic",1,"1011"
"0001",68,"synthetic",1,"1011"
"0010",75,"synthetic",1,"1011"
"0011",37,"synthetic",1,"1011"
"0100",72,"synthetic",1,"1011"
"0101",81,"synthetic",1,"1011"
"0110",64,"synthetic",1,"1011"
"0111",98,"synthetic",1,"1011"
"1000",48,"synthetic",1,"1011"
"1001",60,"synthetic",1,"1011"
"1010",91,"synthetic",1,"1011"
"1011",44,"synthetic",1,"1011"
"1100",64,"synthetic",1,"1011"
"1101",59,"synthetic",1,"1011"
"1110",58,"synthetic",1,"1011"
"0000",70,"original",1,"1011"
"0001",61,"original",1,"1011"
"0010",67,"original",1,"1011"
"0011",53,"original",1,"1011"
"0100",77,"original",1,"1011"
"0101",74,"original",1,"1011"
"0110",67,"original",1,"1011"
"0111",80,"original",1,"1011"
"1000",54,"original",1,"1011"
"1001",65,"original",1,"1011"
"1010",93,"original",1,"1011"
"1011",61,"original",1,"1011"
"1100",64,"original",1,"1011"
"1101",56,"original",1,"1011"
"1110",58,"original",1,"1011"
"0000",76,"synthetic",1,"0111"
"0001",44,"synthetic",1,"0111"
"0010",58,"synthetic",1,"0111"
"0011",59,"synthetic",1,"0111"
"0100",60,"synthetic",1,"0111"
"0101",76,"synthetic",1,"0111"
"0110",77,"synthetic",1,"0111"
"0111",83,"synthetic",1,"0111"
"1000",47,"synthetic",1,"0111"
"1001",77,"synthetic",1,"0111"
"1010",85,"synthetic",1,"0111"
"1011",63,"synthetic",1,"0111"
"1100",76,"synthetic",1,"0111"
"1101",63,"synthetic",1,"0111"
"1110",56,"synthetic",1,"0111"
"0000",70,"original",1,"0111"
"0001",61,"original",1,"0111"
"0010",67,"original",1,"0111"
"0011",53,"original",1,"0111"
"0100",77,"original",1,"0111"
"0101",74,"original",1,"0111"
"0110",67,"original",1,"0111"
"0111",81,"original",1,"0111"
"1000",54,"original",1,"0111"
"1001",65,"original",1,"0111"
"1010",93,"original",1,"0111"
"1011",60,"original",1,"0111"
"1100",64,"original",1,"0111"
"1101",56,"original",1,"0111"
"1110",58,"original",1,"0111"
"0000",76,"synthetic",1,"1111"
"0001",57,"synthetic",1,"1111"
"0010",71,"synthetic",1,"1111"
"0011",43,"synthetic",1,"1111"
"0100",69,"synthetic",1,"1111"
"0101",83,"synthetic",1,"1111"
"0110",68,"synthetic",1,"1111"
"0111",72,"synthetic",1,"1111"
"1000",59,"synthetic",1,"1111"
"1001",60,"synthetic",1,"1111"
"1010",100,"synthetic",1,"1111"
"1011",57,"synthetic",1,"1111"
"1100",66,"synthetic",1,"1111"
"1101",53,"synthetic",1,"1111"
"1110",65,"synthetic",1,"1111"
"1111",1,"synthetic",1,"1111"
"0000",70,"original",1,"1111"
"0001",61,"original",1,"1111"
"0010",67,"original",1,"1111"
"0011",53,"original",1,"1111"
"0100",77,"original",1,"1111"
"0101",74,"original",1,"1111"
"0110",67,"original",1,"1111"
"0111",80,"original",1,"1111"
"1000",54,"original",1,"1111"
"1001",65,"original",1,"1111"
"1010",93,"original",1,"1111"
"1011",60,"original",1,"1111"
"1100",64,"original",1,"1111"
"1101",56,"original",1,"1111"
"1110",58,"original",1,"1111"
"1111",1,"original",1,"1111"
"0000",89,"synthetic",2,"0000"
"0001",62,"synthetic",2,"0000"
"0010",58,"synthetic",2,"0000"
"0011",49,"synthetic",2,"0000"
"0100",78,"synthetic",2,"0000"
"0101",73,"synthetic",2,"0000"
"0110",51,"synthetic",2,"0000"
"0111",87,"synthetic",2,"0000"
"1000",65,"synthetic",2,"0000"
"1001",66,"synthetic",2,"0000"
"1010",95,"synthetic",2,"0000"
"1011",55,"synthetic",2,"0000"
"1100",55,"synthetic",2,"0000"
"1101",52,"synthetic",2,"0000"
"1110",65,"synthetic",2,"0000"
"0000",71,"original",2,"0000"
"0001",61,"original",2,"0000"
"0010",67,"original",2,"0000"
"0011",53,"original",2,"0000"
"0100",77,"original",2,"0000"
"0101",74,"original",2,"0000"
"0110",67,"original",2,"0000"
"0111",80,"original",2,"0000"
"1000",54,"original",2,"0000"
"1001",65,"original",2,"0000"
"1010",93,"original",2,"0000"
"1011",60,"original",2,"0000"
"1100",64,"original",2,"0000"
"1101",56,"original",2,"0000"
"1110",58,"original",2,"0000"
"0000",68,"synthetic",2,"1000"
"0001",71,"synthetic",2,"1000"
"0010",54,"synthetic",2,"1000"
"0011",46,"synthetic",2,"1000"
"0100",79,"synthetic",2,"1000"
"0101",76,"synthetic",2,"1000"
"0110",67,"synthetic",2,"1000"
"0111",80,"synthetic",2,"1000"
"1000",51,"synthetic",2,"1000"
"1001",68,"synthetic",2,"1000"
"1010",91,"synthetic",2,"1000"
"1011",59,"synthetic",2,"1000"
"1100",64,"synthetic",2,"1000"
"1101",66,"synthetic",2,"1000"
"1110",60,"synthetic",2,"1000"
"0000",70,"original",2,"1000"
"0001",61,"original",2,"1000"
"0010",67,"original",2,"1000"
"0011",53,"original",2,"1000"
"0100",77,"original",2,"1000"
"0101",74,"original",2,"1000"
"0110",67,"original",2,"1000"
"0111",80,"original",2,"1000"
"1000",55,"original",2,"1000"
"1001",65,"original",2,"1000"
"1010",93,"original",2,"1000"
"1011",60,"original",2,"1000"
"1100",64,"original",2,"1000"
"1101",56,"original",2,"1000"
"1110",58,"original",2,"1000"
"0000",68,"synthetic",2,"0100"
"0001",65,"synthetic",2,"0100"
"0010",70,"synthetic",2,"0100"
"0011",48,"synthetic",2,"0100"
"0100",89,"synthetic",2,"0100"
"0101",66,"synthetic",2,"0100"
"0110",65,"synthetic",2,"0100"
"0111",90,"synthetic",2,"0100"
"1000",49,"synthetic",2,"0100"
"1001",61,"synthetic",2,"0100"
"1010",98,"synthetic",2,"0100"
"1011",58,"synthetic",2,"0100"
"1100",63,"synthetic",2,"0100"
"1101",54,"synthetic",2,"0100"
"1110",56,"synthetic",2,"0100"
"0000",70,"original",2,"0100"
"0001",61,"original",2,"0100"
"0010",67,"original",2,"0100"
"0011",53,"original",2,"0100"
"0100",78,"original",2,"0100"
"0101",74,"original",2,"0100"
"0110",67,"original",2,"0100"
"0111",80,"original",2,"0100"
"1000",54,"original",2,"0100"
"1001",65,"original",2,"0100"
"1010",93,"original",2,"0100"
"1011",60,"original",2,"0100"
"1100",64,"original",2,"0100"
"1101",56,"original",2,"0100"
"1110",58,"original",2,"0100"
"0000",68,"synthetic",2,"1100"
"0001",71,"synthetic",2,"1100"
"0010",70,"synthetic",2,"1100"
"0011",45,"synthetic",2,"1100"
"0100",72,"synthetic",2,"1100"
"0101",81,"synthetic",2,"1100"
"0110",74,"synthetic",2,"1100"
"0111",93,"synthetic",2,"1100"
"1000",53,"synthetic",2,"1100"
"1001",62,"synthetic",2,"1100"
"1010",85,"synthetic",2,"1100"
"1011",59,"synthetic",2,"1100"
"1100",55,"synthetic",2,"1100"
"1101",56,"synthetic",2,"1100"
"1110",56,"synthetic",2,"1100"
"0000",70,"original",2,"1100"
"0001",61,"original",2,"1100"
"0010",67,"original",2,"1100"
"0011",53,"original",2,"1100"
"0100",77,"original",2,"1100"
"0101",74,"original",2,"1100"
"0110",67,"original",2,"1100"
"0111",80,"original",2,"1100"
"1000",54,"original",2,"1100"
"1001",65,"original",2,"1100"
"1010",93,"original",2,"1100"
"1011",60,"original",2,"1100"
"1100",65,"original",2,"1100"
"1101",56,"original",2,"1100"
"1110",58,"original",2,"1100"
"0000",66,"synthetic",2,"0010"
"0001",65,"synthetic",2,"0010"
"0010",60,"synthetic",2,"0010"
"0011",61,"synthetic",2,"0010"
"0100",80,"synthetic",2,"0010"
"0101",75,"synthetic",2,"0010"
"0110",68,"synthetic",2,"0010"
"0111",79,"synthetic",2,"0010"
"1000",59,"synthetic",2,"0010"
"1001",55,"synthetic",2,"0010"
"1010",89,"synthetic",2,"0010"
"1011",56,"synthetic",2,"0010"
"1100",64,"synthetic",2,"0010"
"1101",59,"synthetic",2,"0010"
"1110",64,"synthetic",2,"0010"
"0000",70,"original",2,"0010"
"0001",61,"original",2,"0010"
"0010",68,"original",2,"0010"
"0011",53,"original",2,"0010"
"0100",77,"original",2,"0010"
"0101",74,"original",2,"0010"
"0110",67,"original",2,"0010"
"0111",80,"original",2,"0010"
"1000",54,"original",2,"0010"
"1001",65,"original",2,"0010"
"1010",93,"original",2,"0010"
"1011",60,"original",2,"0010"
"1100",64,"original",2,"0010"
"1101",56,"original",2,"0010"
"1110",58,"original",2,"0010"
"0000",71,"synthetic",2,"1010"
"0001",67,"synthetic",2,"1010"
"0010",66,"synthetic",2,"1010"
"0011",60,"synthetic",2,"1010"
"0100",72,"synthetic",2,"1010"
"0101",73,"synthetic",2,"1010"
"0110",69,"synthetic",2,"1010"
"0111",101,"synthetic",2,"1010"
"1000",50,"synthetic",2,"1010"
"1001",69,"synthetic",2,"1010"
"1010",82,"synthetic",2,"1010"
"1011",65,"synthetic",2,"1010"
"1100",61,"synthetic",2,"1010"
"1101",45,"synthetic",2,"1010"
"1110",49,"synthetic",2,"1010"
"0000",70,"original",2,"1010"
"0001",61,"original",2,"1010"
"0010",67,"original",2,"1010"
"0011",53,"original",2,"1010"
"0100",77,"original",2,"1010"
"0101",74,"original",2,"1010"
"0110",67,"original",2,"1010"
"0111",80,"original",2,"1010"
"1000",54,"original",2,"1010"
"1001",65,"original",2,"1010"
"1010",94,"original",2,"1010"
"1011",60,"original",2,"1010"
"1100",64,"original",2,"1010"
"1101",56,"original",2,"1010"
"1110",58,"original",2,"1010"
"0000",84,"synthetic",2,"0110"
"0001",64,"synthetic",2,"0110"
"0010",64,"synthetic",2,"0110"
"0011",63,"synthetic",2,"0110"
"0100",65,"synthetic",2,"0110"
"0101",75,"synthetic",2,"0110"
"0110",52,"synthetic",2,"0110"
"0111",68,"synthetic",2,"0110"
"1000",60,"synthetic",2,"0110"
"1001",71,"synthetic",2,"0110"
"1010",104,"synthetic",2,"0110"
"1011",60,"synthetic",2,"0110"
"1100",67,"synthetic",2,"0110"
"1101",59,"synthetic",2,"0110"
"1110",44,"synthetic",2,"0110"
"0000",70,"original",2,"0110"
"0001",61,"original",2,"0110"
"0010",67,"original",2,"0110"
"0011",53,"original",2,"0110"
"0100",77,"original",2,"0110"
"0101",74,"original",2,"0110"
"0110",68,"original",2,"0110"
"0111",80,"original",2,"0110"
"1000",54,"original",2,"0110"
"1001",65,"original",2,"0110"
"1010",93,"original",2,"0110"
"1011",60,"original",2,"0110"
"1100",64,"original",2,"0110"
"1101",56,"original",2,"0110"
"1110",58,"original",2,"0110"
"0000",62,"synthetic",2,"1110"
"0001",80,"synthetic",2,"1110"
"0010",61,"synthetic",2,"1110"
"0011",58,"synthetic",2,"1110"
"0100",73,"synthetic",2,"1110"
"0101",75,"synthetic",2,"1110"
"0110",68,"synthetic",2,"1110"
"0111",65,"synthetic",2,"1110"
"1000",46,"synthetic",2,"1110"
"1001",73,"synthetic",2,"1110"
"1010",98,"synthetic",2,"1110"
"1011",52,"synthetic",2,"1110"
"1100",69,"synthetic",2,"1110"
"1101",55,"synthetic",2,"1110"
"1110",65,"synthetic",2,"1110"
"0000",70,"original",2,"1110"
"0001",61,"original",2,"1110"
"0010",67,"original",2,"1110"
"0011",53,"original",2,"1110"
"0100",77,"original",2,"1110"
"0101",74,"original",2,"1110"
"0110",67,"original",2,"1110"
"0111",80,"original",2,"1110"
"1000",54,"original",2,"1110"
"1001",65,"original",2,"1110"
"1010",93,"original",2,"1110"
"1011",60,"original",2,"1110"
"1100",64,"original",2,"1110"
"1101",56,"original",2,"1110"
"1110",59,"original",2,"1110"
"0000",62,"synthetic",2,"0001"
"0001",53,"synthetic",2,"0001"
"0010",73,"synthetic",2,"0001"
"0011",61,"synthetic",2,"0001"
"0100",80,"synthetic",2,"0001"
"0101",90,"synthetic",2,"0001"
"0110",75,"synthetic",2,"0001"
"0111",85,"synthetic",2,"0001"
"1000",44,"synthetic",2,"0001"
"1001",61,"synthetic",2,"0001"
"1010",92,"synthetic",2,"0001"
"1011",57,"synthetic",2,"0001"
"1100",60,"synthetic",2,"0001"
"1101",53,"synthetic",2,"0001"
"1110",54,"synthetic",2,"0001"
"0000",70,"original",2,"0001"
"0001",62,"original",2,"0001"
"0010",67,"original",2,"0001"
"0011",53,"original",2,"0001"
"0100",77,"original",2,"0001"
"0101",74,"original",2,"0001"
"0110",67,"original",2,"0001"
"0111",80,"original",2,"0001"
"1000",54,"original",2,"0001"
"1001",65,"original",2,"0001"
"1010",93,"original",2,"0001"
"1011",60,"original",2,"0001"
"1100",64,"original",2,"0001"
"1101",56,"original",2,"0001"
"1110",58,"original",2,"0001"
"0000",70,"synthetic",2,"1001"
"0001",46,"synthetic",2,"1001"
"0010",72,"synthetic",2,"1001"
"0011",63,"synthetic",2,"1001"
"0100",81,"synthetic",2,"1001"
"0101",69,"synthetic",2,"1001"
"0110",61,"synthetic",2,"1001"
"0111",72,"synthetic",2,"1001"
"1000",71,"synthetic",2,"1001"
"1001",67,"synthetic",2,"1001"
"1010",89,"synthetic",2,"1001"
"1011",60,"synthetic",2,"1001"
"1100",71,"synthetic",2,"1001"
"1101",42,"synthetic",2,"1001"
"1110",66,"synthetic",2,"1001"
"0000",70,"original",2,"1001"
"0001",61,"original",2,"1001"
"0010",67,"original",2,"1001"
"0011",53,"original",2,"1001"
"0100",77,"original",2,"1001"
"0101",74,"original",2,"1001"
"0110",67,"original",2,"1001"
"0111",80,"original",2,"1001"
"1000",54,"original",2,"1001"
"1001",66,"original",2,"1001"
"1010",93,"original",2,"1001"
"1011",60,"original",2,"1001"
"1100",64,"original",2,"1001"
"1101",56,"original",2,"1001"
"1110",58,"original",2,"1001"
"0000",95,"synthetic",2,"0101"
"0001",47,"synthetic",2,"0101"
"0010",66,"synthetic",2,"0101"
"0011",46,"synthetic",2,"0101"
"0100",77,"synthetic",2,"0101"
"0101",68,"synthetic",2,"0101"
"0110",65,"synthetic",2,"0101"
"0111",80,"synthetic",2,"0101"
"1000",55,"synthetic",2,"0101"
"1001",74,"synthetic",2,"0101"
"1010",86,"synthetic",2,"0101"
"1011",58,"synthetic",2,"0101"
"1100",57,"synthetic",2,"0101"
"1101",57,"synthetic",2,"0101"
