"age","edu"
33,"POST-SECONDARY OR HIGHER"
61,"POST-SECONDARY OR HIGHER"
45,"VOCATIONAL/GRAMMAR"
24,"SECONDARY"
49,"POST-SECONDARY OR HIGHER"
17,"VOCATIONAL/GRAMMAR"
54,"PRIMARY/NO EDUCATION"
40,"PRIMARY/NO EDUCATION"
79,"SECONDARY"
54,"VOCATIONAL/GRAMMAR"
52,"VOCATIONAL/GRAMMAR"
62,"VOCATIONAL/GRAMMAR"
46,"POST-SECONDARY OR HIGHER"
58,"VOCATIONAL/GRAMMAR"
47,"POST-SECONDARY OR HIGHER"
51,"VOCATIONAL/GRAMMAR"
24,"SECONDARY"
67,"VOCATIONAL/GRAMMAR"
28,"SECONDARY"
60,"SECONDARY"
51,"SECONDARY"
46,"POST-SECONDARY OR HIGHER"
55,"VOCATIONAL/GRAMMAR"
67,"PRIMARY/NO EDUCATION"
82,"POST-SECONDARY OR HIGHER"
65,"SECONDARY"
28,"SECONDARY"
81,"SECONDARY"
63,"SECONDARY"
65,"SECONDARY"
60,"VOCATIONAL/GRAMMAR"
55,"SECONDARY"
37,"VOCATIONAL/GRAMMAR"
75,"PRIMARY/NO EDUCATION"
35,"SECONDARY"
74,"SECONDARY"
62,"VOCATIONAL/GRAMMAR"
35,"SECONDARY"
32,"SECONDARY"
52,"VOCATIONAL/GRAMMAR"
65,"POST-SECONDARY OR HIGHER"
22,"SECONDARY"
37,"POST-SECONDARY OR HIGHER"
20,"VOCATIONAL/GRAMMAR"
44,"VOCATIONAL/GRAMMAR"
60,"SECONDARY"
37,"SECONDARY"
32,"POST-SECONDARY OR HIGHER"
22,"POST-SECONDARY OR HIGHER"
21,"SECONDARY"
88,"SECONDARY"
72,"PRIMARY/NO EDUCATION"
73,"SECONDARY"
44,"VOCATIONAL/GRAMMAR"
82,"POST-SECONDARY OR HIGHER"
37,"POST-SECONDARY OR HIGHER"
30,"POST-SECONDARY OR HIGHER"
35,"SECONDARY"
33,"POST-SECONDARY OR HIGHER"
33,"VOCATIONAL/GRAMMAR"
81,"POST-SECONDARY OR HIGHER"
38,"POST-SECONDARY OR HIGHER"
29,"POST-SECONDARY OR HIGHER"
29,"POST-SECONDARY OR HIGHER"
82,"VOCATIONAL/GRAMMAR"
63,"SECONDARY"
74,"PRIMARY/NO EDUCATION"
58,"VOCATIONAL/GRAMMAR"
61,"VOCATIONAL/GRAMMAR"
84,"SECONDARY"
48,"VOCATIONAL/GRAMMAR"
52,"PRIMARY/NO EDUCATION"
70,"PRIMARY/NO EDUCATION"
70,"SECONDARY"
32,"POST-SECONDARY OR HIGHER"
36,NA
54,"PRIMARY/NO EDUCATION"
19,"VOCATIONAL/GRAMMAR"
46,"SECONDARY"
76,"PRIMARY/NO EDUCATION"
30,"VOCATIONAL/GRAMMAR"
54,"POST-SECONDARY OR HIGHER"
56,"PRIMARY/NO EDUCATION"
48,"VOCATIONAL/GRAMMAR"
28,"SECONDARY"
42,"SECONDARY"
82,"PRIMARY/NO EDUCATION"
59,"PRIMARY/NO EDUCATION"
71,"SECONDARY"
67,"PRIMARY/NO EDUCATION"
18,"VOCATIONAL/GRAMMAR"
53,"VOCATIONAL/GRAMMAR"
49,"VOCATIONAL/GRAMMAR"
51,"VOCATIONAL/GRAMMAR"
65,"POST-SECONDARY OR HIGHER"
51,"POST-SECONDARY OR HIGHER"
55,"VOCATIONAL/GRAMMAR"
29,"VOCATIONAL/GRAMMAR"
59,"PRIMARY/NO EDUCATION"
68,"PRIMARY/NO EDUCATION"
58,"SECONDARY"
31,"POST-SECONDARY OR HIGHER"
59,"SECONDARY"
31,"SECONDARY"
35,"PRIMARY/NO EDUCATION"
64,"PRIMARY/NO EDUCATION"
72,"PRIMARY/NO EDUCATION"
36,"POST-SECONDARY OR HIGHER"
17,"VOCATIONAL/GRAMMAR"
42,"VOCATIONAL/GRAMMAR"
83,"SECONDARY"
40,"SECONDARY"
47,"VOCATIONAL/GRAMMAR"
73,"PRIMARY/NO EDUCATION"
40,"POST-SECONDARY OR HIGHER"
39,"POST-SECONDARY OR HIGHER"
41,"VOCATIONAL/GRAMMAR"
58,"POST-SECONDARY OR HIGHER"
69,"POST-SECONDARY OR HIGHER"
24,"SECONDARY"
35,"SECONDARY"
42,"SECONDARY"
48,"VOCATIONAL/GRAMMAR"
73,"VOCATIONAL/GRAMMAR"
35,"POST-SECONDARY OR HIGHER"
40,"VOCATIONAL/GRAMMAR"
19,"VOCATIONAL/GRAMMAR"
58,"POST-SECONDARY OR HIGHER"
56,"SECONDARY"
25,"SECONDARY"
75,"PRIMARY/NO EDUCATION"
42,"VOCATIONAL/GRAMMAR"
22,"SECONDARY"
23,"SECONDARY"
40,"SECONDARY"
57,"POST-SECONDARY OR HIGHER"
50,"SECONDARY"
24,"SECONDARY"
51,"SECONDARY"
72,"SECONDARY"
35,"SECONDARY"
64,"SECONDARY"
32,"SECONDARY"
29,"POST-SECONDARY OR HIGHER"
86,"PRIMARY/NO EDUCATION"
68,"PRIMARY/NO EDUCATION"
73,"PRIMARY/NO EDUCATION"
37,"SECONDARY"
32,"SECONDARY"
26,"VOCATIONAL/GRAMMAR"
21,"POST-SECONDARY OR HIGHER"
64,"VOCATIONAL/GRAMMAR"
67,"PRIMARY/NO EDUCATION"
30,"VOCATIONAL/GRAMMAR"
46,"SECONDARY"
42,"VOCATIONAL/GRAMMAR"
64,"SECONDARY"
61,"SECONDARY"
58,"VOCATIONAL/GRAMMAR"
19,"VOCATIONAL/GRAMMAR"
60,"POST-SECONDARY OR HIGHER"
40,"POST-SECONDARY OR HIGHER"
27,"SECONDARY"
20,"SECONDARY"
78,"SECONDARY"
41,"VOCATIONAL/GRAMMAR"
64,"POST-SECONDARY OR HIGHER"
40,"VOCATIONAL/GRAMMAR"
77,"PRIMARY/NO EDUCATION"
30,"PRIMARY/NO EDUCATION"
44,"SECONDARY"
52,"SECONDARY"
19,"VOCATIONAL/GRAMMAR"
20,"SECONDARY"
30,"POST-SECONDARY OR HIGHER"
38,"POST-SECONDARY OR HIGHER"
57,"PRIMARY/NO EDUCATION"
69,"POST-SECONDARY OR HIGHER"
32,"POST-SECONDARY OR HIGHER"
53,"VOCATIONAL/GRAMMAR"
76,"VOCATIONAL/GRAMMAR"
35,"POST-SECONDARY OR HIGHER"
63,"SECONDARY"
40,"SECONDARY"
36,"VOCATIONAL/GRAMMAR"
32,"POST-SECONDARY OR HIGHER"
52,"SECONDARY"
31,"SECONDARY"
45,"VOCATIONAL/GRAMMAR"
64,"PRIMARY/NO EDUCATION"
43,"VOCATIONAL/GRAMMAR"
56,"VOCATIONAL/GRAMMAR"
84,"SECONDARY"
47,"SECONDARY"
65,"SECONDARY"
58,"SECONDARY"
62,"PRIMARY/NO EDUCATION"
67,"PRIMARY/NO EDUCATION"
47,"POST-SECONDARY OR HIGHER"
50,"SECONDARY"
37,"POST-SECONDARY OR HIGHER"
76,"PRIMARY/NO EDUCATION"
18,"VOCATIONAL/GRAMMAR"
17,"VOCATIONAL/GRAMMAR"
53,"PRIMARY/NO EDUCATION"
54,"POST-SECONDARY OR HIGHER"
57,"PRIMARY/NO EDUCATION"
60,"VOCATIONAL/GRAMMAR"
17,"VOCATIONAL/GRAMMAR"
19,"VOCATIONAL/GRAMMAR"
46,"SECONDARY"
76,"PRIMARY/NO EDUCATION"
37,"VOCATIONAL/GRAMMAR"
74,"SECONDARY"
58,"VOCATIONAL/GRAMMAR"
62,"POST-SECONDARY OR HIGHER"
38,"POST-SECONDARY OR HIGHER"
64,"PRIMARY/NO EDUCATION"
48,"VOCATIONAL/GRAMMAR"
39,"POST-SECONDARY OR HIGHER"
25,"SECONDARY"
56,"VOCATIONAL/GRAMMAR"
24,"SECONDARY"
50,"POST-SECONDARY OR HIGHER"
75,"PRIMARY/NO EDUCATION"
61,"VOCATIONAL/GRAMMAR"
52,"PRIMARY/NO EDUCATION"
44,"PRIMARY/NO EDUCATION"
60,"VOCATIONAL/GRAMMAR"
81,"PRIMARY/NO EDUCATION"
32,"POST-SECONDARY OR HIGHER"
50,"VOCATIONAL/GRAMMAR"
78,"VOCATIONAL/GRAMMAR"
63,"VOCATIONAL/GRAMMAR"
59,"SECONDARY"
85,"PRIMARY/NO EDUCATION"
43,"SECONDARY"
72,"PRIMARY/NO EDUCATION"
58,"VOCATIONAL/GRAMMAR"
41,"POST-SECONDARY OR HIGHER"
49,"POST-SECONDARY OR HIGHER"
34,"POST-SECONDARY OR HIGHER"
34,"POST-SECONDARY OR HIGHER"
52,"SECONDARY"
26,"POST-SECONDARY OR HIGHER"
71,"PRIMARY/NO EDUCATION"
60,"VOCATIONAL/GRAMMAR"
62,"PRIMARY/NO EDUCATION"
24,"SECONDARY"
65,"POST-SECONDARY OR HIGHER"
63,"PRIMARY/NO EDUCATION"
81,"PRIMARY/NO EDUCATION"
52,"SECONDARY"
33,"VOCATIONAL/GRAMMAR"
42,"SECONDARY"
47,"VOCATIONAL/GRAMMAR"
53,"VOCATIONAL/GRAMMAR"
50,"SECONDARY"
51,"POST-SECONDARY OR HIGHER"
81,"PRIMARY/NO EDUCATION"
25,"SECONDARY"
18,"VOCATIONAL/GRAMMAR"
62,"VOCATIONAL/GRAMMAR"
79,"PRIMARY/NO EDUCATION"
59,"SECONDARY"
85,"POST-SECONDARY OR HIGHER"
45,"SECONDARY"
62,"PRIMARY/NO EDUCATION"
62,"VOCATIONAL/GRAMMAR"
62,"POST-SECONDARY OR HIGHER"
53,"POST-SECONDARY OR HIGHER"
60,"VOCATIONAL/GRAMMAR"
17,"VOCATIONAL/GRAMMAR"
58,"POST-SECONDARY OR HIGHER"
64,"SECONDARY"
35,"PRIMARY/NO EDUCATION"
25,"SECONDARY"
26,"SECONDARY"
53,"VOCATIONAL/GRAMMAR"
40,"VOCATIONAL/GRAMMAR"
45,"POST-SECONDARY OR HIGHER"
60,"VOCATIONAL/GRAMMAR"
76,"VOCATIONAL/GRAMMAR"
27,"POST-SECONDARY OR HIGHER"
33,"SECONDARY"
51,"PRIMARY/NO EDUCATION"
61,"VOCATIONAL/GRAMMAR"
27,"SECONDARY"
32,"POST-SECONDARY OR HIGHER"
45,"SECONDARY"
80,"PRIMARY/NO EDUCATION"
37,"PRIMARY/NO EDUCATION"
61,"POST-SECONDARY OR HIGHER"
36,"POST-SECONDARY OR HIGHER"
41,"VOCATIONAL/GRAMMAR"
33,"POST-SECONDARY OR HIGHER"
57,"VOCATIONAL/GRAMMAR"
36,"VOCATIONAL/GRAMMAR"
23,"SECONDARY"
61,"PRIMARY/NO EDUCATION"
58,"POST-SECONDARY OR HIGHER"
54,"SECONDARY"
19,"VOCATIONAL/GRAMMAR"
41,"VOCATIONAL/GRAMMAR"
37,"SECONDARY"
50,"VOCATIONAL/GRAMMAR"
74,"SECONDARY"
40,"SECONDARY"
31,"VOCATIONAL/GRAMMAR"
74,"PRIMARY/NO EDUCATION"
35,"VOCATIONAL/GRAMMAR"
61,"PRIMARY/NO EDUCATION"
42,"SECONDARY"
70,"SECONDARY"
37,"SECONDARY"
23,"SECONDARY"
28,"POST-SECONDARY OR HIGHER"
36,"VOCATIONAL/GRAMMAR"
75,"PRIMARY/NO EDUCATION"
25,"VOCATIONAL/GRAMMAR"
44,"VOCATIONAL/GRAMMAR"
50,"SECONDARY"
68,"PRIMARY/NO EDUCATION"
65,"POST-SECONDARY OR HIGHER"
56,"SECONDARY"
44,"POST-SECONDARY OR HIGHER"
52,"POST-SECONDARY OR HIGHER"
23,"SECONDARY"
62,"VOCATIONAL/GRAMMAR"
28,"SECONDARY"
52,"PRIMARY/NO EDUCATION"
70,"PRIMARY/NO EDUCATION"
71,"PRIMARY/NO EDUCATION"
70,"PRIMARY/NO EDUCATION"
60,"PRIMARY/NO EDUCATION"
28,"SECONDARY"
43,"VOCATIONAL/GRAMMAR"
59,"SECONDARY"
32,"POST-SECONDARY OR HIGHER"
83,"PRIMARY/NO EDUCATION"
46,"POST-SECONDARY OR HIGHER"
68,"PRIMARY/NO EDUCATION"
46,"SECONDARY"
79,"PRIMARY/NO EDUCATION"
25,"SECONDARY"
55,"SECONDARY"
66,"PRIMARY/NO EDUCATION"
39,"SECONDARY"
35,"VOCATIONAL/GRAMMAR"
87,"PRIMARY/NO EDUCATION"
77,"SECONDARY"
55,"POST-SECONDARY OR HIGHER"
59,"SECONDARY"
33,"POST-SECONDARY OR HIGHER"
43,"VOCATIONAL/GRAMMAR"
62,"POST-SECONDARY OR HIGHER"
46,"VOCATIONAL/GRAMMAR"
40,"SECONDARY"
57,"PRIMARY/NO EDUCATION"
38,"PRIMARY/NO EDUCATION"
41,"VOCATIONAL/GRAMMAR"
60,"PRIMARY/NO EDUCATION"
64,"SECONDARY"
19,"VOCATIONAL/GRAMMAR"
60,"SECONDARY"
38,"VOCATIONAL/GRAMMAR"
33,"VOCATIONAL/GRAMMAR"
49,"VOCATIONAL/GRAMMAR"
60,"POST-SECONDARY OR HIGHER"
38,"POST-SECONDARY OR HIGHER"
62,"SECONDARY"
30,"SECONDARY"
41,"VOCATIONAL/GRAMMAR"
64,"SECONDARY"
51,"SECONDARY"
57,"PRIMARY/NO EDUCATION"
32,"POST-SECONDARY OR HIGHER"
51,"POST-SECONDARY OR HIGHER"
76,"VOCATIONAL/GRAMMAR"
80,"PRIMARY/NO EDUCATION"
63,"SECONDARY"
41,"SECONDARY"
34,"VOCATIONAL/GRAMMAR"
50,"POST-SECONDARY OR HIGHER"
66,"PRIMARY/NO EDUCATION"
22,"SECONDARY"
40,"POST-SECONDARY OR HIGHER"
42,"VOCATIONAL/GRAMMAR"
35,"SECONDARY"
75,"PRIMARY/NO EDUCATION"
23,"SECONDARY"
44,"VOCATIONAL/GRAMMAR"
27,"POST-SECONDARY OR HIGHER"
63,"SECONDARY"
47,"VOCATIONAL/GRAMMAR"
81,"PRIMARY/NO EDUCATION"
36,"POST-SECONDARY OR HIGHER"
58,"PRIMARY/NO EDUCATION"
19,"VOCATIONAL/GRAMMAR"
38,"VOCATIONAL/GRAMMAR"
58,"VOCATIONAL/GRAMMAR"
49,"POST-SECONDARY OR HIGHER"
17,"VOCATIONAL/GRAMMAR"
40,"SECONDARY"
27,"VOCATIONAL/GRAMMAR"
22,"SECONDARY"
65,"POST-SECONDARY OR HIGHER"
42,"VOCATIONAL/GRAMMAR"
62,"VOCATIONAL/GRAMMAR"
20,"VOCATIONAL/GRAMMAR"
69,"PRIMARY/NO EDUCATION"
25,"POST-SECONDARY OR HIGHER"
20,"SECONDARY"
24,"SECONDARY"
61,"VOCATIONAL/GRAMMAR"
17,"VOCATIONAL/GRAMMAR"
46,"VOCATIONAL/GRAMMAR"
31,"POST-SECONDARY OR HIGHER"
43,"VOCATIONAL/GRAMMAR"
51,"POST-SECONDARY OR HIGHER"
37,"VOCATIONAL/GRAMMAR"
46,"VOCATIONAL/GRAMMAR"
45,"VOCATIONAL/GRAMMAR"
75,"PRIMARY/NO EDUCATION"
57,"VOCATIONAL/GRAMMAR"
60,"SECONDARY"
17,NA
57,"PRIMARY/NO EDUCATION"
59,"VOCATIONAL/GRAMMAR"
48,"SECONDARY"
58,"SECONDARY"
43,"POST-SECONDARY OR HIGHER"
28,"SECONDARY"
34,"VOCATIONAL/GRAMMAR"
36,"SECONDARY"
54,"POST-SECONDARY OR HIGHER"
78,"SECONDARY"
60,"SECONDARY"
72,"SECONDARY"
49,"POST-SECONDARY OR HIGHER"
69,"PRIMARY/NO EDUCATION"
49,"VOCATIONAL/GRAMMAR"
27,"POST-SECONDARY OR HIGHER"
61,"VOCATIONAL/GRAMMAR"
28,"VOCATIONAL/GRAMMAR"
39,"PRIMARY/NO EDUCATION"
57,"VOCATIONAL/GRAMMAR"
87,"SECONDARY"
44,"SECONDARY"
37,"SECONDARY"
19,"VOCATIONAL/GRAMMAR"
66,"POST-SECONDARY OR HIGHER"
55,"SECONDARY"
33,"VOCATIONAL/GRAMMAR"
63,"VOCATIONAL/GRAMMAR"
50,"SECONDARY"
68,"SECONDARY"
70,"SECONDARY"
35,"VOCATIONAL/GRAMMAR"
65,"SECONDARY"
17,"VOCATIONAL/GRAMMAR"
37,"VOCATIONAL/GRAMMAR"
78,"POST-SECONDARY OR HIGHER"
71,"VOCATIONAL/GRAMMAR"
65,"SECONDARY"
57,"PRIMARY/NO EDUCATION"
41,"SECONDARY"
75,"PRIMARY/NO EDUCATION"
25,"POST-SECONDARY OR HIGHER"
56,"SECONDARY"
29,"POST-SECONDARY OR HIGHER"
21,"SECONDARY"
29,"SECONDARY"
21,"SECONDARY"
81,"POST-SECONDARY OR HIGHER"
82,"PRIMARY/NO EDUCATION"
28,"POST-SECONDARY OR HIGHER"
49,"VOCATIONAL/GRAMMAR"
59,"VOCATIONAL/GRAMMAR"
83,"PRIMARY/NO EDUCATION"
17,"VOCATIONAL/GRAMMAR"
61,"SECONDARY"
51,"POST-SECONDARY OR HIGHER"
17,"VOCATIONAL/GRAMMAR"
89,"PRIMARY/NO EDUCATION"
66,"PRIMARY/NO EDUCATION"
40,"VOCATIONAL/GRAMMAR"
18,"VOCATIONAL/GRAMMAR"
46,"POST-SECONDARY OR HIGHER"
40,"VOCATIONAL/GRAMMAR"
87,"SECONDARY"
64,"VOCATIONAL/GRAMMAR"
44,"POST-SECONDARY OR HIGHER"
53,"VOCATIONAL/GRAMMAR"
28,"POST-SECONDARY OR HIGHER"
55,"VOCATIONAL/GRAMMAR"
46,"VOCATIONAL/GRAMMAR"
44,"SECONDARY"
26,"SECONDARY"
17,"VOCATIONAL/GRAMMAR"
20,"VOCATIONAL/GRAMMAR"
62,"SECONDARY"
53,"SECONDARY"
67,"SECONDARY"
19,"VOCATIONAL/GRAMMAR"
81,"VOCATIONAL/GRAMMAR"
60,"VOCATIONAL/GRAMMAR"
56,"VOCATIONAL/GRAMMAR"
27,"POST-SECONDARY OR HIGHER"
67,"POST-SECONDARY OR HIGHER"
19,"VOCATIONAL/GRAMMAR"
64,"PRIMARY/NO EDUCATION"
59,"SECONDARY"
65,"PRIMARY/NO EDUCATION"
57,"PRIMARY/NO EDUCATION"
66,"PRIMARY/NO EDUCATION"
52,"SECONDARY"
59,"PRIMARY/NO EDUCATION"
80,"PRIMARY/NO EDUCATION"
46,"VOCATIONAL/GRAMMAR"
72,"PRIMARY/NO EDUCATION"
39,"SECONDARY"
29,"POST-SECONDARY OR HIGHER"
63,"VOCATIONAL/GRAMMAR"
35,"PRIMARY/NO EDUCATION"
40,"POST-SECONDARY OR HIGHER"
80,"PRIMARY/NO EDUCATION"
50,"POST-SECONDARY OR HIGHER"
30,"SECONDARY"
38,"SECONDARY"
34,"VOCATIONAL/GRAMMAR"
54,"POST-SECONDARY OR HIGHER"
74,"POST-SECONDARY OR HIGHER"
27,"VOCATIONAL/GRAMMAR"
40,"POST-SECONDARY OR HIGHER"
21,"SECONDARY"
25,"POST-SECONDARY OR HIGHER"
70,"PRIMARY/NO EDUCATION"
58,"VOCATIONAL/GRAMMAR"
31,"SECONDARY"
31,"VOCATIONAL/GRAMMAR"
41,"SECONDARY"
40,"SECONDARY"
46,"SECONDARY"
82,"VOCATIONAL/GRAMMAR"
64,"SECONDARY"
37,"SECONDARY"
41,"POST-SECONDARY OR HIGHER"
37,"VOCATIONAL/GRAMMAR"
57,"VOCATIONAL/GRAMMAR"
36,"POST-SECONDARY OR HIGHER"
35,"VOCATIONAL/GRAMMAR"
30,"POST-SECONDARY OR HIGHER"
54,"SECONDARY"
54,"SECONDARY"
58,"SECONDARY"
60,"SECONDARY"
65,"SECONDARY"
25,"POST-SECONDARY OR HIGHER"
40,"PRIMARY/NO EDUCATION"
58,"SECONDARY"
24,"SECONDARY"
31,"POST-SECONDARY OR HIGHER"
30,"SECONDARY"
23,"VOCATIONAL/GRAMMAR"
81,"PRIMARY/NO EDUCATION"
53,"POST-SECONDARY OR HIGHER"
25,"SECONDARY"
58,"VOCATIONAL/GRAMMAR"
82,"PRIMARY/NO EDUCATION"
42,"SECONDARY"
52,"VOCATIONAL/GRAMMAR"
51,"VOCATIONAL/GRAMMAR"
40,"VOCATIONAL/GRAMMAR"
21,"SECONDARY"
74,"POST-SECONDARY OR HIGHER"
65,"PRIMARY/NO EDUCATION"
75,"PRIMARY/NO EDUCATION"
41,"VOCATIONAL/GRAMMAR"
66,"SECONDARY"
50,"SECONDARY"
63,"PRIMARY/NO EDUCATION"
80,"PRIMARY/NO EDUCATION"
46,"VOCATIONAL/GRAMMAR"
36,"PRIMARY/NO EDUCATION"
64,"PRIMARY/NO EDUCATION"
40,"POST-SECONDARY OR HIGHER"
72,"PRIMARY/NO EDUCATION"
28,"POST-SECONDARY OR HIGHER"
54,"SECONDARY"
63,"POST-SECONDARY OR HIGHER"
82,"POST-SECONDARY OR HIGHER"
34,"POST-SECONDARY OR HIGHER"
60,"VOCATIONAL/GRAMMAR"
55,"VOCATIONAL/GRAMMAR"
45,"VOCATIONAL/GRAMMAR"
76,"PRIMARY/NO EDUCATION"
17,"VOCATIONAL/GRAMMAR"
27,"SECONDARY"
46,"PRIMARY/NO EDUCATION"
26,"POST-SECONDARY OR HIGHER"
83,"SECONDARY"
24,"SECONDARY"
74,"PRIMARY/NO EDUCATION"
36,"SECONDARY"
40,"SECONDARY"
22,"SECONDARY"
42,"VOCATIONAL/GRAMMAR"
83,"PRIMARY/NO EDUCATION"
17,"VOCATIONAL/GRAMMAR"
54,"VOCATIONAL/GRAMMAR"
