"age","edu"
18,"VOCATIONAL/GRAMMAR"
55,"SECONDARY"
21,"SECONDARY"
23,"SECONDARY"
21,"SECONDARY"
17,"SECONDARY"
34,"POST-SECONDARY OR HIGHER"
49,"PRIMARY/NO EDUCATION"
52,"VOCATIONAL/GRAMMAR"
30,"POST-SECONDARY OR HIGHER"
56,"SECONDARY"
61,"VOCATIONAL/GRAMMAR"
29,"SECONDARY"
52,"VOCATIONAL/GRAMMAR"
30,"SECONDARY"
39,"VOCATIONAL/GRAMMAR"
17,"VOCATIONAL/GRAMMAR"
44,"POST-SECONDARY OR HIGHER"
26,"SECONDARY"
28,"VOCATIONAL/GRAMMAR"
37,"POST-SECONDARY OR HIGHER"
80,"POST-SECONDARY OR HIGHER"
26,"SECONDARY"
48,"SECONDARY"
22,"SECONDARY"
64,"POST-SECONDARY OR HIGHER"
56,"SECONDARY"
57,"VOCATIONAL/GRAMMAR"
35,"VOCATIONAL/GRAMMAR"
54,"VOCATIONAL/GRAMMAR"
56,"SECONDARY"
21,"SECONDARY"
72,"PRIMARY/NO EDUCATION"
50,"VOCATIONAL/GRAMMAR"
54,"VOCATIONAL/GRAMMAR"
62,"VOCATIONAL/GRAMMAR"
21,"SECONDARY"
54,"VOCATIONAL/GRAMMAR"
41,"VOCATIONAL/GRAMMAR"
57,"SECONDARY"
51,"SECONDARY"
61,"PRIMARY/NO EDUCATION"
42,"VOCATIONAL/GRAMMAR"
88,"SECONDARY"
26,"POST-SECONDARY OR HIGHER"
57,"PRIMARY/NO EDUCATION"
45,"VOCATIONAL/GRAMMAR"
55,"VOCATIONAL/GRAMMAR"
36,"POST-SECONDARY OR HIGHER"
40,"VOCATIONAL/GRAMMAR"
45,"VOCATIONAL/GRAMMAR"
80,"SECONDARY"
56,"VOCATIONAL/GRAMMAR"
64,"PRIMARY/NO EDUCATION"
56,"VOCATIONAL/GRAMMAR"
47,"PRIMARY/NO EDUCATION"
20,"VOCATIONAL/GRAMMAR"
52,"VOCATIONAL/GRAMMAR"
40,"PRIMARY/NO EDUCATION"
31,"POST-SECONDARY OR HIGHER"
21,"SECONDARY"
41,"VOCATIONAL/GRAMMAR"
56,"VOCATIONAL/GRAMMAR"
62,"SECONDARY"
87,"POST-SECONDARY OR HIGHER"
21,"VOCATIONAL/GRAMMAR"
45,"SECONDARY"
21,"POST-SECONDARY OR HIGHER"
72,"PRIMARY/NO EDUCATION"
60,"POST-SECONDARY OR HIGHER"
58,"POST-SECONDARY OR HIGHER"
54,"SECONDARY"
54,"POST-SECONDARY OR HIGHER"
75,"PRIMARY/NO EDUCATION"
71,"VOCATIONAL/GRAMMAR"
52,"SECONDARY"
17,"PRIMARY/NO EDUCATION"
57,"SECONDARY"
59,"PRIMARY/NO EDUCATION"
38,"POST-SECONDARY OR HIGHER"
36,"VOCATIONAL/GRAMMAR"
63,"PRIMARY/NO EDUCATION"
64,"VOCATIONAL/GRAMMAR"
44,"SECONDARY"
60,"SECONDARY"
22,"VOCATIONAL/GRAMMAR"
37,"SECONDARY"
55,"VOCATIONAL/GRAMMAR"
84,"PRIMARY/NO EDUCATION"
27,"POST-SECONDARY OR HIGHER"
19,"VOCATIONAL/GRAMMAR"
22,"POST-SECONDARY OR HIGHER"
53,"POST-SECONDARY OR HIGHER"
43,"POST-SECONDARY OR HIGHER"
47,"VOCATIONAL/GRAMMAR"
32,"POST-SECONDARY OR HIGHER"
68,"POST-SECONDARY OR HIGHER"
73,"SECONDARY"
72,"PRIMARY/NO EDUCATION"
65,"SECONDARY"
18,"VOCATIONAL/GRAMMAR"
30,"SECONDARY"
27,"VOCATIONAL/GRAMMAR"
35,"VOCATIONAL/GRAMMAR"
26,"VOCATIONAL/GRAMMAR"
75,"SECONDARY"
26,"POST-SECONDARY OR HIGHER"
52,"SECONDARY"
57,"SECONDARY"
36,"POST-SECONDARY OR HIGHER"
52,"VOCATIONAL/GRAMMAR"
44,"POST-SECONDARY OR HIGHER"
63,"SECONDARY"
65,"POST-SECONDARY OR HIGHER"
17,"VOCATIONAL/GRAMMAR"
18,"VOCATIONAL/GRAMMAR"
65,"VOCATIONAL/GRAMMAR"
81,"SECONDARY"
49,"POST-SECONDARY OR HIGHER"
43,"SECONDARY"
32,"VOCATIONAL/GRAMMAR"
72,"PRIMARY/NO EDUCATION"
62,"SECONDARY"
68,"VOCATIONAL/GRAMMAR"
65,"POST-SECONDARY OR HIGHER"
17,"VOCATIONAL/GRAMMAR"
42,"VOCATIONAL/GRAMMAR"
76,"SECONDARY"
76,"PRIMARY/NO EDUCATION"
48,"VOCATIONAL/GRAMMAR"
20,"SECONDARY"
68,"PRIMARY/NO EDUCATION"
26,"POST-SECONDARY OR HIGHER"
28,"SECONDARY"
64,"POST-SECONDARY OR HIGHER"
19,"VOCATIONAL/GRAMMAR"
35,"VOCATIONAL/GRAMMAR"
67,"PRIMARY/NO EDUCATION"
45,"VOCATIONAL/GRAMMAR"
64,"VOCATIONAL/GRAMMAR"
41,"SECONDARY"
61,"SECONDARY"
26,"VOCATIONAL/GRAMMAR"
74,"PRIMARY/NO EDUCATION"
26,"SECONDARY"
54,"POST-SECONDARY OR HIGHER"
79,"PRIMARY/NO EDUCATION"
44,"SECONDARY"
47,"PRIMARY/NO EDUCATION"
19,"VOCATIONAL/GRAMMAR"
28,"POST-SECONDARY OR HIGHER"
16,"PRIMARY/NO EDUCATION"
23,"SECONDARY"
44,"VOCATIONAL/GRAMMAR"
53,"POST-SECONDARY OR HIGHER"
72,"POST-SECONDARY OR HIGHER"
58,"PRIMARY/NO EDUCATION"
79,"PRIMARY/NO EDUCATION"
33,"POST-SECONDARY OR HIGHER"
51,"VOCATIONAL/GRAMMAR"
53,"PRIMARY/NO EDUCATION"
19,"VOCATIONAL/GRAMMAR"
32,"POST-SECONDARY OR HIGHER"
65,"SECONDARY"
69,"SECONDARY"
38,"SECONDARY"
19,"VOCATIONAL/GRAMMAR"
62,"PRIMARY/NO EDUCATION"
22,"SECONDARY"
47,"PRIMARY/NO EDUCATION"
35,"PRIMARY/NO EDUCATION"
27,"SECONDARY"
66,"PRIMARY/NO EDUCATION"
84,"POST-SECONDARY OR HIGHER"
46,"VOCATIONAL/GRAMMAR"
64,"SECONDARY"
48,"VOCATIONAL/GRAMMAR"
52,"VOCATIONAL/GRAMMAR"
38,"POST-SECONDARY OR HIGHER"
36,"PRIMARY/NO EDUCATION"
74,"VOCATIONAL/GRAMMAR"
50,"SECONDARY"
64,"VOCATIONAL/GRAMMAR"
61,"VOCATIONAL/GRAMMAR"
69,"SECONDARY"
75,"VOCATIONAL/GRAMMAR"
20,"VOCATIONAL/GRAMMAR"
60,"SECONDARY"
58,"VOCATIONAL/GRAMMAR"
48,"VOCATIONAL/GRAMMAR"
19,"VOCATIONAL/GRAMMAR"
34,"VOCATIONAL/GRAMMAR"
54,"SECONDARY"
44,"PRIMARY/NO EDUCATION"
32,"POST-SECONDARY OR HIGHER"
60,"PRIMARY/NO EDUCATION"
22,"SECONDARY"
67,"PRIMARY/NO EDUCATION"
42,"VOCATIONAL/GRAMMAR"
80,"PRIMARY/NO EDUCATION"
34,"VOCATIONAL/GRAMMAR"
85,"SECONDARY"
18,"VOCATIONAL/GRAMMAR"
27,"SECONDARY"
66,"PRIMARY/NO EDUCATION"
36,"VOCATIONAL/GRAMMAR"
23,"POST-SECONDARY OR HIGHER"
27,"VOCATIONAL/GRAMMAR"
29,"POST-SECONDARY OR HIGHER"
59,"VOCATIONAL/GRAMMAR"
74,"VOCATIONAL/GRAMMAR"
42,"PRIMARY/NO EDUCATION"
36,"POST-SECONDARY OR HIGHER"
28,"POST-SECONDARY OR HIGHER"
34,"VOCATIONAL/GRAMMAR"
35,"VOCATIONAL/GRAMMAR"
60,"POST-SECONDARY OR HIGHER"
71,"PRIMARY/NO EDUCATION"
37,"POST-SECONDARY OR HIGHER"
51,"SECONDARY"
53,"VOCATIONAL/GRAMMAR"
59,"SECONDARY"
48,"VOCATIONAL/GRAMMAR"
37,"SECONDARY"
18,"VOCATIONAL/GRAMMAR"
36,"SECONDARY"
25,"POST-SECONDARY OR HIGHER"
62,"VOCATIONAL/GRAMMAR"
61,"SECONDARY"
22,"SECONDARY"
18,"VOCATIONAL/GRAMMAR"
80,"PRIMARY/NO EDUCATION"
65,"VOCATIONAL/GRAMMAR"
77,"POST-SECONDARY OR HIGHER"
65,"SECONDARY"
74,"PRIMARY/NO EDUCATION"
27,"POST-SECONDARY OR HIGHER"
42,"VOCATIONAL/GRAMMAR"
62,"PRIMARY/NO EDUCATION"
58,"PRIMARY/NO EDUCATION"
38,"VOCATIONAL/GRAMMAR"
41,"POST-SECONDARY OR HIGHER"
58,"SECONDARY"
74,"SECONDARY"
35,"VOCATIONAL/GRAMMAR"
68,"PRIMARY/NO EDUCATION"
20,"VOCATIONAL/GRAMMAR"
82,"SECONDARY"
20,"VOCATIONAL/GRAMMAR"
62,"POST-SECONDARY OR HIGHER"
51,"SECONDARY"
54,"VOCATIONAL/GRAMMAR"
50,"SECONDARY"
47,"POST-SECONDARY OR HIGHER"
74,"PRIMARY/NO EDUCATION"
61,"PRIMARY/NO EDUCATION"
45,"PRIMARY/NO EDUCATION"
61,"VOCATIONAL/GRAMMAR"
58,"SECONDARY"
62,"VOCATIONAL/GRAMMAR"
83,"SECONDARY"
61,"PRIMARY/NO EDUCATION"
60,"PRIMARY/NO EDUCATION"
70,"PRIMARY/NO EDUCATION"
41,"VOCATIONAL/GRAMMAR"
19,"VOCATIONAL/GRAMMAR"
61,"SECONDARY"
17,"VOCATIONAL/GRAMMAR"
62,"VOCATIONAL/GRAMMAR"
22,"SECONDARY"
60,"VOCATIONAL/GRAMMAR"
59,"PRIMARY/NO EDUCATION"
32,"VOCATIONAL/GRAMMAR"
53,"VOCATIONAL/GRAMMAR"
39,"VOCATIONAL/GRAMMAR"
19,"VOCATIONAL/GRAMMAR"
56,"VOCATIONAL/GRAMMAR"
20,"SECONDARY"
28,"POST-SECONDARY OR HIGHER"
56,"POST-SECONDARY OR HIGHER"
27,"SECONDARY"
65,"SECONDARY"
18,"VOCATIONAL/GRAMMAR"
17,"VOCATIONAL/GRAMMAR"
35,"VOCATIONAL/GRAMMAR"
33,"POST-SECONDARY OR HIGHER"
70,"PRIMARY/NO EDUCATION"
28,"VOCATIONAL/GRAMMAR"
28,"POST-SECONDARY OR HIGHER"
37,"VOCATIONAL/GRAMMAR"
55,"POST-SECONDARY OR HIGHER"
82,"POST-SECONDARY OR HIGHER"
49,"VOCATIONAL/GRAMMAR"
78,"SECONDARY"
56,"POST-SECONDARY OR HIGHER"
77,"PRIMARY/NO EDUCATION"
49,"SECONDARY"
57,"VOCATIONAL/GRAMMAR"
40,"PRIMARY/NO EDUCATION"
18,"VOCATIONAL/GRAMMAR"
29,"SECONDARY"
75,"SECONDARY"
58,"VOCATIONAL/GRAMMAR"
48,"SECONDARY"
54,"SECONDARY"
82,"PRIMARY/NO EDUCATION"
18,"VOCATIONAL/GRAMMAR"
37,"VOCATIONAL/GRAMMAR"
46,"POST-SECONDARY OR HIGHER"
57,"VOCATIONAL/GRAMMAR"
25,"POST-SECONDARY OR HIGHER"
36,"VOCATIONAL/GRAMMAR"
53,"VOCATIONAL/GRAMMAR"
27,"SECONDARY"
36,"PRIMARY/NO EDUCATION"
61,"SECONDARY"
61,"VOCATIONAL/GRAMMAR"
87,"VOCATIONAL/GRAMMAR"
90,"PRIMARY/NO EDUCATION"
41,"POST-SECONDARY OR HIGHER"
66,"PRIMARY/NO EDUCATION"
31,"SECONDARY"
51,"POST-SECONDARY OR HIGHER"
51,"VOCATIONAL/GRAMMAR"
73,"PRIMARY/NO EDUCATION"
37,"VOCATIONAL/GRAMMAR"
78,"VOCATIONAL/GRAMMAR"
59,"VOCATIONAL/GRAMMAR"
80,"VOCATIONAL/GRAMMAR"
31,"SECONDARY"
23,"SECONDARY"
36,"PRIMARY/NO EDUCATION"
22,"POST-SECONDARY OR HIGHER"
64,"SECONDARY"
49,"VOCATIONAL/GRAMMAR"
40,"VOCATIONAL/GRAMMAR"
67,"PRIMARY/NO EDUCATION"
70,"VOCATIONAL/GRAMMAR"
53,"POST-SECONDARY OR HIGHER"
72,"SECONDARY"
58,"SECONDARY"
81,"PRIMARY/NO EDUCATION"
56,"VOCATIONAL/GRAMMAR"
39,"VOCATIONAL/GRAMMAR"
29,"POST-SECONDARY OR HIGHER"
81,"PRIMARY/NO EDUCATION"
37,"VOCATIONAL/GRAMMAR"
47,"VOCATIONAL/GRAMMAR"
46,"VOCATIONAL/GRAMMAR"
63,"VOCATIONAL/GRAMMAR"
58,"PRIMARY/NO EDUCATION"
40,"VOCATIONAL/GRAMMAR"
54,"VOCATIONAL/GRAMMAR"
62,"SECONDARY"
49,"SECONDARY"
18,"VOCATIONAL/GRAMMAR"
56,"POST-SECONDARY OR HIGHER"
18,"VOCATIONAL/GRAMMAR"
62,"VOCATIONAL/GRAMMAR"
28,"SECONDARY"
26,"POST-SECONDARY OR HIGHER"
40,"VOCATIONAL/GRAMMAR"
38,"SECONDARY"
52,"VOCATIONAL/GRAMMAR"
29,"SECONDARY"
51,"POST-SECONDARY OR HIGHER"
41,"VOCATIONAL/GRAMMAR"
25,"SECONDARY"
27,"POST-SECONDARY OR HIGHER"
58,"PRIMARY/NO EDUCATION"
67,"PRIMARY/NO EDUCATION"
35,"SECONDARY"
78,"VOCATIONAL/GRAMMAR"
61,"PRIMARY/NO EDUCATION"
28,"SECONDARY"
26,"SECONDARY"
54,"VOCATIONAL/GRAMMAR"
38,"VOCATIONAL/GRAMMAR"
31,"SECONDARY"
37,"VOCATIONAL/GRAMMAR"
72,"PRIMARY/NO EDUCATION"
35,"VOCATIONAL/GRAMMAR"
25,"SECONDARY"
70,"SECONDARY"
25,"SECONDARY"
27,"VOCATIONAL/GRAMMAR"
20,"VOCATIONAL/GRAMMAR"
44,"SECONDARY"
27,"SECONDARY"
28,"POST-SECONDARY OR HIGHER"
51,"SECONDARY"
30,"VOCATIONAL/GRAMMAR"
75,"POST-SECONDARY OR HIGHER"
68,"VOCATIONAL/GRAMMAR"
57,"VOCATIONAL/GRAMMAR"
65,"SECONDARY"
71,"SECONDARY"
29,"SECONDARY"
57,"POST-SECONDARY OR HIGHER"
52,"SECONDARY"
19,"VOCATIONAL/GRAMMAR"
37,"PRIMARY/NO EDUCATION"
43,"SECONDARY"
24,"POST-SECONDARY OR HIGHER"
69,"PRIMARY/NO EDUCATION"
73,"VOCATIONAL/GRAMMAR"
89,"PRIMARY/NO EDUCATION"
42,"PRIMARY/NO EDUCATION"
63,"SECONDARY"
21,"SECONDARY"
65,"SECONDARY"
55,"VOCATIONAL/GRAMMAR"
39,"VOCATIONAL/GRAMMAR"
21,"SECONDARY"
18,"VOCATIONAL/GRAMMAR"
58,"SECONDARY"
59,"VOCATIONAL/GRAMMAR"
62,"SECONDARY"
48,"POST-SECONDARY OR HIGHER"
26,"SECONDARY"
50,"VOCATIONAL/GRAMMAR"
39,"VOCATIONAL/GRAMMAR"
26,"VOCATIONAL/GRAMMAR"
26,"POST-SECONDARY OR HIGHER"
57,"SECONDARY"
28,"POST-SECONDARY OR HIGHER"
22,"POST-SECONDARY OR HIGHER"
41,"PRIMARY/NO EDUCATION"
48,"SECONDARY"
71,"PRIMARY/NO EDUCATION"
59,"VOCATIONAL/GRAMMAR"
21,"VOCATIONAL/GRAMMAR"
43,"SECONDARY"
65,"SECONDARY"
44,"VOCATIONAL/GRAMMAR"
52,"SECONDARY"
38,"POST-SECONDARY OR HIGHER"
72,"PRIMARY/NO EDUCATION"
27,"SECONDARY"
31,"POST-SECONDARY OR HIGHER"
18,"VOCATIONAL/GRAMMAR"
53,"SECONDARY"
70,"POST-SECONDARY OR HIGHER"
78,"SECONDARY"
39,"SECONDARY"
58,"VOCATIONAL/GRAMMAR"
53,"POST-SECONDARY OR HIGHER"
44,"POST-SECONDARY OR HIGHER"
23,"VOCATIONAL/GRAMMAR"
60,"VOCATIONAL/GRAMMAR"
69,"SECONDARY"
79,"PRIMARY/NO EDUCATION"
58,"PRIMARY/NO EDUCATION"
43,"SECONDARY"
63,"PRIMARY/NO EDUCATION"
41,"VOCATIONAL/GRAMMAR"
32,"SECONDARY"
38,"POST-SECONDARY OR HIGHER"
49,"VOCATIONAL/GRAMMAR"
90,"PRIMARY/NO EDUCATION"
30,"POST-SECONDARY OR HIGHER"
65,"SECONDARY"
36,"SECONDARY"
45,"SECONDARY"
49,"POST-SECONDARY OR HIGHER"
62,"SECONDARY"
70,"PRIMARY/NO EDUCATION"
57,"VOCATIONAL/GRAMMAR"
65,"SECONDARY"
42,"VOCATIONAL/GRAMMAR"
22,"SECONDARY"
63,"SECONDARY"
60,"POST-SECONDARY OR HIGHER"
22,"SECONDARY"
34,"VOCATIONAL/GRAMMAR"
33,"POST-SECONDARY OR HIGHER"
23,"SECONDARY"
51,"POST-SECONDARY OR HIGHER"
34,"SECONDARY"
64,"POST-SECONDARY OR HIGHER"
70,"PRIMARY/NO EDUCATION"
70,"SECONDARY"
59,"VOCATIONAL/GRAMMAR"
57,"SECONDARY"
18,"VOCATIONAL/GRAMMAR"
56,"PRIMARY/NO EDUCATION"
87,"PRIMARY/NO EDUCATION"
60,"VOCATIONAL/GRAMMAR"
62,"SECONDARY"
60,"PRIMARY/NO EDUCATION"
66,"PRIMARY/NO EDUCATION"
46,"SECONDARY"
38,"VOCATIONAL/GRAMMAR"
47,"VOCATIONAL/GRAMMAR"
43,"VOCATIONAL/GRAMMAR"
32,"SECONDARY"
72,"SECONDARY"
50,"VOCATIONAL/GRAMMAR"
18,"VOCATIONAL/GRAMMAR"
57,"VOCATIONAL/GRAMMAR"
45,"SECONDARY"
64,"SECONDARY"
55,"VOCATIONAL/GRAMMAR"
39,"SECONDARY"
49,"VOCATIONAL/GRAMMAR"
70,"PRIMARY/NO EDUCATION"
61,"SECONDARY"
63,"PRIMARY/NO EDUCATION"
40,"POST-SECONDARY OR HIGHER"
58,"SECONDARY"
38,"SECONDARY"
50,"SECONDARY"
48,"VOCATIONAL/GRAMMAR"
76,"SECONDARY"
56,"SECONDARY"
64,"VOCATIONAL/GRAMMAR"
23,"VOCATIONAL/GRAMMAR"
44,"PRIMARY/NO EDUCATION"
76,"PRIMARY/NO EDUCATION"
31,"POST-SECONDARY OR HIGHER"
27,"PRIMARY/NO EDUCATION"
41,"VOCATIONAL/GRAMMAR"
51,"SECONDARY"
60,"SECONDARY"
64,"SECONDARY"
20,"VOCATIONAL/GRAMMAR"
55,"VOCATIONAL/GRAMMAR"
80,"VOCATIONAL/GRAMMAR"
74,"PRIMARY/NO EDUCATION"
28,"POST-SECONDARY OR HIGHER"
62,"SECONDARY"
51,"POST-SECONDARY OR HIGHER"
48,"POST-SECONDARY OR HIGHER"
52,"SECONDARY"
65,"SECONDARY"
63,"PRIMARY/NO EDUCATION"
20,"VOCATIONAL/GRAMMAR"
46,"SECONDARY"
67,"SECONDARY"
53,"SECONDARY"
74,"SECONDARY"
23,"POST-SECONDARY OR HIGHER"
76,"VOCATIONAL/GRAMMAR"
61,"POST-SECONDARY OR HIGHER"
42,"PRIMARY/NO EDUCATION"
80,"PRIMARY/NO EDUCATION"
29,"SECONDARY"
27,"POST-SECONDARY OR HIGHER"
40,"PRIMARY/NO EDUCATION"
62,"POST-SECONDARY OR HIGHER"
24,"SECONDARY"
26,"VOCATIONAL/GRAMMAR"
17,"VOCATIONAL/GRAMMAR"
60,"PRIMARY/NO EDUCATION"
49,"VOCATIONAL/GRAMMAR"
81,"SECONDARY"
83,"PRIMARY/NO EDUCATION"
29,"SECONDARY"
57,"VOCATIONAL/GRAMMAR"
16,"PRIMARY/NO EDUCATION"
37,"POST-SECONDARY OR HIGHER"
73,"POST-SECONDARY OR HIGHER"
45,"VOCATIONAL/GRAMMAR"
75,"SECONDARY"
54,"POST-SECONDARY OR HIGHER"
20,"VOCATIONAL/GRAMMAR"
74,"VOCATIONAL/GRAMMAR"
70,"PRIMARY/NO EDUCATION"
17,"PRIMARY/NO EDUCATION"
27,"PRIMARY/NO EDUCATION"
68,"PRIMARY/NO EDUCATION"
81,"SECONDARY"
43,"VOCATIONAL/GRAMMAR"
54,"PRIMARY/NO EDUCATION"
40,"VOCATIONAL/GRAMMAR"
74,"PRIMARY/NO EDUCATION"
51,"VOCATIONAL/GRAMMAR"
29,"POST-SECONDARY OR HIGHER"
60,"PRIMARY/NO EDUCATION"
56,"PRIMARY/NO EDUCATION"
61,"POST-SECONDARY OR HIGHER"
26,"POST-SECONDARY OR HIGHER"
30,"POST-SECONDARY OR HIGHER"
72,"SECONDARY"
74,"PRIMARY/NO EDUCATION"
70,"PRIMARY/NO EDUCATION"
65,"POST-SECONDARY OR HIGHER"
28,"SECONDARY"
85,"SECONDARY"
38,"POST-SECONDARY OR HIGHER"
64,"PRIMARY/NO EDUCATION"
51,"SECONDARY"
55,"VOCATIONAL/GRAMMAR"
30,"SECONDARY"
55,"VOCATIONAL/GRAMMAR"
61,"SECONDARY"
59,"SECONDARY"
40,"SECONDARY"
79,"SECONDARY"
64,"SECONDARY"
57,"VOCATIONAL/GRAMMAR"
40,"POST-SECONDARY OR HIGHER"
36,"VOCATIONAL/GRAMMAR"
60,"VOCATIONAL/GRAMMAR"
31,"VOCATIONAL/GRAMMAR"
75,"VOCATIONAL/GRAMMAR"
59,"SECONDARY"
33,"POST-SECONDARY OR HIGHER"
34,"POST-SECONDARY OR HIGHER"
21,"VOCATIONAL/GRAMMAR"
58,"SECONDARY"
45,"PRIMARY/NO EDUCATION"
20,"SECONDARY"
52,"SECONDARY"
17,"VOCATIONAL/GRAMMAR"
18,"VOCATIONAL/GRAMMAR"
55,"POST-SECONDARY OR HIGHER"
40,"POST-SECONDARY OR HIGHER"
35,"POST-SECONDARY OR HIGHER"
46,"SECONDARY"
76,"SECONDARY"
80,"PRIMARY/NO EDUCATION"
72,"VOCATIONAL/GRAMMAR"
46,"SECONDARY"
61,"VOCATIONAL/GRAMMAR"
48,"SECONDARY"
70,"PRIMARY/NO EDUCATION"
59,"PRIMARY/NO EDUCATION"
58,"VOCATIONAL/GRAMMAR"
25,"POST-SECONDARY OR HIGHER"
49,"SECONDARY"
54,"VOCATIONAL/GRAMMAR"
63,"POST-SECONDARY OR HIGHER"
49,"POST-SECONDARY OR HIGHER"
45,"VOCATIONAL/GRAMMAR"
62,"VOCATIONAL/GRAMMAR"
60,"VOCATIONAL/GRAMMAR"
26,"VOCATIONAL/GRAMMAR"
28,"PRIMARY/NO EDUCATION"
82,"PRIMARY/NO EDUCATION"
45,"VOCATIONAL/GRAMMAR"
49,"SECONDARY"
17,"VOCATIONAL/GRAMMAR"
63,"PRIMARY/NO EDUCATION"
71,"PRIMARY/NO EDUCATION"
27,"SECONDARY"
20,"VOCATIONAL/GRAMMAR"
61,"PRIMARY/NO EDUCATION"
61,"SECONDARY"
47,"SECONDARY"
17,"VOCATIONAL/GRAMMAR"
71,"PRIMARY/NO EDUCATION"
24,"SECONDARY"
60,"VOCATIONAL/GRAMMAR"
64,"SECONDARY"
69,"PRIMARY/NO EDUCATION"
54,"SECONDARY"
37,"POST-SECONDARY OR HIGHER"
50,"POST-SECONDARY OR HIGHER"
39,"SECONDARY"
50,"POST-SECONDARY OR HIGHER"
54,"VOCATIONAL/GRAMMAR"
41,"PRIMARY/NO EDUCATION"
45,"VOCATIONAL/GRAMMAR"
48,"VOCATIONAL/GRAMMAR"
45,"SECONDARY"
57,"VOCATIONAL/GRAMMAR"
36,"VOCATIONAL/GRAMMAR"
63,"SECONDARY"
76,"PRIMARY/NO EDUCATION"
38,"VOCATIONAL/GRAMMAR"
70,"PRIMARY/NO EDUCATION"
32,"VOCATIONAL/GRAMMAR"
43,"PRIMARY/NO EDUCATION"
79,"PRIMARY/NO EDUCATION"
19,"VOCATIONAL/GRAMMAR"
67,"SECONDARY"
20,"SECONDARY"
60,"SECONDARY"
35,"VOCATIONAL/GRAMMAR"
48,"PRIMARY/NO EDUCATION"
34,"SECONDARY"
73,"POST-SECONDARY OR HIGHER"
75,"PRIMARY/NO EDUCATION"
69,"PRIMARY/NO EDUCATION"
30,"POST-SECONDARY OR HIGHER"
84,"POST-SECONDARY OR HIGHER"
89,"PRIMARY/NO EDUCATION"
42,"VOCATIONAL/GRAMMAR"
22,"VOCATIONAL/GRAMMAR"
35,"POST-SECONDARY OR HIGHER"
54,"SECONDARY"
52,"PRIMARY/NO EDUCATION"
38,"VOCATIONAL/GRAMMAR"
21,"SECONDARY"
22,"VOCATIONAL/GRAMMAR"
54,"VOCATIONAL/GRAMMAR"
88,"POST-SECONDARY OR HIGHER"
73,"PRIMARY/NO EDUCATION"
31,"SECONDARY"
57,"VOCATIONAL/GRAMMAR"
19,"VOCATIONAL/GRAMMAR"
28,"SECONDARY"
66,"SECONDARY"
24,"SECONDARY"
18,"VOCATIONAL/GRAMMAR"
42,"SECONDARY"
33,"POST-SECONDARY OR HIGHER"
41,"VOCATIONAL/GRAMMAR"
37,"SECONDARY"
46,"VOCATIONAL/GRAMMAR"
53,"VOCATIONAL/GRAMMAR"
61,"PRIMARY/NO EDUCATION"
18,"VOCATIONAL/GRAMMAR"
21,"SECONDARY"
58,"VOCATIONAL/GRAMMAR"
68,"VOCATIONAL/GRAMMAR"
27,"POST-SECONDARY OR HIGHER"
39,"POST-SECONDARY OR HIGHER"
52,"VOCATIONAL/GRAMMAR"
