sex,age,income,edu
FEMALE,16,1003.0,SECONDARY
FEMALE,31,,VOCATIONAL/GRAMMAR
FEMALE,76,1360.0,POST-SECONDARY OR HIGHER
FEMALE,49,-8.0,SECONDARY
MALE,58,1505.0,PRIMARY/NO EDUCATION
FEMALE,60,1491.0,POST-SECONDARY OR HIGHER
FEMALE,71,1434.0,POST-SECONDARY OR HIGHER
FEMALE,80,389.0,PRIMARY/NO EDUCATION
MALE,42,1793.0,SECONDARY
FEMALE,18,7241.0,SECONDARY
MALE,51,1220.0,
FEMALE,16,986.0,POST-SECONDARY OR HIGHER
MALE,75,752.0,POST-SECONDARY OR HIGHER
FEMALE,40,1814.0,PRIMARY/NO EDUCATION
MALE,38,368.0,SECONDARY
FEMALE,16,307.0,SECONDARY
MALE,43,1012.0,SECONDARY
MALE,61,3275.0,SECONDARY
MALE,21,705.0,POST-SECONDARY OR HIGHER
FEMALE,25,,PRIMARY/NO EDUCATION
MALE,23,,PRIMARY/NO EDUCATION
MALE,23,502.0,VOCATIONAL/GRAMMAR
MALE,18,1346.0,POST-SECONDARY OR HIGHER
FEMALE,16,350.0,VOCATIONAL/GRAMMAR
FEMALE,42,1348.0,VOCATIONAL/GRAMMAR
FEMALE,31,1657.0,VOCATIONAL/GRAMMAR
FEMALE,59,1097.0,VOCATIONAL/GRAMMAR
MALE,24,,VOCATIONAL/GRAMMAR
FEMALE,75,638.0,VOCATIONAL/GRAMMAR
MALE,21,1358.0,SECONDARY
FEMALE,53,1444.0,PRIMARY/NO EDUCATION
FEMALE,21,1678.0,
FEMALE,18,-8.0,PRIMARY/NO EDUCATION
MALE,28,1169.0,PRIMARY/NO EDUCATION
FEMALE,23,754.0,VOCATIONAL/GRAMMAR
MALE,19,1443.0,POST-SECONDARY OR HIGHER
FEMALE,24,1980.0,VOCATIONAL/GRAMMAR
FEMALE,25,537.0,POST-SECONDARY OR HIGHER
FEMALE,60,466.0,SECONDARY
FEMALE,54,1571.0,PRIMARY/NO EDUCATION
MALE,34,24.0,VOCATIONAL/GRAMMAR
FEMALE,86,1592.0,SECONDARY
MALE,23,392.0,POST-SECONDARY OR HIGHER
MALE,52,1434.0,POST-SECONDARY OR HIGHER
MALE,84,886.0,VOCATIONAL/GRAMMAR
MALE,25,1668.0,SECONDARY
FEMALE,18,,PRIMARY/NO EDUCATION
FEMALE,28,2718.0,VOCATIONAL/GRAMMAR
FEMALE,64,458.0,POST-SECONDARY OR HIGHER
FEMALE,80,1418.0,PRIMARY/NO EDUCATION
FEMALE,28,2068.0,VOCATIONAL/GRAMMAR
FEMALE,45,825.0,VOCATIONAL/GRAMMAR
FEMALE,91,1166.0,VOCATIONAL/GRAMMAR
MALE,32,562.0,POST-SECONDARY OR HIGHER
MALE,16,1289.0,SECONDARY
FEMALE,16,934.0,SECONDARY
FEMALE,17,953.0,SECONDARY
MALE,28,1473.0,POST-SECONDARY OR HIGHER
MALE,67,103.0,VOCATIONAL/GRAMMAR
FEMALE,46,1363.0,SECONDARY
FEMALE,25,1333.0,SECONDARY
FEMALE,46,554.0,SECONDARY
MALE,44,,POST-SECONDARY OR HIGHER
FEMALE,19,1346.0,VOCATIONAL/GRAMMAR
FEMALE,32,-8.0,POST-SECONDARY OR HIGHER
FEMALE,63,1159.0,PRIMARY/NO EDUCATION
FEMALE,88,942.0,PRIMARY/NO EDUCATION
FEMALE,86,470.0,SECONDARY
MALE,16,927.0,VOCATIONAL/GRAMMAR
MALE,27,1115.0,POST-SECONDARY OR HIGHER
FEMALE,89,439.0,SECONDARY
MALE,54,1556.0,PRIMARY/NO EDUCATION
FEMALE,71,1445.0,SECONDARY
FEMALE,58,,PRIMARY/NO EDUCATION
FEMALE,29,1549.0,VOCATIONAL/GRAMMAR
MALE,30,3136.0,PRIMARY/NO EDUCATION
MALE,28,-8.0,SECONDARY
FEMALE,65,584.0,VOCATIONAL/GRAMMAR
MALE,23,1426.0,SECONDARY
MALE,46,,PRIMARY/NO EDUCATION
MALE,41,-8.0,SECONDARY
MALE,48,454.0,PRIMARY/NO EDUCATION
MALE,87,,SECONDARY
FEMALE,34,445.0,VOCATIONAL/GRAMMAR
FEMALE,56,1333.0,POST-SECONDARY OR HIGHER
FEMALE,43,1423.0,PRIMARY/NO EDUCATION
MALE,60,1150.0,VOCATIONAL/GRAMMAR
FEMALE,17,1320.0,PRIMARY/NO EDUCATION
FEMALE,19,634.0,POST-SECONDARY OR HIGHER
MALE,41,,VOCATIONAL/GRAMMAR
FEMALE,24,1297.0,POST-SECONDARY OR HIGHER
MALE,28,1549.0,SECONDARY
MALE,51,633.0,VOCATIONAL/GRAMMAR
FEMALE,23,1671.0,POST-SECONDARY OR HIGHER
MALE,35,1805.0,VOCATIONAL/GRAMMAR
FEMALE,20,-8.0,VOCATIONAL/GRAMMAR
MALE,24,1092.0,VOCATIONAL/GRAMMAR
FEMALE,27,752.0,PRIMARY/NO EDUCATION
FEMALE,31,1482.0,SECONDARY
MALE,60,60.0,VOCATIONAL/GRAMMAR
MALE,16,1174.0,SECONDARY
MALE,61,613.0,SECONDARY
FEMALE,63,-8.0,SECONDARY
MALE,16,821.0,SECONDARY
FEMALE,22,1167.0,SECONDARY
FEMALE,23,1295.0,
FEMALE,24,-8.0,VOCATIONAL/GRAMMAR
MALE,21,1552.0,PRIMARY/NO EDUCATION
MALE,20,650.0,POST-SECONDARY OR HIGHER
MALE,68,572.0,POST-SECONDARY OR HIGHER
MALE,30,1482.0,VOCATIONAL/GRAMMAR
FEMALE,62,326.0,SECONDARY
FEMALE,21,1042.0,SECONDARY
FEMALE,73,-8.0,SECONDARY
FEMALE,71,110.0,SECONDARY
FEMALE,66,2207.0,
FEMALE,26,,SECONDARY
MALE,25,278.0,VOCATIONAL/GRAMMAR
FEMALE,44,113.0,VOCATIONAL/GRAMMAR
MALE,19,1230.0,SECONDARY
MALE,30,,PRIMARY/NO EDUCATION
MALE,24,1074.0,SECONDARY
FEMALE,33,977.0,VOCATIONAL/GRAMMAR
MALE,32,146.0,PRIMARY/NO EDUCATION
MALE,16,1113.0,VOCATIONAL/GRAMMAR
FEMALE,19,1389.0,SECONDARY
FEMALE,43,305.0,POST-SECONDARY OR HIGHER
MALE,52,,POST-SECONDARY OR HIGHER
FEMALE,26,,PRIMARY/NO EDUCATION
FEMALE,42,2132.0,SECONDARY
MALE,40,1069.0,VOCATIONAL/GRAMMAR
MALE,49,1503.0,POST-SECONDARY OR HIGHER
MALE,26,,SECONDARY
MALE,17,1039.0,PRIMARY/NO EDUCATION
FEMALE,39,1299.0,VOCATIONAL/GRAMMAR
FEMALE,68,1154.0,VOCATIONAL/GRAMMAR
FEMALE,47,,
MALE,62,,SECONDARY
MALE,62,1297.0,POST-SECONDARY OR HIGHER
FEMALE,83,-3.0,
MALE,24,627.0,PRIMARY/NO EDUCATION
MALE,17,67.0,VOCATIONAL/GRAMMAR
FEMALE,29,3647.0,PRIMARY/NO EDUCATION
MALE,51,970.0,VOCATIONAL/GRAMMAR
FEMALE,16,774.0,VOCATIONAL/GRAMMAR
MALE,66,1583.0,POST-SECONDARY OR HIGHER
FEMALE,17,1482.0,VOCATIONAL/GRAMMAR
FEMALE,21,646.0,SECONDARY
FEMALE,22,851.0,PRIMARY/NO EDUCATION
MALE,19,2373.0,VOCATIONAL/GRAMMAR
FEMALE,61,95.0,POST-SECONDARY OR HIGHER
FEMALE,54,470.0,VOCATIONAL/GRAMMAR
MALE,46,145.0,SECONDARY
MALE,22,-8.0,PRIMARY/NO EDUCATION
MALE,68,1409.0,PRIMARY/NO EDUCATION
MALE,46,693.0,VOCATIONAL/GRAMMAR
FEMALE,56,59.0,SECONDARY
FEMALE,26,1569.0,VOCATIONAL/GRAMMAR
FEMALE,70,2637.0,SECONDARY
MALE,65,410.0,POST-SECONDARY OR HIGHER
MALE,64,141.0,PRIMARY/NO EDUCATION
MALE,23,1646.0,PRIMARY/NO EDUCATION
FEMALE,32,1452.0,POST-SECONDARY OR HIGHER
FEMALE,31,,SECONDARY
FEMALE,26,1328.0,POST-SECONDARY OR HIGHER
FEMALE,73,,SECONDARY
FEMALE,27,,PRIMARY/NO EDUCATION
FEMALE,49,6580.0,POST-SECONDARY OR HIGHER
FEMALE,28,,VOCATIONAL/GRAMMAR
FEMALE,21,838.0,SECONDARY
FEMALE,16,1123.0,VOCATIONAL/GRAMMAR
FEMALE,47,144.0,VOCATIONAL/GRAMMAR
FEMALE,51,-8.0,VOCATIONAL/GRAMMAR
MALE,28,971.0,VOCATIONAL/GRAMMAR
MALE,62,,VOCATIONAL/GRAMMAR
MALE,22,-8.0,POST-SECONDARY OR HIGHER
FEMALE,21,1836.0,VOCATIONAL/GRAMMAR
FEMALE,26,1624.0,VOCATIONAL/GRAMMAR
MALE,30,60.0,POST-SECONDARY OR HIGHER
FEMALE,43,573.0,POST-SECONDARY OR HIGHER
MALE,60,,VOCATIONAL/GRAMMAR
MALE,23,1025.0,POST-SECONDARY OR HIGHER
FEMALE,78,1864.0,VOCATIONAL/GRAMMAR
MALE,20,849.0,VOCATIONAL/GRAMMAR
FEMALE,38,1597.0,SECONDARY
MALE,36,1045.0,VOCATIONAL/GRAMMAR
FEMALE,16,793.0,POST-SECONDARY OR HIGHER
FEMALE,16,471.0,VOCATIONAL/GRAMMAR
MALE,58,1036.0,VOCATIONAL/GRAMMAR
MALE,36,,SECONDARY
FEMALE,88,1251.0,
MALE,64,959.0,SECONDARY
MALE,74,1682.0,SECONDARY
FEMALE,26,121.0,VOCATIONAL/GRAMMAR
FEMALE,41,,PRIMARY/NO EDUCATION
MALE,16,1427.0,PRIMARY/NO EDUCATION
FEMALE,33,499.0,
MALE,55,917.0,POST-SECONDARY OR HIGHER
MALE,81,219.0,VOCATIONAL/GRAMMAR
MALE,54,977.0,VOCATIONAL/GRAMMAR
MALE,60,1679.0,VOCATIONAL/GRAMMAR
FEMALE,93,1177.0,POST-SECONDARY OR HIGHER
FEMALE,28,,SECONDARY
FEMALE,81,897.0,PRIMARY/NO EDUCATION
FEMALE,26,2499.0,PRIMARY/NO EDUCATION
MALE,58,1141.0,VOCATIONAL/GRAMMAR
MALE,31,859.0,POST-SECONDARY OR HIGHER
FEMALE,69,1154.0,VOCATIONAL/GRAMMAR
MALE,65,2021.0,POST-SECONDARY OR HIGHER
FEMALE,76,1485.0,PRIMARY/NO EDUCATION
MALE,69,1252.0,SECONDARY
MALE,18,991.0,POST-SECONDARY OR HIGHER
FEMALE,90,368.0,PRIMARY/NO EDUCATION
FEMALE,29,1803.0,VOCATIONAL/GRAMMAR
FEMALE,20,483.0,PRIMARY/NO EDUCATION
FEMALE,45,1374.0,VOCATIONAL/GRAMMAR
MALE,28,1588.0,
FEMALE,77,2026.0,SECONDARY
FEMALE,53,851.0,SECONDARY
FEMALE,50,876.0,VOCATIONAL/GRAMMAR
FEMALE,72,212.0,SECONDARY
MALE,16,284.0,SECONDARY
FEMALE,54,611.0,POST-SECONDARY OR HIGHER
FEMALE,19,923.0,SECONDARY
FEMALE,88,3.0,VOCATIONAL/GRAMMAR
MALE,44,1693.0,VOCATIONAL/GRAMMAR
FEMALE,46,2372.0,
FEMALE,33,,POST-SECONDARY OR HIGHER
MALE,73,-8.0,POST-SECONDARY OR HIGHER
FEMALE,18,1291.0,PRIMARY/NO EDUCATION
FEMALE,16,272.0,PRIMARY/NO EDUCATION
MALE,16,1349.0,POST-SECONDARY OR HIGHER
FEMALE,20,1588.0,POST-SECONDARY OR HIGHER
MALE,53,596.0,SECONDARY
FEMALE,47,175.0,SECONDARY
MALE,36,683.0,VOCATIONAL/GRAMMAR
FEMALE,41,211.0,SECONDARY
MALE,40,741.0,SECONDARY
FEMALE,32,276.0,POST-SECONDARY OR HIGHER
MALE,41,,VOCATIONAL/GRAMMAR
MALE,94,850.0,SECONDARY
MALE,24,25.0,POST-SECONDARY OR HIGHER
MALE,28,1566.0,SECONDARY
FEMALE,55,1212.0,VOCATIONAL/GRAMMAR
MALE,25,1262.0,SECONDARY
FEMALE,57,1763.0,SECONDARY
MALE,35,1221.0,PRIMARY/NO EDUCATION
MALE,43,65.0,PRIMARY/NO EDUCATION
FEMALE,51,,PRIMARY/NO EDUCATION
MALE,42,1309.0,SECONDARY
MALE,32,2078.0,POST-SECONDARY OR HIGHER
MALE,77,856.0,SECONDARY
MALE,39,838.0,PRIMARY/NO EDUCATION
FEMALE,16,,POST-SECONDARY OR HIGHER
FEMALE,92,1722.0,POST-SECONDARY OR HIGHER
FEMALE,65,2066.0,PRIMARY/NO EDUCATION
MALE,26,,PRIMARY/NO EDUCATION
FEMALE,42,873.0,PRIMARY/NO EDUCATION
MALE,28,772.0,VOCATIONAL/GRAMMAR
FEMALE,67,-8.0,PRIMARY/NO EDUCATION
FEMALE,22,1696.0,SECONDARY
MALE,54,1472.0,PRIMARY/NO EDUCATION
MALE,29,,PRIMARY/NO EDUCATION
FEMALE,56,,SECONDARY
FEMALE,42,689.0,POST-SECONDARY OR HIGHER
MALE,65,,
FEMALE,68,,VOCATIONAL/GRAMMAR
FEMALE,49,372.0,PRIMARY/NO EDUCATION
FEMALE,16,,VOCATIONAL/GRAMMAR
MALE,40,1742.0,SECONDARY
FEMALE,52,660.0,POST-SECONDARY OR HIGHER
FEMALE,47,1117.0,SECONDARY
FEMALE,24,920.0,SECONDARY
MALE,17,498.0,SECONDARY
FEMALE,23,2258.0,PRIMARY/NO EDUCATION
MALE,20,1066.0,SECONDARY
FEMALE,32,894.0,VOCATIONAL/GRAMMAR
MALE,51,1308.0,PRIMARY/NO EDUCATION
FEMALE,74,2234.0,PRIMARY/NO EDUCATION
MALE,16,431.0,
MALE,53,2012.0,PRIMARY/NO EDUCATION
MALE,19,143.0,PRIMARY/NO EDUCATION
MALE,66,,PRIMARY/NO EDUCATION
FEMALE,20,230.0,PRIMARY/NO EDUCATION
FEMALE,16,1022.0,VOCATIONAL/GRAMMAR
FEMALE,51,544.0,SECONDARY
FEMALE,91,1960.0,POST-SECONDARY OR HIGHER
MALE,32,1274.0,VOCATIONAL/GRAMMAR
MALE,32,7384.0,SECONDARY
FEMALE,29,661.0,VOCATIONAL/GRAMMAR
FEMALE,21,266.0,POST-SECONDARY OR HIGHER
MALE,69,,SECONDARY
FEMALE,40,882.0,VOCATIONAL/GRAMMAR
MALE,46,-8.0,VOCATIONAL/GRAMMAR
MALE,58,,VOCATIONAL/GRAMMAR
FEMALE,22,-5.0,VOCATIONAL/GRAMMAR
FEMALE,53,1999.0,VOCATIONAL/GRAMMAR
MALE,29,-8.0,
MALE,24,924.0,VOCATIONAL/GRAMMAR
FEMALE,84,1612.0,VOCATIONAL/GRAMMAR
MALE,53,1426.0,VOCATIONAL/GRAMMAR
MALE,55,584.0,VOCATIONAL/GRAMMAR
MALE,18,,SECONDARY
FEMALE,17,518.0,POST-SECONDARY OR HIGHER
MALE,74,883.0,PRIMARY/NO EDUCATION
FEMALE,23,,PRIMARY/NO EDUCATION
FEMALE,59,1274.0,SECONDARY
FEMALE,50,82.0,SECONDARY
MALE,58,,POST-SECONDARY OR HIGHER
MALE,61,407.0,VOCATIONAL/GRAMMAR
FEMALE,17,1139.0,POST-SECONDARY OR HIGHER
MALE,52,1469.0,PRIMARY/NO EDUCATION
MALE,26,1111.0,
FEMALE,16,888.0,POST-SECONDARY OR HIGHER
FEMALE,49,690.0,SECONDARY
MALE,35,818.0,VOCATIONAL/GRAMMAR
MALE,70,393.0,VOCATIONAL/GRAMMAR
FEMALE,23,-8.0,PRIMARY/NO EDUCATION
FEMALE,21,686.0,SECONDARY
MALE,16,1972.0,PRIMARY/NO EDUCATION
FEMALE,35,1726.0,POST-SECONDARY OR HIGHER
MALE,49,1485.0,POST-SECONDARY OR HIGHER
FEMALE,31,1421.0,VOCATIONAL/GRAMMAR
MALE,24,772.0,POST-SECONDARY OR HIGHER
FEMALE,20,23.0,POST-SECONDARY OR HIGHER
FEMALE,38,1126.0,VOCATIONAL/GRAMMAR
FEMALE,38,1054.0,
MALE,27,1353.0,PRIMARY/NO EDUCATION
FEMALE,75,6365.0,SECONDARY
MALE,85,-8.0,POST-SECONDARY OR HIGHER
FEMALE,51,1482.0,SECONDARY
MALE,30,212.0,VOCATIONAL/GRAMMAR
FEMALE,70,127.0,SECONDARY
FEMALE,18,1646.0,PRIMARY/NO EDUCATION
MALE,28,2084.0,VOCATIONAL/GRAMMAR
FEMALE,69,1454.0,VOCATIONAL/GRAMMAR
MALE,25,,VOCATIONAL/GRAMMAR
FEMALE,54,-8.0,SECONDARY
MALE,37,589.0,VOCATIONAL/GRAMMAR
FEMALE,25,1723.0,SECONDARY
FEMALE,38,353.0,VOCATIONAL/GRAMMAR
FEMALE,24,588.0,PRIMARY/NO EDUCATION
MALE,30,31.0,PRIMARY/NO EDUCATION
MALE,25,457.0,POST-SECONDARY OR HIGHER
FEMALE,51,711.0,SECONDARY
MALE,53,1692.0,SECONDARY
FEMALE,38,556.0,POST-SECONDARY OR HIGHER
FEMALE,23,1966.0,POST-SECONDARY OR HIGHER
FEMALE,54,477.0,VOCATIONAL/GRAMMAR
FEMALE,80,,POST-SECONDARY OR HIGHER
MALE,23,29.0,PRIMARY/NO EDUCATION
FEMALE,55,1224.0,SECONDARY
MALE,79,,POST-SECONDARY OR HIGHER
FEMALE,27,2096.0,PRIMARY/NO EDUCATION
FEMALE,57,604.0,PRIMARY/NO EDUCATION
FEMALE,32,1416.0,PRIMARY/NO EDUCATION
MALE,31,26.0,
FEMALE,65,1528.0,SECONDARY
MALE,28,1452.0,PRIMARY/NO EDUCATION
MALE,19,,VOCATIONAL/GRAMMAR
MALE,21,1064.0,SECONDARY
FEMALE,40,803.0,POST-SECONDARY OR HIGHER
MALE,28,1113.0,
MALE,37,,PRIMARY/NO EDUCATION
MALE,23,719.0,SECONDARY
FEMALE,66,1539.0,POST-SECONDARY OR HIGHER
MALE,19,1433.0,VOCATIONAL/GRAMMAR
FEMALE,50,1311.0,POST-SECONDARY OR HIGHER
FEMALE,16,655.0,PRIMARY/NO EDUCATION
MALE,23,,SECONDARY
FEMALE,36,816.0,POST-SECONDARY OR HIGHER
MALE,85,1255.0,VOCATIONAL/GRAMMAR
FEMALE,66,,PRIMARY/NO EDUCATION
MALE,78,16.0,POST-SECONDARY OR HIGHER
FEMALE,46,34.0,VOCATIONAL/GRAMMAR
FEMALE,23,1416.0,VOCATIONAL/GRAMMAR
MALE,63,1390.0,POST-SECONDARY OR HIGHER
MALE,58,172.0,SECONDARY
MALE,78,141.0,VOCATIONAL/GRAMMAR
FEMALE,51,841.0,PRIMARY/NO EDUCATION
FEMALE,85,,SECONDARY
FEMALE,29,,VOCATIONAL/GRAMMAR
FEMALE,44,1338.0,POST-SECONDARY OR HIGHER
FEMALE,35,1649.0,VOCATIONAL/GRAMMAR
FEMALE,69,1680.0,PRIMARY/NO EDUCATION
FEMALE,70,,SECONDARY
MALE,19,1716.0,PRIMARY/NO EDUCATION
MALE,57,1064.0,SECONDARY
MALE,50,2358.0,VOCATIONAL/GRAMMAR
MALE,21,847.0,POST-SECONDARY OR HIGHER
FEMALE,26,157.0,POST-SECONDARY OR HIGHER
MALE,24,1585.0,SECONDARY
MALE,28,1598.0,SECONDARY
FEMALE,25,1216.0,VOCATIONAL/GRAMMAR
FEMALE,22,1886.0,SECONDARY
FEMALE,32,849.0,PRIMARY/NO EDUCATION
FEMALE,59,11462.0,SECONDARY
MALE,16,874.0,PRIMARY/NO EDUCATION
MALE,40,845.0,SECONDARY
MALE,41,-8.0,POST-SECONDARY OR HIGHER
MALE,28,1325.0,
MALE,23,1090.0,VOCATIONAL/GRAMMAR
FEMALE,41,,VOCATIONAL/GRAMMAR
MALE,81,900.0,VOCATIONAL/GRAMMAR
FEMALE,22,-8.0,SECONDARY
MALE,22,266.0,POST-SECONDARY OR HIGHER
FEMALE,66,1008.0,PRIMARY/NO EDUCATION
FEMALE,29,1519.0,PRIMARY/NO EDUCATION
FEMALE,51,2188.0,VOCATIONAL/GRAMMAR
FEMALE,47,2006.0,SECONDARY
FEMALE,84,1208.0,VOCATIONAL/GRAMMAR
FEMALE,62,69.0,SECONDARY
FEMALE,36,2217.0,SECONDARY
MALE,77,3037.0,PRIMARY/NO EDUCATION
MALE,42,345.0,SECONDARY
FEMALE,36,2978.0,
