Variable,ROC Value,epsilon,copies,number,parents
var2,0.9547362548574507,0.5,10,5,1
var3,0.9939927169928847,0.5,10,5,1
var4,0.995971000856464,0.5,10,5,1
var1,0.9090043344477647,0.5,10,6,1
var2,0.986035500614129,0.5,10,6,1
var3,0.9939927169928847,0.5,10,6,1
var4,0.9302834198808896,0.5,10,6,1
var1,0.9742402547611224,0.5,10,7,1
var2,0.9547362548574507,0.5,10,7,1
var3,0.9508146060945741,0.5,10,7,1
var4,0.989952250695844,0.5,10,7,1
var1,0.9959848852166038,0.5,10,8,1
var2,0.9586033131250724,0.5,10,8,1
var3,0.9316906401562866,0.5,10,8,1
var4,0.9377598522399593,0.5,10,8,1
var1,0.8941520489171677,0.5,10,9,1
var2,0.9230484646688863,0.5,10,9,1
var3,0.9435535126546363,0.5,10,9,1
var4,0.937046060231731,0.5,10,9,1
var1,0.9761952366950897,0.5,10,10,1
var2,0.9355863346056461,0.5,10,10,1
var3,0.937396684814753,0.5,10,10,1
var4,0.9605768153023797,0.5,10,10,1
var1,0.9549221785410489,0.75,10,1,1
var2,0.9979950326483196,0.75,10,1,1
var3,0.9431292356246046,0.75,10,1,1
var4,0.9799858117239548,0.75,10,1,1
var1,0.9259198046764955,0.75,10,2,1
var2,0.9840544174642094,0.75,10,2,1
var3,0.9587765037030201,0.75,10,2,1
var4,0.9490941289172675,0.75,10,2,1
var1,0.9454159982098632,0.75,10,3,1
var2,0.956668208448967,0.75,10,3,1
var3,0.997992459187357,0.75,10,3,1
var4,0.9544382479377251,0.75,10,3,1
var1,0.9702143393745891,0.75,10,4,1
var2,0.934194369571728,0.75,10,4,1
var3,0.9900104964335982,0.75,10,4,1
var4,0.9505530341623057,0.75,10,4,1
var1,0.9604484064973187,0.75,10,5,1
var2,0.9840846293518591,0.75,10,5,1
var3,0.9587765037030201,0.75,10,5,1
var4,0.9622442452749242,0.75,10,5,1
var1,0.9662985083936968,0.75,10,6,1
var2,0.9605415860735009,0.75,10,6,1
var3,0.9450460495165945,0.75,10,6,1
var4,0.9625054224893874,0.75,10,6,1
var1,1.0,0.75,10,7,1
var2,0.9722387359198998,0.75,10,7,1
var3,0.9801325024391779,0.75,10,7,1
var4,0.9408908834230492,0.75,10,7,1
var1,0.9820390192960387,0.75,10,8,1
var2,0.9801493710691824,0.75,10,8,1
var3,0.9241230928252029,0.75,10,8,1
var4,0.9490941289172675,0.75,10,8,1
var1,0.9530129742007273,0.75,10,9,1
var2,0.9092720970537262,0.75,10,9,1
var3,0.9722048181447949,0.75,10,9,1
var4,0.9720697430085821,0.75,10,9,1
var1,0.9090043344477647,0.75,10,10,1
var2,0.9801493710691824,0.75,10,10,1
var3,0.9492326664839683,0.75,10,10,1
var4,0.9681303643756445,0.75,10,10,1
var1,0.9606740923233514,1.0,10,1,1
var2,0.9280104319111413,1.0,10,1,1
var3,0.9508146060945741,1.0,10,1,1
var4,0.937046060231731,1.0,10,1,1
var1,0.9587527124982687,1.0,10,2,1
var2,0.9204810522785707,1.0,10,2,1
var3,0.9722048181447949,1.0,10,2,1
var4,0.995971000856464,1.0,10,2,1
var1,0.9435265930871599,1.0,10,3,1
var2,0.9722387359198998,1.0,10,3,1
var3,0.9279011297099434,1.0,10,3,1
var4,0.9879525286516653,1.0,10,3,1
var1,0.9565639042257656,1.0,10,4,1
var2,0.9204810522785707,1.0,10,4,1
var3,0.9454426905639206,1.0,10,4,1
var4,0.9839627707177376,1.0,10,4,1
var1,1.0,1.0,10,5,1
var2,0.924239988034252,1.0,10,5,1
var3,0.9511335118271205,1.0,10,5,1
var4,0.9740440712708924,1.0,10,5,1
var1,0.9416410756173015,1.0,10,6,1
var2,0.9920070058116393,1.0,10,6,1
var3,0.9279011297099434,1.0,10,6,1
var4,0.9563852776064279,1.0,10,6,1
var1,0.9454159982098632,1.0,10,7,1
var2,0.9979945506270786,1.0,10,7,1
var3,0.937396684814753,1.0,10,7,1
var4,0.9544382479377251,1.0,10,7,1
var1,0.986035500614129,1.0,10,8,1
var2,0.94703961190267,1.0,10,8,1
var3,0.9568597654571132,1.0,10,8,1
var4,0.9642032467913029,1.0,10,8,1
var1,0.9625995811987607,1.0,10,9,1
var2,0.956668208448967,1.0,10,9,1
var3,0.962434710397442,1.0,10,9,1
var4,0.9702632072376131,1.0,10,9,1
var1,0.9507601669446515,1.0,10,10,1
var2,0.9801493710691824,1.0,10,10,1
var3,0.9840362352121375,1.0,10,10,1
var4,0.9780917071171908,1.0,10,10,1
var1,0.9565639042257656,10.0,10,1,1
var2,0.931792506119375,10.0,10,1,1
var3,0.9473357339836361,10.0,10,1,1
var4,0.9919552248971366,10.0,10,1,1
var1,0.9979907183633487,10.0,10,2,1
var2,0.931792506119375,10.0,10,2,1
var3,0.9568597654571132,10.0,10,2,1
var4,0.9681303643756445,10.0,10,2,1
var1,0.9568354163067059,10.0,10,3,1
var2,1.0,10.0,10,3,1
var3,0.9431292356246046,10.0,10,3,1
var4,0.9681303643756445,10.0,10,3,1
var1,1.0,10.0,10,4,1
var2,0.9586033131250724,10.0,10,4,1
var3,0.9549470370625676,10.0,10,4,1
var4,0.9389670554626215,10.0,10,4,1
var1,0.9354154825508696,10.0,10,5,1
var2,0.960723912206392,10.0,10,5,1
var3,0.962434710397442,10.0,10,5,1
var4,0.995971000856464,10.0,10,5,1
var1,0.9492065668163279,10.0,10,6,1
var2,0.9355863346056461,10.0,10,6,1
var3,0.962434710397442,10.0,10,6,1
var4,0.9919673252553214,10.0,10,6,1
var1,0.929709497585743,10.0,10,7,1
var2,0.9588037505283787,10.0,10,7,1
var3,0.9939927169928847,10.0,10,7,1
var4,0.9661652811046921,10.0,10,7,1
var1,0.9373232566702221,10.0,10,8,1
var2,0.9979950326483196,10.0,10,8,1
var3,0.9549470370625676,10.0,10,8,1
var4,0.9681303643756445,10.0,10,8,1
var1,0.9900026261758106,10.0,10,9,1
var2,0.9355863346056461,10.0,10,9,1
var3,0.962434710397442,10.0,10,9,1
var4,0.9548165701381102,10.0,10,9,1
var1,0.9900026261758106,10.0,10,10,1
var2,0.9261237638597544,10.0,10,10,1
var3,0.9568597654571132,10.0,10,10,1
var4,0.9661652811046921,10.0,10,10,1
var1,0.986035500614129,0.0,10,1,2
var2,0.9586033131250724,0.0,10,1,2
var3,0.9549470370625676,0.0,10,1,2
var4,0.9563852776064279,0.0,10,1,2
var1,0.9549221785410489,0.0,10,2,2
var2,0.9762311125029359,0.0,10,2,2
var3,0.9241230928252029,0.0,10,2,2
var4,0.9661652811046921,0.0,10,2,2
var1,0.986035500614129,0.0,10,3,2
var2,0.9586033131250724,0.0,10,3,2
var3,0.9549470370625676,0.0,10,3,2
var4,0.9563852776064279,0.0,10,3,2
var1,0.9549221785410489,0.0,10,4,2
var2,0.9762311125029359,0.0,10,4,2
var3,0.9241230928252029,0.0,10,4,2
var4,0.9661652811046921,0.0,10,4,2
var1,0.9549221785410489,0.0,10,5,2
var2,0.9762311125029359,0.0,10,5,2
var3,0.9241230928252029,0.0,10,5,2
var4,0.9661652811046921,0.0,10,5,2
var1,0.986035500614129,0.0,10,6,2
var2,0.9586033131250724,0.0,10,6,2
var3,0.9549470370625676,0.0,10,6,2
var4,0.9563852776064279,0.0,10,6,2
var1,0.986035500614129,0.0,10,7,2
var2,0.9586033131250724,0.0,10,7,2
var3,0.9549470370625676,0.0,10,7,2
var4,0.9563852776064279,0.0,10,7,2
var1,0.9492065668163279,0.0,10,8,2
var2,0.9801493710691824,0.0,10,8,2
var3,0.962434710397442,0.0,10,8,2
var4,0.9447470966503504,0.0,10,8,2
var1,0.9549221785410489,0.0,10,9,2
var2,0.9762311125029359,0.0,10,9,2
var3,0.9241230928252029,0.0,10,9,2
var4,0.9661652811046921,0.0,10,9,2
var1,0.9549221785410489,0.0,10,10,2
var2,0.9762311125029359,0.0,10,10,2
var3,0.9241230928252029,0.0,10,10,2
var4,0.9661652811046921,0.0,10,10,2
var1,0.7790861662573844,0.1,10,1,2
var2,0.9723296429128333,0.1,10,1,2
var3,0.8796975478764751,0.1,10,1,2
var4,0.9160979533804767,0.1,10,1,2
var1,0.8230762835860601,0.1,10,2,2
var2,0.9223590892123927,0.1,10,2,2
var3,0.939786660035117,0.1,10,2,2
var4,0.9548165701381102,0.1,10,2,2
var1,0.8779255544269511,0.1,10,3,2
var2,0.7932188356716658,0.1,10,3,2
var3,0.9939878197904428,0.1,10,3,2
var4,0.8813666510777602,0.1,10,3,2
var1,0.9840586414261823,0.1,10,4,2
var2,0.9860587002096436,0.1,10,4,2
var3,0.9568597654571132,0.1,10,4,2
var4,0.8353615225520714,0.1,10,4,2
var1,0.946906162400625,0.1,10,5,2
var2,0.7648903884028024,0.1,10,5,2
var3,0.8687517348877929,0.1,10,5,2
var4,0.929390115070485,0.1,10,5,2
var1,0.8328014270040506,0.1,10,6,2
var2,0.9741996786959759,0.1,10,6,2
var3,0.8570002276160325,0.1,10,6,2
var4,0.8899006622516556,0.1,10,6,2
var1,0.8621973929236499,0.1,10,7,2
var2,0.8691474493361285,0.1,10,7,2
var3,0.8472364702187795,0.1,10,7,2
var4,0.8678345660961555,0.1,10,7,2
var1,0.7934426810487587,0.1,10,8,2
var2,0.8246794871794872,0.1,10,8,2
var3,0.8814649221554343,0.1,10,8,2
var4,0.7446750067907206,0.1,10,8,2
var1,0.9221414106628836,0.1,10,9,2
var2,0.9626480688351275,0.1,10,9,2
var3,0.7525847159054513,0.1,10,9,2
var4,0.929390115070485,0.1,10,9,2
var1,0.736439927453157,0.1,10,10,2
var2,0.7498980761880495,0.1,10,10,2
var3,0.7542533536057276,0.1,10,10,2
var4,0.9486148191810271,0.1,10,10,2
var1,0.9083405306715936,0.25,10,1,2
var2,0.9665084653829763,0.25,10,1,2
var3,0.8924565359714847,0.25,10,1,2
var4,0.9760215142934995,0.25,10,1,2
var1,0.9156391524247132,0.25,10,2,2
var2,0.9299000075182318,0.25,10,2,2
var3,0.9606972765524576,0.25,10,2,2
var4,0.9544382479377251,0.25,10,2,2
var1,0.8812924348355972,0.25,10,3,2
var2,0.934194369571728,0.25,10,3,2
var3,0.9900104964335982,0.25,10,3,2
var4,0.9302834198808896,0.25,10,3,2
var1,0.9899878858399815,0.25,10,4,2
var2,0.9167335041402103,0.25,10,4,2
var3,0.9379089391272957,0.25,10,4,2
var4,0.9819726999857068,0.25,10,4,2
var1,0.9354154825508696,0.25,10,5,2
var2,0.9074136788632851,0.25,10,5,2
var3,0.9702443772133493,0.25,10,5,2
var4,0.9486148191810271,0.25,10,5,2
var1,0.986035500614129,0.25,10,6,2
var2,0.934194369571728,0.25,10,6,2
var3,0.9919906823874787,0.25,10,6,2
var4,0.840723753948846,0.25,10,6,2
var1,0.9879956564800783,0.25,10,7,2
var2,0.8726520305814687,0.25,10,7,2
var3,0.8961417184899712,0.25,10,7,2
var4,0.9760215142934995,0.25,10,7,2
var1,0.9335106081180756,0.25,10,8,2
var2,0.9683267087522407,0.25,10,8,2
var3,0.9248692846812772,0.25,10,8,2
var4,0.8552556832853055,0.25,10,8,2
var1,0.9435265930871599,0.25,10,9,2
var2,0.9549753147843392,0.25,10,9,2
var3,0.8669456839951113,0.25,10,9,2
var4,0.9544382479377251,0.25,10,9,2
var1,0.9682548361773011,0.25,10,10,2
var2,0.9223590892123927,0.25,10,10,2
var3,0.9360349913309766,0.25,10,10,2
var4,0.9544382479377251,0.25,10,10,2
var1,0.9880168193350884,0.5,10,1,2
var2,0.9939985639634609,0.5,10,1,2
var3,0.9663331593746836,0.5,10,1,2
var4,0.9255787626648554,0.5,10,1,2
var1,0.9879956564800783,0.5,10,2,2
var2,0.941698113207547,0.5,10,2,2
var3,0.9431292356246046,0.5,10,2,2
var4,0.9644383376611279,0.5,10,2,2
var1,0.9939878197904428,0.5,10,3,2
var2,0.9900079538675681,0.5,10,3,2
var3,0.9880066762041011,0.5,10,3,2
var4,0.9198821912871109,0.5,10,3,2
var1,0.9585046099537843,0.5,10,4,2
var2,0.9840846293518591,0.5,10,4,2
var3,0.964382347452883,0.5,10,4,2
var4,0.9740440712708924,0.5,10,4,2
var1,0.9454159982098632,0.5,10,5,2
var2,0.9626480688351275,0.5,10,5,2
var3,0.9801325024391779,0.5,10,5,2
var4,0.9505530341623057,0.5,10,5,2
var1,0.9052753595412026,0.5,10,6,2
var2,0.9156890096175023,0.5,10,6,2
var3,0.9880260902685203,0.5,10,6,2
var4,0.9529049245168041,0.5,10,6,2
var1,0.9702143393745891,0.5,10,7,2
var2,0.9379388107945575,0.5,10,7,2
var3,0.9248692846812772,0.5,10,7,2
var4,0.9681303643756445,0.5,10,7,2
var1,0.9780844539736091,0.5,10,8,2
var2,0.9435833932014972,0.5,10,8,2
var3,0.9072607406751914,0.5,10,8,2
var4,0.9509974528236942,0.5,10,8,2
var1,0.9373232566702221,0.5,10,9,2
var2,0.960723912206392,0.5,10,9,2
var3,0.9335897358399323,0.5,10,9,2
var4,0.9919673252553214,0.5,10,9,2
var1,0.9065246013733705,0.5,10,10,2
var2,0.9626480688351275,0.5,10,10,2
var3,0.8651420565388572,0.5,10,10,2
var4,0.9486148191810271,0.5,10,10,2
var1,0.9565639042257656,0.75,10,1,2
var2,0.960723912206392,0.75,10,1,2
var3,0.9431292356246046,0.75,10,1,2
var4,0.985992766870678,0.75,10,1,2
var1,0.9568354163067059,0.75,10,2,2
var2,0.9644277061655537,0.75,10,2,2
var3,0.9450460495165945,0.75,10,2,2
var4,0.9548165701381102,0.75,10,2,2
var1,0.9373232566702221,0.75,10,3,2
var2,0.9762311125029359,0.75,10,3,2
var3,0.9360349913309766,0.75,10,3,2
var4,0.9740440712708924,0.75,10,3,2
var1,1.0,0.75,10,4,2
var2,0.9684447550275642,0.75,10,4,2
var3,0.9203564097779436,0.75,10,4,2
var4,0.9661652811046921,0.75,10,4,2
var1,0.9604484064973187,0.75,10,5,2
var2,0.9723296429128333,0.75,10,5,2
var3,0.9899969742091139,0.75,10,5,2
var4,0.937046060231731,0.75,10,5,2
var1,0.9645292047526685,0.75,10,6,2
var2,0.9454724558611804,0.75,10,6,2
var3,0.9546755688428968,0.75,10,6,2
var4,0.989952250695844,0.75,10,6,2
var1,0.970343142984035,0.75,10,7,2
var2,0.9900198609731876,0.75,10,7,2
var3,0.9549470370625676,0.75,10,7,2
var4,0.9544382479377251,0.75,10,7,2
var1,0.9454159982098632,0.75,10,8,2
var2,0.993994251726478,0.75,10,8,2
var3,0.9939878197904428,0.75,10,8,2
var4,0.9642032467913029,0.75,10,8,2
var1,0.9304083026387971,0.75,10,9,2
var2,0.943209759068245,0.75,10,9,2
var3,0.9354917455775825,0.75,10,9,2
var4,0.9939682959684404,0.75,10,9,2
var1,0.946906162400625,0.75,10,10,2
var2,0.9683267087522407,0.75,10,10,2
var3,0.9568597654571132,0.75,10,10,2
var4,0.9702632072376131,0.75,10,10,2
var1,0.9979913150966415,1.0,10,1,2
var2,0.941698113207547,1.0,10,1,2
var3,0.9663331593746836,1.0,10,1,2
var4,0.937046060231731,1.0,10,1,2
var1,0.9664629888268157,1.0,10,2,2
var2,0.9508817327966265,1.0,10,2,2
var3,0.9241230928252029,1.0,10,2,2
var4,0.9979838384814941,1.0,10,2,2
var1,0.9454159982098632,1.0,10,3,2
var2,0.9204810522785707,1.0,10,3,2
var3,0.991999362499004,1.0,10,3,2
var4,0.9622442452749242,1.0,10,3,2
var1,0.939233945791379,1.0,10,4,2
var2,0.94703961190267,1.0,10,4,2
var3,0.9900104964335982,1.0,10,4,2
var4,0.9702632072376131,1.0,10,4,2
var1,0.9360076139845017,1.0,10,5,2
var2,0.9723296429128333,1.0,10,5,2
var3,0.9469658717954602,1.0,10,5,2
var4,0.9780020888224263,1.0,10,5,2
var1,0.9378816093899893,1.0,10,6,2
var2,0.943209759068245,1.0,10,6,2
var3,0.9919906823874787,1.0,10,6,2
var4,0.9332125094512392,1.0,10,6,2
var1,0.9820390192960387,1.0,10,7,2
var2,0.9840846293518591,1.0,10,7,2
var3,0.9488887185775597,1.0,10,7,2
var4,0.9605768153023797,1.0,10,7,2
var1,0.9565639042257656,1.0,10,8,2
var2,0.94703961190267,1.0,10,8,2
var3,0.9939878197904428,1.0,10,8,2
var4,0.9509974528236942,1.0,10,8,2
var1,0.9278132313874821,1.0,10,9,2
var2,0.9547362548574507,1.0,10,9,2
var3,0.9568597654571132,1.0,10,9,2
var4,0.9509974528236942,1.0,10,9,2
var1,0.9549221785410489,1.0,10,10,2
var2,0.9722387359198998,1.0,10,10,2
var3,0.9959905886872179,1.0,10,10,2
var4,0.9408908834230492,1.0,10,10,2
var1,0.9549221785410489,10.0,10,1,2
var2,0.9451231602226797,10.0,10,1,2
var3,0.9880260902685203,10.0,10,1,2
var4,0.9661652811046921,10.0,10,1,2
var1,0.9684009594787402,10.0,10,2,2
var2,0.9586033131250724,10.0,10,2,2
var3,0.9393045691063087,10.0,10,2,2
var4,0.9529049245168041,10.0,10,2,2
var1,0.9880168193350884,10.0,10,3,2
var2,0.9412993920972644,10.0,10,3,2
var3,0.9530382939692732,10.0,10,3,2
var4,0.9681303643756445,10.0,10,3,2
var1,0.986035500614129,10.0,10,4,2
var2,0.9586033131250724,10.0,10,4,2
var3,0.9549470370625676,10.0,10,4,2
var4,0.9544382479377251,10.0,10,4,2
var1,0.9492065668163279,10.0,10,5,2
var2,0.9801493710691824,10.0,10,5,2
var3,0.962434710397442,10.0,10,5,2
var4,0.9408908834230492,10.0,10,5,2
var1,0.9492065668163279,10.0,10,6,2
var2,0.9801493710691824,10.0,10,6,2
var3,0.962434710397442,10.0,10,6,2
var4,0.9466795117336226,10.0,10,6,2
var1,0.9549221785410489,10.0,10,7,2
var2,0.9801493710691824,10.0,10,7,2
var3,0.9241230928252029,10.0,10,7,2
var4,0.9681303643756445,10.0,10,7,2
var1,0.9643453388593777,10.0,10,8,2
var2,0.9451231602226797,10.0,10,8,2
var3,0.9473357339836361,10.0,10,8,2
var4,0.9780917071171908,10.0,10,8,2
var1,0.9585046099537843,10.0,10,9,2
var2,0.9626480688351275,10.0,10,9,2
var3,0.937396684814753,10.0,10,9,2
var4,0.9899711008039086,10.0,10,9,2
var1,0.9643453388593777,10.0,10,10,2
var2,0.9204810522785707,10.0,10,10,2
var3,0.9473357339836361,10.0,10,10,2
var4,0.9761278528041517,10.0,10,10,2
var1,0.9565639042257656,0.0,10,1,4
var2,0.988037101633106,0.0,10,1,4
var3,0.9473357339836361,0.0,10,1,4
var4,0.9642032467913029,0.0,10,1,4
var1,0.9549221785410489,0.0,10,2,4
var2,0.9762311125029359,0.0,10,2,4
var3,0.9450460495165945,0.0,10,2,4
var4,0.9661652811046921,0.0,10,2,4
var1,0.986035500614129,0.0,10,3,4
var2,0.9586033131250724,0.0,10,3,4
var3,0.9549470370625676,0.0,10,3,4
var4,0.9740440712708924,0.0,10,3,4
var1,0.9565639042257656,0.0,10,4,4
var2,0.988037101633106,0.0,10,4,4
var3,0.9473357339836361,0.0,10,4,4
var4,0.9642032467913029,0.0,10,4,4
var1,0.9492065668163279,0.0,10,5,4
var2,0.9801493710691824,0.0,10,5,4
var3,0.962434710397442,0.0,10,5,4
var4,0.9642032467913029,0.0,10,5,4
var1,0.9549221785410489,0.0,10,6,4
var2,0.9762311125029359,0.0,10,6,4
var3,0.9450460495165945,0.0,10,6,4
var4,0.9661652811046921,0.0,10,6,4
var1,0.9565639042257656,0.0,10,7,4
var2,0.988037101633106,0.0,10,7,4
var3,0.9473357339836361,0.0,10,7,4
var4,0.9642032467913029,0.0,10,7,4
var1,0.9549221785410489,0.0,10,8,4
var2,0.9762311125029359,0.0,10,8,4
var3,0.9450460495165945,0.0,10,8,4
var4,0.9661652811046921,0.0,10,8,4
var1,0.9565639042257656,0.0,10,9,4
var2,0.988037101633106,0.0,10,9,4
var3,0.9473357339836361,0.0,10,9,4
var4,0.9642032467913029,0.0,10,9,4
var1,0.9492065668163279,0.0,10,10,4
var2,0.9801493710691824,0.0,10,10,4
var3,0.962434710397442,0.0,10,10,4
var4,0.9642032467913029,0.0,10,10,4
var1,0.9090043344477647,0.1,10,1,4
var2,0.8313570133619821,0.1,10,1,4
var3,0.9682871634802965,0.1,10,1,4
var4,0.9123243690710579,0.1,10,1,4
var1,0.9416410756173015,0.1,10,2,4
var2,0.9267493685930768,0.1,10,2,4
var3,0.9184772889842633,0.1,10,2,4
var4,0.9702632072376131,0.1,10,2,4
var1,0.9860067812222081,0.1,10,3,4
var2,0.8957322551662174,0.1,10,3,4
var3,0.9820560548218054,0.1,10,3,4
var4,0.9509974528236942,0.1,10,3,4
var1,0.8416012862390736,0.1,10,4,4
var2,0.937487695918831,0.1,10,4,4
var3,0.8993148015847243,0.1,10,4,4
var4,0.9160979533804767,0.1,10,4,4
var1,0.8776409368115776,0.1,10,5,4
var2,0.9355863346056461,0.1,10,5,4
var3,0.822551976364145,0.1,10,5,4
var4,0.9302834198808896,0.1,10,5,4
var1,0.9488316600746541,0.1,10,6,4
var2,0.9860587002096436,0.1,10,6,4
var3,0.9604902310159433,0.1,10,6,4
var4,0.7968860020284108,0.1,10,6,4
var1,0.9010974308907811,0.1,10,7,4
var2,0.8944808146935808,0.1,10,7,4
var3,0.8604591995680076,0.1,10,7,4
var4,0.8176254233337447,0.1,10,7,4
var1,0.8831219254967964,0.1,10,8,4
var2,0.8761686848774992,0.1,10,8,4
var3,0.9919906823874787,0.1,10,8,4
var4,0.9919552248971366,0.1,10,8,4
var1,0.8577319696777199,0.1,10,9,4
var2,0.9029424546409299,0.1,10,9,4
var3,0.8501170839923586,0.1,10,9,4
var4,0.9066837330958875,0.1,10,9,4
var1,0.9285493482309124,0.1,10,10,4
var2,0.9473653240195892,0.1,10,10,4
var3,0.8957187632541856,0.1,10,10,4
