"sex","age","placesize","region","edu","socprof","unempdur","income","marital","mmarr","ymarr","msepdiv","ysepdiv","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","nociga","alcabuse","alcsol","workab","wkabdur","wkabint","wkabintdur","emcc","englang","height","weight","random_1","random_2","eduspec"
"MALE",31,"RURAL AREAS","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",0,600,"SINGLE",NA,NA,NA,NA,"MIXED",3,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",30,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",175,100,"VR","ID","not applicable"
"MALE",32,"URBAN 500,000 AND OVER","Malopolskie","POST-SECONDARY OR HIGHER","SELF-EMPLOYED",NA,7500,"MARRIED",9,2005,NA,NA,"PLEASED",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",6,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",175,75,"ZS","KA","not applicable"
"FEMALE",74,"URBAN 100,000-200,000","Pomorskie","PRIMARY/NO EDUCATION","RETIRED",0,890,"WIDOWED",8,1965,11,1981,"MOSTLY SATISFIED",3,"IT`S DIFFICULT TO TELL","YES","YES","YES",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,70,"AD","SL","not applicable"
"FEMALE",85,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",0,NA,"WIDOWED",7,1952,7,1971,"PLEASED",15,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",165,75,"CH","TN","not applicable"
"MALE",80,"RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",0,900,"MARRIED",6,1952,NA,NA,"MOSTLY SATISFIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",158,72,"DJ","KD","not applicable"
"FEMALE",65,"RURAL AREAS","Podkarpackie","PRIMARY/NO EDUCATION","RETIRED",NA,1000,"MARRIED",8,1965,NA,NA,"MOSTLY SATISFIED",11,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",4,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",166,72,"DJ","KD","not applicable"
"FEMALE",96,"URBAN 100,000-200,000","Warminsko-mazurskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",NA,1500,"WIDOWED",4,1938,7,1993,"MIXED",7,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",3,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"NONE",162,96,"CH","AK","not applicable"
"FEMALE",72,"RURAL AREAS","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",24,780,"WIDOWED",10,2005,7,1966,"MOSTLY DISSATISFIED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",2,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"NONE",150,56,"JO","SL","not applicable"
"FEMALE",32,"URBAN 100,000-200,000","Swietokrzyskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",0,1400,"DIVORCED",6,2004,6,2006,"PLEASED",0,"IT`S DIFFICULT TO TELL","YES","NO","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",158,54,"WD","FM","not applicable"
"MALE",77,"RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",0,800,"MARRIED",10,1955,NA,NA,"PLEASED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",176,65,"PP","AY","not applicable"
"MALE",67,"RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",NA,600,"SINGLE",NA,NA,NA,NA,"MOSTLY DISSATISFIED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",2,"YES",10,"NO","YES",NA,NA,"NO",NA,NA,"NONE",162,80,"AE","EB","not applicable"
"MALE",90,"RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",24,1200,"MARRIED",8,1945,NA,NA,"PLEASED",9,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",8,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",180,85,"JO","SL","not applicable"
"FEMALE",81,"URBAN 100,000-200,000","Podlaskie","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE",NA,NA,"MARRIED",8,1953,NA,NA,"MOSTLY SATISFIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",159,52,"CH","AK","not applicable"
"FEMALE",81,"RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",24,1100,"WIDOWED",4,1950,12,1990,"MOSTLY DISSATISFIED",18,"ONE CAN`T BE TOO CAREFUL","NO","NO","YES",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",158,63,"AD","HN","not applicable"
"FEMALE",77,"RURAL AREAS","Podkarpackie","PRIMARY/NO EDUCATION","RETIRED",NA,890,"WIDOWED",6,1954,11,2002,"MIXED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,80,"AZ","KA","not applicable"
"FEMALE",77,"RURAL AREAS","Malopolskie","PRIMARY/NO EDUCATION","RETIRED",0,860,"WIDOWED",10,1956,12,2008,"MOSTLY SATISFIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"YES",25,"NO","NO","NO",NA,"NO",NA,NA,"NONE",182,98,"DJ","EB","not applicable"
"FEMALE",83,"RURAL AREAS","Mazowieckie","PRIMARY/NO EDUCATION",NA,NA,700,"WIDOWED",6,1948,NA,1992,"MIXED",15,NA,"YES","YES","YES",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",154,45,"ZS","ID","not applicable"
"MALE",85,"RURAL AREAS","Malopolskie","PRIMARY/NO EDUCATION","RETIRED",0,1400,"WIDOWED",1,1949,10,1995,"PLEASED",8,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",162,75,"DJ","IH","not applicable"
"FEMALE",83,"URBAN 100,000-200,000","Podkarpackie","PRIMARY/NO EDUCATION","RETIRED",NA,1200,"WIDOWED",1,1966,1,1988,"MOSTLY DISSATISFIED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,100,"RQ","SN","not applicable"
"MALE",61,"RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","EMPLOYED IN PUBLIC SECTOR",0,1500,"MARRIED",4,1974,NA,NA,"PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",6,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,72,"MP","SL","not applicable"
"FEMALE",38,"URBAN 20,000-100,000","Lubelskie","PRIMARY/NO EDUCATION","UNEMPLOYED",24,500,"DIVORCED",11,1981,3,2002,"PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",20,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",155,83,"MP","HN","not applicable"
"FEMALE",91,"RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",NA,950,"WIDOWED",12,1946,8,1997,"MIXED",16,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",165,74,"WD","KD","not applicable"
"MALE",36,"RURAL AREAS","Dolnoslaskie","SECONDARY","UNEMPLOYED",2,4300,"MARRIED",9,2010,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",7,"YES",15,"NO","NO","YES","36","YES, TO EU COUNTRY","LESS THAN 1 YEAR",NA,"ACTIVE",180,95,"VR","IH","not applicable"
"FEMALE",83,"RURAL AREAS","Mazowieckie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",NA,1250,"WIDOWED",8,1948,6,2005,"MOSTLY SATISFIED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",NA,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"NONE",162,66,"ZS","KA","not applicable"
"FEMALE",84,"RURAL AREAS","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","RETIRED",0,1020,"WIDOWED",NA,NA,1,2006,"MOSTLY SATISFIED",17,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",5,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",165,50,"CC","TN","not applicable"
"MALE",97,"RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",24,600,"MARRIED",1,1946,NA,NA,"MIXED",21,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",1,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",168,70,"AD","NH","not applicable"
"FEMALE",79,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",NA,1060,"WIDOWED",1,1952,10,1985,"MOSTLY SATISFIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",23,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,85,"KH","BP","not applicable"
"MALE",84,"RURAL AREAS","Dolnoslaskie","PRIMARY/NO EDUCATION","RETIRED",NA,1300,"MARRIED",2,1954,NA,NA,"PLEASED",11,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",168,78,"MP","KA","not applicable"
"FEMALE",81,"URBAN 20,000-100,000","Pomorskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",0,1400,"WIDOWED",4,1952,7,2007,"MOSTLY SATISFIED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",160,62,"WQ","ID","not applicable"
"FEMALE",91,"RURAL AREAS","Slaskie","PRIMARY/NO EDUCATION","RETIRED",24,950,"WIDOWED",9,1943,8,2001,"MOSTLY SATISFIED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",156,58,"DJ","AP","not applicable"
"FEMALE",80,"RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",0,700,"WIDOWED",NA,NA,9,1999,"MIXED",19,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",150,55,"WD","PB","not applicable"
"FEMALE",92,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",24,820,"WIDOWED",10,1940,1,1944,"MOSTLY DISSATISFIED",16,"IT`S DIFFICULT TO TELL","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",150,44,"PP","KA","not applicable"
"FEMALE",77,"RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",NA,800,"MARRIED",10,1961,NA,NA,"MOSTLY SATISFIED",14,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",8,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,70,"WD","HM","not applicable"
"MALE",73,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",0,800,"MARRIED",6,1957,NA,NA,"MOSTLY SATISFIED",7,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",6,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,76,"WQ","SN","not applicable"
"FEMALE",82,"RURAL AREAS","Podlaskie","PRIMARY/NO EDUCATION","RETIRED",NA,1150,"WIDOWED",6,1954,6,1999,"MIXED",18,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,85,"ZS","CT","not applicable"
"MALE",82,"RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",0,900,"WIDOWED",4,1954,5,1991,"MOSTLY SATISFIED",10,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,70,"KH","KA","not applicable"
"MALE",89,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",NA,900,"MARRIED",NA,1950,NA,NA,"MIXED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,80,"CC","SL","not applicable"
"FEMALE",88,"RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",NA,2000,"WIDOWED",6,1943,9,2003,"PLEASED",12,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",7,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"NONE",156,58,"MP","QG","not applicable"
"FEMALE",82,"URBAN 100,000-200,000","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",NA,1200,"WIDOWED",8,1954,2,1993,"PLEASED",8,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",158,60,"JO","CT","not applicable"
"MALE",81,"RURAL AREAS","Podlaskie","PRIMARY/NO EDUCATION","RETIRED",0,830,"MARRIED",11,1956,NA,NA,"MIXED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",172,82,"ZS","UA","not applicable"
"MALE",74,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",NA,650,"MARRIED",6,1964,NA,NA,"PLEASED",NA,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",10,"YES",10,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,83,"GJ","AY","not applicable"
"FEMALE",81,"RURAL AREAS","Slaskie","PRIMARY/NO EDUCATION","RETIRED",24,1500,"WIDOWED",6,1947,10,1993,"MIXED",11,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",158,80,"CC","EB","not applicable"
"FEMALE",84,"URBAN BELOW 20,000","Mazowieckie","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE",NA,158,"MARRIED",8,1948,NA,NA,"PLEASED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"NONE",160,60,"AZ","UD","not applicable"
"MALE",58,"URBAN BELOW 20,000","Opolskie","PRIMARY/NO EDUCATION","UNEMPLOYED",4,1000,"MARRIED",5,1976,NA,NA,"MOSTLY SATISFIED",10,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",20,"YES",10,"NO","NO","YES","36","YES, TO EU COUNTRY","IT DEPENDS","GERMANY","NONE",176,70,"XM","AK","not applicable"
"FEMALE",89,"URBAN 100,000-200,000","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",0,1200,"WIDOWED",6,1942,1,1975,"MIXED",16,"ONE CAN`T BE TOO CAREFUL","NO","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,58,"CC","UD","not applicable"
"FEMALE",75,"URBAN 100,000-200,000","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",NA,1180,"WIDOWED",10,1956,7,2001,"MOSTLY SATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",14,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"NONE",164,80,"CH","IH","not applicable"
"FEMALE",69,"URBAN BELOW 20,000","Pomorskie","PRIMARY/NO EDUCATION","RETIRED",NA,1300,"WIDOWED",NA,NA,NA,NA,"PLEASED",11,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",15,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,74,"NB","QG","not applicable"
"FEMALE",76,"RURAL AREAS","Slaskie","PRIMARY/NO EDUCATION","RETIRED",24,1000,"WIDOWED",10,1959,2,1968,"MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",1,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,80,"KN","HM","not applicable"
"MALE",62,"RURAL AREAS","Podkarpackie","PRIMARY/NO EDUCATION","RETIRED",NA,1000,"MARRIED",8,1965,NA,NA,"PLEASED",7,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",180,100,"KH","AP","not applicable"
"FEMALE",88,"URBAN BELOW 20,000","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",NA,1300,"WIDOWED",6,1943,12,1992,"MOSTLY SATISFIED",15,"IT`S DIFFICULT TO TELL","YES","YES","YES",5,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",158,75,"KN","BP","not applicable"
"FEMALE",69,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",NA,708,"MARRIED",6,1964,NA,NA,"MOSTLY SATISFIED",17,"ONE CAN`T BE TOO CAREFUL","NO","NO OPINION","YES",7,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",165,70,"AD","AK","not applicable"
"FEMALE",17,"RURAL AREAS","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT",NA,NA,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","NO",15,"NO",NA,"NO","NO",NA,NA,"YES, TO EU COUNTRY","MORE THAN 2 YEARS","GERMANY","NONE",176,52,"AE","QQ","not applicable"
"FEMALE",84,"RURAL AREAS","Podkarpackie","PRIMARY/NO EDUCATION","RETIRED",0,980,"WIDOWED",8,1952,9,1988,"MOSTLY DISSATISFIED",12,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",158,72,"KH","SL","not applicable"
"MALE",82,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",NA,910,"WIDOWED",2,1952,12,2002,"MOSTLY SATISFIED",8,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,63,"KN","LH","not applicable"
"MALE",78,"RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",0,970,"MARRIED",1,1956,NA,NA,"PLEASED",14,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",1,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,90,"AE","LD","not applicable"
"FEMALE",72,"URBAN BELOW 20,000","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",24,1200,"MARRIED",11,1960,NA,NA,"PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",20,"NO",NA,"NO","YES","NO",NA,"NO",NA,NA,"NONE",170,75,"AZ","SL","not applicable"
"FEMALE",78,"RURAL AREAS","Swietokrzyskie","PRIMARY/NO EDUCATION","RETIRED",24,640,"MARRIED",12,1954,NA,NA,"MOSTLY SATISFIED",15,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",5,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,72,"KH","IH","not applicable"
"FEMALE",91,"RURAL AREAS","Dolnoslaskie","PRIMARY/NO EDUCATION","RETIRED",NA,800,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",17,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",6,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"NONE",158,65,"KH","NH","not applicable"
"FEMALE",64,"RURAL AREAS","Pomorskie","PRIMARY/NO EDUCATION","EMPLOYED IN PUBLIC SECTOR",24,NA,"MARRIED",2,1969,NA,NA,"PLEASED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",168,85,"RQ","NO","not applicable"
"FEMALE",67,"URBAN 100,000-200,000","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",0,1230,"WIDOWED",4,1968,4,2004,"MOSTLY SATISFIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,80,"JO","UA","not applicable"
"FEMALE",88,"URBAN 100,000-200,000","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",24,800,"MARRIED",5,1948,NA,NA,"MIXED",20,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",150,62,"WQ","AP","not applicable"
"FEMALE",80,"RURAL AREAS","Malopolskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",NA,900,"WIDOWED",6,1954,9,1980,"MOSTLY SATISFIED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",163,56,"ZS","AY","not applicable"
"FEMALE",29,"RURAL AREAS","Slaskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",0,1200,"MARRIED",9,2006,NA,NA,"PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",150,47,"QS","NH","not applicable"
"FEMALE",76,"URBAN BELOW 20,000","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",NA,1440,"WIDOWED",2,1954,7,1980,"DELIGHTED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",5,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,79,"QO","BP","not applicable"
"MALE",62,"URBAN 100,000-200,000","Swietokrzyskie","SECONDARY","RETIRED",NA,1800,"WIDOWED",6,1970,2,2010,"DELIGHTED",10,"IT`S DIFFICULT TO TELL","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",155,80,"MP","IH","not applicable"
"MALE",76,"URBAN 20,000-100,000","Swietokrzyskie","PRIMARY/NO EDUCATION","RETIRED",24,800,"WIDOWED",11,1955,6,1985,"PLEASED",7,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",178,76,"AD","PB","not applicable"
"MALE",20,"RURAL AREAS","Podlaskie","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT",NA,350,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"IT`S DIFFICULT TO TELL","YES","NO OPINION","NO",4,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",187,82,"MP","QQ","no specialisation"
