"sex","age","agegr","placesize","region","edu","socprof","unempdur","income","marital","mmarr","ymarr","msepdiv","ysepdiv","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","nociga","alcabuse","alcsol","workab","wkabint","wkabintdur","emcc","englang","height","weight","bmi","wkabdur","eduspec","random"
"FEMALE",80,"65+","RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",0,1400,"WIDOWED",7,1960,10,2010,"PLEASED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,65,25.390625,-8,"not applicable","x"
"FEMALE",81,"65+","RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",-8,900,"MARRIED",11,1957,NA,NA,"MIXED",18,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",7,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",146,42,19.7035091011447,-8,"not applicable","y"
"FEMALE",76,"65+","RURAL AREAS","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","RETIRED",-8,800,"WIDOWED",11,1960,9,2000,"PLEASED",8,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",4,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",170,65,22.4913494809689,-8,"not applicable","f"
"MALE",31,"25-34","RURAL AREAS","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",0,600,"SINGLE",NA,NA,NA,NA,"MIXED",3,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",30,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",175,100,32.6530612244898,-8,"not applicable","z"
"MALE",32,"25-34","URBAN 500,000 AND OVER","Malopolskie","POST-SECONDARY OR HIGHER","SELF-EMPLOYED",-8,7500,"MARRIED",9,2005,NA,NA,"PLEASED",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",6,"NO",-8,"NO","NO","NO","NO",NA,NA,"ACTIVE",175,75,24.4897959183673,-8,"not applicable","k"
"FEMALE",74,"65+","URBAN 100,000-200,000","Pomorskie","PRIMARY/NO EDUCATION","RETIRED",0,890,"WIDOWED",8,1965,11,1981,"MOSTLY SATISFIED",3,"IT`S DIFFICULT TO TELL","YES","YES","YES",3,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",164,70,26.0261748958953,-8,"not applicable","z"
"FEMALE",85,"65+","RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",0,-8,"WIDOWED",7,1952,7,1971,"PLEASED",15,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",165,75,27.5482093663912,-8,"not applicable","r"
"MALE",80,"65+","RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",0,900,"MARRIED",6,1952,NA,NA,"MOSTLY SATISFIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",0,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,72,28.8415318058003,-8,"not applicable","d"
"FEMALE",65,"65+","RURAL AREAS","Podkarpackie","PRIMARY/NO EDUCATION","RETIRED",-8,1000,"MARRIED",8,1965,NA,NA,"MOSTLY SATISFIED",11,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",4,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",166,72,26.1286108288576,-8,"not applicable","s"
"FEMALE",96,"65+","URBAN 100,000-200,000","Warminsko-mazurskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",-8,1500,"WIDOWED",4,1938,7,1993,"MIXED",7,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",3,"NO",-8,"NO","NO",NA,"NO",NA,NA,"NONE",162,96,36.5797896662094,-8,"not applicable","j"
"FEMALE",72,"65+","RURAL AREAS","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",24,780,"WIDOWED",10,2005,7,1966,"MOSTLY DISSATISFIED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",2,"NO",-8,"NO","NO",NA,"NO",NA,NA,"NONE",150,56,24.8888888888889,-8,"not applicable","e"
"FEMALE",32,"25-34","URBAN 100,000-200,000","Swietokrzyskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",0,1400,"DIVORCED",6,2004,6,2006,"PLEASED",0,"IT`S DIFFICULT TO TELL","YES","NO","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,54,21.6311488543503,-8,"not applicable","t"
"MALE",77,"65+","RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",0,800,"MARRIED",10,1955,NA,NA,"PLEASED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",0,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",176,65,20.9839876033058,-8,"not applicable","i"
"MALE",67,"65+","RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",-8,600,"SINGLE",NA,NA,NA,NA,"MOSTLY DISSATISFIED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",2,"YES",10,"NO","YES",NA,"NO",NA,NA,"NONE",162,80,30.4831580551745,-8,"not applicable","h"
"MALE",90,"65+","RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",24,1200,"MARRIED",8,1945,NA,NA,"PLEASED",9,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",8,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",180,85,26.2345679012346,-8,"not applicable","o"
"FEMALE",81,"65+","URBAN 100,000-200,000","Podlaskie","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE",-8,NA,"MARRIED",8,1953,NA,NA,"MOSTLY SATISFIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",159,52,20.5688066136624,-8,"not applicable","d"
"FEMALE",81,"65+","RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",24,1100,"WIDOWED",4,1950,12,1990,"MOSTLY DISSATISFIED",18,"ONE CAN`T BE TOO CAREFUL","NO","NO","YES",0,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,63,25.2363403300753,-8,"not applicable","d"
"FEMALE",77,"65+","RURAL AREAS","Podkarpackie","PRIMARY/NO EDUCATION","RETIRED",-8,890,"WIDOWED",6,1954,11,2002,"MIXED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,80,31.25,-8,"not applicable","r"
"FEMALE",77,"65+","RURAL AREAS","Malopolskie","PRIMARY/NO EDUCATION","RETIRED",0,860,"WIDOWED",10,1956,12,2008,"MOSTLY SATISFIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"YES",25,"NO","NO","NO","NO",NA,NA,"NONE",182,98,29.585798816568,-8,"not applicable","z"
"FEMALE",83,"65+","RURAL AREAS","Mazowieckie","PRIMARY/NO EDUCATION",NA,-8,700,"WIDOWED",6,1948,NA,1992,"MIXED",15,NA,"YES","YES","YES",0,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",154,45,18.9745319615449,-8,"not applicable","u"
"MALE",85,"65+","RURAL AREAS","Malopolskie","PRIMARY/NO EDUCATION","RETIRED",0,1400,"WIDOWED",1,1949,10,1995,"PLEASED",8,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",162,75,28.5779606767261,-8,"not applicable","x"
"FEMALE",83,"65+","URBAN 100,000-200,000","Podkarpackie","PRIMARY/NO EDUCATION","RETIRED",-8,1200,"WIDOWED",1,1966,1,1988,"MOSTLY DISSATISFIED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",164,100,37.180249851279,-8,"not applicable","u"
"MALE",61,"60-64","RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","EMPLOYED IN PUBLIC SECTOR",0,1500,"MARRIED",4,1974,NA,NA,"PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",6,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",164,72,26.7697798929209,-8,"not applicable","q"
"FEMALE",38,"35-44","URBAN 20,000-100,000","Lubelskie","PRIMARY/NO EDUCATION","UNEMPLOYED",24,500,"DIVORCED",11,1981,3,2002,"PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",20,"YES",20,"NO","NO","NO","NO",NA,NA,"NONE",155,83,34.5473465140479,-8,"not applicable","m"
"FEMALE",91,"65+","RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",-8,950,"WIDOWED",12,1946,8,1997,"MIXED",16,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",165,74,27.1808999081726,-8,"not applicable","g"
"FEMALE",83,"65+","RURAL AREAS","Mazowieckie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",-8,1250,"WIDOWED",8,1948,6,2005,"MOSTLY SATISFIED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",-8,"NO",-8,"NO","NO",NA,"NO",NA,NA,"NONE",162,66,25.148605395519,-8,"not applicable","r"
"FEMALE",84,"65+","RURAL AREAS","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","RETIRED",0,1020,"WIDOWED",NA,NA,1,2006,"MOSTLY SATISFIED",17,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",5,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",165,50,18.3654729109275,-8,"not applicable","w"
"MALE",97,"65+","RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",24,600,"MARRIED",1,1946,NA,NA,"MIXED",21,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",1,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",168,70,24.8015873015873,-8,"not applicable","e"
"FEMALE",79,"65+","RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",-8,1060,"WIDOWED",1,1952,10,1985,"MOSTLY SATISFIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",23,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,85,33.203125,-8,"not applicable","a"
"MALE",84,"65+","RURAL AREAS","Dolnoslaskie","PRIMARY/NO EDUCATION","RETIRED",-8,1300,"MARRIED",2,1954,NA,NA,"PLEASED",11,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",168,78,27.6360544217687,-8,"not applicable","a"
"FEMALE",81,"65+","URBAN 20,000-100,000","Pomorskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",0,1400,"WIDOWED",4,1952,7,2007,"MOSTLY SATISFIED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",-8,"NO","NO","NO","NO",NA,NA,"PASSIVE",160,62,24.21875,-8,"not applicable","k"
"FEMALE",91,"65+","RURAL AREAS","Slaskie","PRIMARY/NO EDUCATION","RETIRED",24,950,"WIDOWED",9,1943,8,2001,"MOSTLY SATISFIED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",156,58,23.8330046022354,-8,"not applicable","m"
"FEMALE",80,"65+","RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",0,700,"WIDOWED",NA,NA,9,1999,"MIXED",19,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",150,55,24.4444444444444,-8,"not applicable","p"
"FEMALE",92,"65+","RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",24,820,"WIDOWED",10,1940,1,1944,"MOSTLY DISSATISFIED",16,"IT`S DIFFICULT TO TELL","YES","YES","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",150,44,19.5555555555556,-8,"not applicable","a"
"FEMALE",77,"65+","RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",-8,800,"MARRIED",10,1961,NA,NA,"MOSTLY SATISFIED",14,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",8,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,70,27.34375,-8,"not applicable","h"
"MALE",73,"65+","RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",0,800,"MARRIED",6,1957,NA,NA,"MOSTLY SATISFIED",7,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",6,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",170,76,26.2975778546713,-8,"not applicable","p"
"FEMALE",82,"65+","RURAL AREAS","Podlaskie","PRIMARY/NO EDUCATION","RETIRED",-8,1150,"WIDOWED",6,1954,6,1999,"MIXED",18,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,85,33.203125,-8,"not applicable","s"
"MALE",82,"65+","RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",0,900,"WIDOWED",4,1954,5,1991,"MOSTLY SATISFIED",10,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,70,27.34375,-8,"not applicable","c"
"MALE",89,"65+","RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",-8,900,"MARRIED",NA,1950,NA,NA,"MIXED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",170,80,27.681660899654,-8,"not applicable","i"
"FEMALE",88,"65+","RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",-8,2000,"WIDOWED",6,1943,9,2003,"PLEASED",12,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",7,"NO",-8,"NO","NO",NA,"NO",NA,NA,"NONE",156,58,23.8330046022354,-8,"not applicable","j"
"FEMALE",82,"65+","URBAN 100,000-200,000","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",-8,1200,"WIDOWED",8,1954,2,1993,"PLEASED",8,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",3,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,60,24.034609838167,-8,"not applicable","a"
"MALE",81,"65+","RURAL AREAS","Podlaskie","PRIMARY/NO EDUCATION","RETIRED",0,830,"MARRIED",11,1956,NA,NA,"MIXED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",172,82,27.7176852352623,-8,"not applicable","b"
"MALE",74,"65+","RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",-8,650,"MARRIED",6,1964,NA,NA,"PLEASED",NA,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",10,"YES",10,"NO","NO","NO","NO",NA,NA,"NONE",160,83,32.421875,-8,"not applicable","d"
"FEMALE",81,"65+","RURAL AREAS","Slaskie","PRIMARY/NO EDUCATION","RETIRED",24,1500,"WIDOWED",6,1947,10,1993,"MIXED",11,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,80,32.0461464508893,-8,"not applicable","g"
"FEMALE",84,"65+","URBAN BELOW 20,000","Mazowieckie","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE",-8,158,"MARRIED",8,1948,NA,NA,"PLEASED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",-8,"NO","NO",NA,"NO",NA,NA,"NONE",160,60,23.4375,-8,"not applicable","a"
"FEMALE",89,"65+","URBAN 100,000-200,000","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",0,1200,"WIDOWED",6,1942,1,1975,"MIXED",16,"ONE CAN`T BE TOO CAREFUL","NO","YES","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,58,22.65625,-8,"not applicable","d"
"FEMALE",75,"65+","URBAN 100,000-200,000","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",-8,1180,"WIDOWED",10,1956,7,2001,"MOSTLY SATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",14,"NO",-8,"NO","NO",NA,"NO",NA,NA,"NONE",164,80,29.7441998810232,-8,"not applicable","l"
"FEMALE",69,"65+","URBAN BELOW 20,000","Pomorskie","PRIMARY/NO EDUCATION","RETIRED",-8,1300,"WIDOWED",NA,NA,NA,NA,"PLEASED",11,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",15,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",164,74,27.5133848899465,-8,"not applicable","d"
"FEMALE",76,"65+","RURAL AREAS","Slaskie","PRIMARY/NO EDUCATION","RETIRED",24,1000,"WIDOWED",10,1959,2,1968,"MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",1,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,80,31.25,-8,"not applicable","f"
"MALE",62,"60-64","RURAL AREAS","Podkarpackie","PRIMARY/NO EDUCATION","RETIRED",-8,1000,"MARRIED",8,1965,NA,NA,"PLEASED",7,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",180,100,30.8641975308642,-8,"not applicable","n"
"FEMALE",88,"65+","URBAN BELOW 20,000","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",-8,1300,"WIDOWED",6,1943,12,1992,"MOSTLY SATISFIED",15,"IT`S DIFFICULT TO TELL","YES","YES","YES",5,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,75,30.0432622977087,-8,"not applicable","e"
"FEMALE",69,"65+","RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",-8,708,"MARRIED",6,1964,NA,NA,"MOSTLY SATISFIED",17,"ONE CAN`T BE TOO CAREFUL","NO","NO OPINION","YES",7,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",165,70,25.7116620752984,-8,"not applicable","m"
"FEMALE",17,"16-24","RURAL AREAS","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT",-8,NA,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","NO",15,"NO",-8,"NO","NO",NA,"YES, TO EU COUNTRY","MORE THAN 2 YEARS","GERMANY","NONE",176,52,16.7871900826446,-8,"not applicable","t"
"FEMALE",84,"65+","RURAL AREAS","Podkarpackie","PRIMARY/NO EDUCATION","RETIRED",0,980,"WIDOWED",8,1952,9,1988,"MOSTLY DISSATISFIED",12,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",0,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",158,72,28.8415318058003,-8,"not applicable","d"
"MALE",82,"65+","RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",-8,910,"WIDOWED",2,1952,12,2002,"MOSTLY SATISFIED",8,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,63,24.609375,-8,"not applicable","l"
"MALE",78,"65+","RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",0,970,"MARRIED",1,1956,NA,NA,"PLEASED",14,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",1,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",170,90,31.1418685121107,-8,"not applicable","n"
"FEMALE",72,"65+","URBAN BELOW 20,000","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",24,1200,"MARRIED",11,1960,NA,NA,"PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",20,"NO",-8,"NO","YES","NO","NO",NA,NA,"NONE",170,75,25.9515570934256,-8,"not applicable","l"
"FEMALE",78,"65+","RURAL AREAS","Swietokrzyskie","PRIMARY/NO EDUCATION","RETIRED",24,640,"MARRIED",12,1954,NA,NA,"MOSTLY SATISFIED",15,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",5,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,72,28.125,-8,"not applicable","k"
"FEMALE",91,"65+","RURAL AREAS","Dolnoslaskie","PRIMARY/NO EDUCATION","RETIRED",-8,800,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",17,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",6,"NO",-8,"NO","NO",NA,"NO",NA,NA,"NONE",158,65,26.0374939913475,-8,"not applicable","n"
"FEMALE",64,"60-64","RURAL AREAS","Pomorskie","PRIMARY/NO EDUCATION","EMPLOYED IN PUBLIC SECTOR",24,NA,"MARRIED",2,1969,NA,NA,"PLEASED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",168,85,30.1162131519274,-8,"not applicable","f"
"FEMALE",67,"65+","URBAN 100,000-200,000","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",0,1230,"WIDOWED",4,1968,4,2004,"MOSTLY SATISFIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,80,31.25,-8,"not applicable","a"
"FEMALE",88,"65+","URBAN 100,000-200,000","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",24,800,"MARRIED",5,1948,NA,NA,"MIXED",20,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",150,62,27.5555555555556,-8,"not applicable","q"
"FEMALE",80,"65+","RURAL AREAS","Malopolskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",-8,900,"WIDOWED",6,1954,9,1980,"MOSTLY SATISFIED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",163,56,21.0771952275208,-8,"not applicable","u"
"FEMALE",29,"25-34","RURAL AREAS","Slaskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",0,1200,"MARRIED",9,2006,NA,NA,"PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",0,"NO",-8,"NO","NO","NO","NO",NA,NA,"PASSIVE",150,47,20.8888888888889,-8,"not applicable","z"
"FEMALE",76,"65+","URBAN BELOW 20,000","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",-8,1440,"WIDOWED",2,1954,7,1980,"DELIGHTED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",5,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",160,79,30.859375,-8,"not applicable","j"
"MALE",62,"60-64","URBAN 100,000-200,000","Swietokrzyskie","SECONDARY","RETIRED",-8,1800,"WIDOWED",6,1970,2,2010,"DELIGHTED",10,"IT`S DIFFICULT TO TELL","YES","YES","YES",2,"NO",-8,"NO","NO","NO","NO",NA,NA,"NONE",155,80,33.2986472424558,-8,"not applicable","e"
