"epochs","discriminator","batch","frequency","copies","std_diff","ci_overlap"
"600","5","500","False","10",1.02404029736431,0.770441517852292
"300","10","500","True","5",1.02659086344151,0.755425763903381
"600","10","500","False","10",1.02713296156867,0.743492571467052
"300","10","500","False","5",1.0343407212581,0.737547065149832
"900","1","500","True","1",1.04155735090281,0.738814162459774
"300","1","500","True","10",1.05055089786245,0.699650302682453
"900","10","1000","False","5",1.0506079997832,0.724346645177701
"600","10","1000","True","5",1.06094962221032,0.759708464854491
"900","1","500","False","5",1.06952052317758,0.722372974681542
"900","1","1000","False","5",1.07281574856861,0.759669507180849
"300","5","500","False","10",1.08707212456815,0.745636938092012
"900","5","500","True","1",1.08871680781728,0.730375673746815
"300","5","500","True","10",1.09642252123824,0.735079663790097
"600","5","1000","False","1",1.10130651031793,0.724967575134859
"600","10","500","True","1",1.11432393995166,0.715316328813105
"300","5","500","True","5",1.11504720644884,0.751827419689696
"300","1","500","False","5",1.11540454540685,0.701656609804475
"300","10","500","False","10",1.11858296603422,0.74609520819396
"600","10","500","False","5",1.11993054490538,0.761466942670691
"300","10","1000","False","10",1.13462217422693,0.707644161929218
"900","10","500","False","1",1.13581263826432,0.688922446057571
"600","1","1000","True","5",1.14873603671895,0.74333106541117
"900","1","1000","True","10",1.1584873402324,0.68935059359824
"600","1","500","True","1",1.16264167318098,0.712806428417744
"900","5","500","True","10",1.18788221722209,0.70990251048183
"600","1","1000","False","5",1.20694598838971,0.681461779246553
"300","1","1000","False","10",1.20706857363542,0.728107357221203
"300","5","1000","True","1",1.23900622783107,0.676920847360775
"600","10","1000","False","5",1.2463810186866,0.720773845626744
"300","10","1000","True","5",1.2552628359854,0.708495651375211
"600","5","1000","True","5",1.25997042224104,0.690038520423293
"300","5","500","False","1",1.26674346778074,0.701822667565823
"600","1","500","True","10",1.26771717719492,0.704551549281782
"300","1","1000","False","5",1.3115748299441,0.717512389964239
"900","5","500","False","10",1.33784299505182,0.694769993376385
"900","10","500","False","5",1.39084166490366,0.688945957523721
"300","1","1000","True","10",1.39733993617983,0.6758758968647
"900","10","500","False","10",1.42743745118014,0.691987866671188
"900","10","500","True","10",1.44031142406817,0.667765859739361
"900","1","1000","False","1",1.48486102634787,0.651906746000639
"300","5","500","False","5",1.49086904103883,0.689018678304072
"300","10","500","True","1",1.58026462374199,0.605535619222974
"900","10","1000","True","1",1.60818864622332,0.612548002511656
"900","1","1000","True","5",1.63375727026259,0.656253198154601
"300","5","500","True","1",1.68048429586432,0.583789909645036
"600","1","500","False","1",1.68363960275948,0.578064534164642
"600","1","500","True","5",1.72601209699703,0.647374537925808
"900","5","500","False","5",1.79976944621495,0.588880229086846
"300","5","1000","False","5",1.88044824939277,0.596437097634251
"900","5","500","False","1",1.98432782625125,0.501950626986065
"900","5","1000","False","1",2.01928331363642,0.523344671721306
"600","10","1000","False","1",2.02895099598237,0.506199463794647
"300","1","1000","False","1",2.07521809938688,0.572631445888923
"600","10","1000","True","1",2.13165644139466,0.498416670980892
"900","5","500","True","5",2.17876326491916,0.528959272316488
"900","10","500","True","1",2.27756999650135,0.493694269283427
"900","1","500","False","1",2.27944061926142,0.472385710393281
"300","10","1000","True","1",2.31798533497498,0.450219551838026
"300","1","1000","True","1",2.32067570536637,0.553243447410034
"300","10","1000","False","1",2.44112802133626,0.461949951089455
"300","5","1000","False","1",2.45335750294521,0.484073221668458
"600","1","1000","False","1",2.51749842726657,0.441423763404685
"300","1","500","True","1",2.60906954384156,0.383683911970942
"300","1","500","False","1",2.62377841037537,0.437721647041816
"600","5","500","False","1",2.70940811090836,0.505841917173093
"900","1","1000","True","1",3.00109233711782,0.373522206266045
