"term","estimate","std.error","statistic","p.value","dep_var","data","epochs","discriminator","batch","frequency","copies"
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,1,1000,"True",5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,1,1000,"True",5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,1,1000,"True",5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,1,1000,"True",10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,1,1000,"True",10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,1,1000,"True",10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,1,1000,"True",10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,1,1000,"True",10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,1,1000,"True",10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,1,1000,"True",10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,1,1000,"True",10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,1,1000,"True",10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,1,1000,"False",5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,1,1000,"False",5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,1,1000,"False",5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,1,1000,"False",5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,1,1000,"False",5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,1,1000,"False",5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,1,1000,"False",5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,1,1000,"False",5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,1,1000,"False",5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,1,1000,"False",10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,1,1000,"False",10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,1,1000,"False",10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,1,1000,"False",10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,1,1000,"False",10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,1,1000,"False",10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,1,1000,"False",10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,1,1000,"False",10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,1,1000,"False",10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,5,500,"True",5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,5,500,"True",5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,5,500,"True",5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,5,500,"True",5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,5,500,"True",5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,5,500,"True",5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,5,500,"True",5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,5,500,"True",5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,5,500,"True",5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,5,500,"True",10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,5,500,"True",10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,5,500,"True",10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,5,500,"True",10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,5,500,"True",10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,5,500,"True",10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,5,500,"True",10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,5,500,"True",10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,5,500,"True",10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,5,500,"False",5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,5,500,"False",5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,5,500,"False",5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,5,500,"False",5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,5,500,"False",5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,5,500,"False",5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,5,500,"False",5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,5,500,"False",5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,5,500,"False",5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,5,500,"False",10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,5,500,"False",10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,5,500,"False",10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,5,500,"False",10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,5,500,"False",10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,5,500,"False",10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,5,500,"False",10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,5,500,"False",10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,5,500,"False",10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,5,1000,"True",5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,5,1000,"True",5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,5,1000,"True",5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,5,1000,"True",5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,5,1000,"True",5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,5,1000,"True",5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,5,1000,"True",5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,5,1000,"True",5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,5,1000,"True",5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,5,1000,"True",10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,5,1000,"True",10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,5,1000,"True",10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,5,1000,"True",10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,5,1000,"True",10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,5,1000,"True",10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,5,1000,"True",10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,5,1000,"True",10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,5,1000,"True",10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,5,1000,"False",5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,5,1000,"False",5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,5,1000,"False",5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,5,1000,"False",5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,5,1000,"False",5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,5,1000,"False",5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,5,1000,"False",5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,5,1000,"False",5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,5,1000,"False",5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,5,1000,"False",10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,5,1000,"False",10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,5,1000,"False",10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,5,1000,"False",10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,5,1000,"False",10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,5,1000,"False",10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,5,1000,"False",10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,5,1000,"False",10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,5,1000,"False",10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,10,500,"True",5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,10,500,"True",5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,10,500,"True",5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,10,500,"True",5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,10,500,"True",5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,10,500,"True",5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,10,500,"True",5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,10,500,"True",5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,10,500,"True",5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,10,500,"True",10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,10,500,"True",10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,10,500,"True",10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,10,500,"True",10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,10,500,"True",10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,10,500,"True",10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,10,500,"True",10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,10,500,"True",10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,10,500,"True",10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,10,500,"False",5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,10,500,"False",5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,10,500,"False",5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,10,500,"False",5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,10,500,"False",5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,10,500,"False",5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,10,500,"False",5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,10,500,"False",5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,10,500,"False",5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,10,500,"False",10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,10,500,"False",10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,10,500,"False",10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,10,500,"False",10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,10,500,"False",10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,10,500,"False",10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,10,500,"False",10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,10,500,"False",10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,10,500,"False",10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,10,1000,"True",5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,10,1000,"True",5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,10,1000,"True",5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,10,1000,"True",5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,10,1000,"True",5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,10,1000,"True",5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,10,1000,"True",5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,10,1000,"True",5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,10,1000,"True",5
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,10,1000,"True",10
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,10,1000,"True",10
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,10,1000,"True",10
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,10,1000,"True",10
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,10,1000,"True",10
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,10,1000,"True",10
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,10,1000,"True",10
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,10,1000,"True",10
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,10,1000,"True",10
"(Intercept)",3.94733061173908,0.208296106438249,18.9505731971485,0.000000000000000000000000000000000000000000000000000000000000000000252982097719272,"age","ods",300,10,1000,"False",5
"income",0.00909598439328463,0.0166908813424759,0.544967291220067,0.585915521437491,"age","ods",300,10,1000,"False",5
"wealth",-0.00998192043606238,0.00909494873566466,-1.09752355138843,0.272715910116655,"age","ods",300,10,1000,"False",5
"(Intercept)",10.4293462527378,0.357162466147097,29.2005662443894,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306150542544668,"income","ods",300,10,1000,"False",5
"age",0.0374735600497194,0.0687629526642304,0.544967291220068,0.58591552143749,"income","ods",300,10,1000,"False",5
"wealth",-0.0459296008235934,0.0184073525481332,-2.49517689757354,0.0127735612857421,"income","ods",300,10,1000,"False",5
"(Intercept)",14.1488463302294,0.787074702607918,17.9764973811865,0.000000000000000000000000000000000000000000000000000000000000107735221194594,"wealth","ods",300,10,1000,"False",5
"age",-0.138355121809013,0.126061187146267,-1.09752355138843,0.272715910116656,"wealth","ods",300,10,1000,"False",5
"income",-0.154524931920667,0.0619294495997204,-2.49517689757354,0.012773561285742,"wealth","ods",300,10,1000,"False",5
