"sex","age","placesize","region","edu","socprof","unempdur","income","marital","mmarr","ymarr","msepdiv","ysepdiv","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","nociga","alcabuse","alcsol","workab","wkabdur","wkabint","wkabintdur","emcc","englang","height","weight","eduspec","random_1","random_2"
"FEMALE",77,"RURAL AREAS","Malopolskie","PRIMARY/NO EDUCATION","RETIRED",0,860,"WIDOWED",10,1956,12,2008,"MOSTLY SATISFIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"YES",25,"NO","NO","NO",NA,"NO",NA,NA,"NONE",182,98,"not applicable","LF","HW"
"FEMALE",83,"RURAL AREAS","Mazowieckie","PRIMARY/NO EDUCATION",NA,NA,700,"WIDOWED",6,1948,NA,1992,"MIXED",15,NA,"YES","YES","YES",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",154,45,"not applicable","AA","XU"
"MALE",85,"RURAL AREAS","Malopolskie","PRIMARY/NO EDUCATION","RETIRED",0,1400,"WIDOWED",1,1949,10,1995,"PLEASED",8,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",162,75,"not applicable","LP","QC"
"FEMALE",83,"URBAN 100,000-200,000","Podkarpackie","PRIMARY/NO EDUCATION","RETIRED",NA,1200,"WIDOWED",1,1966,1,1988,"MOSTLY DISSATISFIED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,100,"not applicable","XC","CA"
"MALE",61,"RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","EMPLOYED IN PUBLIC SECTOR",0,1500,"MARRIED",4,1974,NA,NA,"PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",6,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,72,"not applicable","MQ","UB"
"FEMALE",38,"URBAN 20,000-100,000","Lubelskie","PRIMARY/NO EDUCATION","UNEMPLOYED",24,500,"DIVORCED",11,1981,3,2002,"PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",20,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",155,83,"not applicable","NT","XG"
"FEMALE",91,"RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",NA,950,"WIDOWED",12,1946,8,1997,"MIXED",16,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",165,74,"not applicable","TJ","QC"
"MALE",36,"RURAL AREAS","Dolnoslaskie","SECONDARY","UNEMPLOYED",2,4300,"MARRIED",9,2010,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",7,"YES",15,"NO","NO","YES","36","YES, TO EU COUNTRY","LESS THAN 1 YEAR",NA,"ACTIVE",180,95,"not applicable","OM","UB"
"FEMALE",83,"RURAL AREAS","Mazowieckie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",NA,1250,"WIDOWED",8,1948,6,2005,"MOSTLY SATISFIED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",NA,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"NONE",162,66,"not applicable","LW","MG"
"FEMALE",84,"RURAL AREAS","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","RETIRED",0,1020,"WIDOWED",NA,NA,1,2006,"MOSTLY SATISFIED",17,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",5,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",165,50,"not applicable","XC","BT"
"MALE",97,"RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",24,600,"MARRIED",1,1946,NA,NA,"MIXED",21,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",1,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",168,70,"not applicable","WR","ST"
"FEMALE",79,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",NA,1060,"WIDOWED",1,1952,10,1985,"MOSTLY SATISFIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",23,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,85,"not applicable","DU","BT"
"MALE",84,"RURAL AREAS","Dolnoslaskie","PRIMARY/NO EDUCATION","RETIRED",NA,1300,"MARRIED",2,1954,NA,NA,"PLEASED",11,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",168,78,"not applicable","XC","CD"
"FEMALE",81,"URBAN 20,000-100,000","Pomorskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",0,1400,"WIDOWED",4,1952,7,2007,"MOSTLY SATISFIED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",160,62,"not applicable","HL","CD"
"FEMALE",91,"RURAL AREAS","Slaskie","PRIMARY/NO EDUCATION","RETIRED",24,950,"WIDOWED",9,1943,8,2001,"MOSTLY SATISFIED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",156,58,"not applicable","LW","CD"
"FEMALE",80,"RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",0,700,"WIDOWED",NA,NA,9,1999,"MIXED",19,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",150,55,"not applicable","NT","NK"
"FEMALE",92,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",24,820,"WIDOWED",10,1940,1,1944,"MOSTLY DISSATISFIED",16,"IT`S DIFFICULT TO TELL","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",150,44,"not applicable","NS","BT"
"FEMALE",77,"RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",NA,800,"MARRIED",10,1961,NA,NA,"MOSTLY SATISFIED",14,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",8,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,70,"not applicable","LP","NY"
"MALE",73,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",0,800,"MARRIED",6,1957,NA,NA,"MOSTLY SATISFIED",7,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",6,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,76,"not applicable","SO","CL"
"FEMALE",82,"RURAL AREAS","Podlaskie","PRIMARY/NO EDUCATION","RETIRED",NA,1150,"WIDOWED",6,1954,6,1999,"MIXED",18,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,85,"not applicable","SB","UB"
"MALE",82,"RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",0,900,"WIDOWED",4,1954,5,1991,"MOSTLY SATISFIED",10,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,70,"not applicable","AA","ST"
"MALE",89,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",NA,900,"MARRIED",NA,1950,NA,NA,"MIXED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,80,"not applicable","OQ","KO"
"FEMALE",88,"RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",NA,2000,"WIDOWED",6,1943,9,2003,"PLEASED",12,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",7,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"NONE",156,58,"not applicable","SO","UB"
"FEMALE",82,"URBAN 100,000-200,000","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",NA,1200,"WIDOWED",8,1954,2,1993,"PLEASED",8,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",158,60,"not applicable","NT","RE"
"MALE",81,"RURAL AREAS","Podlaskie","PRIMARY/NO EDUCATION","RETIRED",0,830,"MARRIED",11,1956,NA,NA,"MIXED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",172,82,"not applicable","NS","WS"
"MALE",74,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",NA,650,"MARRIED",6,1964,NA,NA,"PLEASED",NA,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",10,"YES",10,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,83,"not applicable","XC","BT"
"FEMALE",81,"RURAL AREAS","Slaskie","PRIMARY/NO EDUCATION","RETIRED",24,1500,"WIDOWED",6,1947,10,1993,"MIXED",11,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",158,80,"not applicable","DU","HW"
"FEMALE",84,"URBAN BELOW 20,000","Mazowieckie","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE",NA,158,"MARRIED",8,1948,NA,NA,"PLEASED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"NONE",160,60,"not applicable","SO","NK"
"MALE",58,"URBAN BELOW 20,000","Opolskie","PRIMARY/NO EDUCATION","UNEMPLOYED",4,1000,"MARRIED",5,1976,NA,NA,"MOSTLY SATISFIED",10,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",20,"YES",10,"NO","NO","YES","36","YES, TO EU COUNTRY","IT DEPENDS","GERMANY","NONE",176,70,"not applicable","OQ","DC"
"FEMALE",89,"URBAN 100,000-200,000","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",0,1200,"WIDOWED",6,1942,1,1975,"MIXED",16,"ONE CAN`T BE TOO CAREFUL","NO","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,58,"not applicable","FR","TT"
"FEMALE",75,"URBAN 100,000-200,000","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",NA,1180,"WIDOWED",10,1956,7,2001,"MOSTLY SATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",14,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"NONE",164,80,"not applicable","HL","CL"
"FEMALE",69,"URBAN BELOW 20,000","Pomorskie","PRIMARY/NO EDUCATION","RETIRED",NA,1300,"WIDOWED",NA,NA,NA,NA,"PLEASED",11,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",15,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,74,"not applicable","NT","TT"
"FEMALE",76,"RURAL AREAS","Slaskie","PRIMARY/NO EDUCATION","RETIRED",24,1000,"WIDOWED",10,1959,2,1968,"MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",1,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,80,"not applicable","TI","HW"
"MALE",62,"RURAL AREAS","Podkarpackie","PRIMARY/NO EDUCATION","RETIRED",NA,1000,"MARRIED",8,1965,NA,NA,"PLEASED",7,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",180,100,"not applicable","DU","QC"
"FEMALE",88,"URBAN BELOW 20,000","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",NA,1300,"WIDOWED",6,1943,12,1992,"MOSTLY SATISFIED",15,"IT`S DIFFICULT TO TELL","YES","YES","YES",5,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",158,75,"not applicable","FR","NK"
"FEMALE",69,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",NA,708,"MARRIED",6,1964,NA,NA,"MOSTLY SATISFIED",17,"ONE CAN`T BE TOO CAREFUL","NO","NO OPINION","YES",7,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",165,70,"not applicable","AA","CA"
"FEMALE",17,"RURAL AREAS","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT",NA,NA,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","NO",15,"NO",NA,"NO","NO",NA,NA,"YES, TO EU COUNTRY","MORE THAN 2 YEARS","GERMANY","NONE",176,52,"not applicable","OM","ST"
"FEMALE",84,"RURAL AREAS","Podkarpackie","PRIMARY/NO EDUCATION","RETIRED",0,980,"WIDOWED",8,1952,9,1988,"MOSTLY DISSATISFIED",12,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",158,72,"not applicable","OM","CL"
"MALE",82,"RURAL AREAS","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",NA,910,"WIDOWED",2,1952,12,2002,"MOSTLY SATISFIED",8,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,63,"not applicable","MY","TT"
"MALE",78,"RURAL AREAS","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",0,970,"MARRIED",1,1956,NA,NA,"PLEASED",14,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",1,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,90,"not applicable","MY","XU"
"FEMALE",72,"URBAN BELOW 20,000","Lodzkie","PRIMARY/NO EDUCATION","RETIRED",24,1200,"MARRIED",11,1960,NA,NA,"PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",20,"NO",NA,"NO","YES","NO",NA,"NO",NA,NA,"NONE",170,75,"not applicable","LW","UB"
"FEMALE",78,"RURAL AREAS","Swietokrzyskie","PRIMARY/NO EDUCATION","RETIRED",24,640,"MARRIED",12,1954,NA,NA,"MOSTLY SATISFIED",15,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",5,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,72,"not applicable","OJ","XG"
"FEMALE",91,"RURAL AREAS","Dolnoslaskie","PRIMARY/NO EDUCATION","RETIRED",NA,800,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",17,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",6,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"NONE",158,65,"not applicable","NT","XU"
"FEMALE",64,"RURAL AREAS","Pomorskie","PRIMARY/NO EDUCATION","EMPLOYED IN PUBLIC SECTOR",24,NA,"MARRIED",2,1969,NA,NA,"PLEASED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",168,85,"not applicable","LW","CA"
"FEMALE",67,"URBAN 100,000-200,000","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",0,1230,"WIDOWED",4,1968,4,2004,"MOSTLY SATISFIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,80,"not applicable","DU","GI"
"FEMALE",88,"URBAN 100,000-200,000","Lubelskie","PRIMARY/NO EDUCATION","RETIRED",24,800,"MARRIED",5,1948,NA,NA,"MIXED",20,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",150,62,"not applicable","FR","DC"
"FEMALE",80,"RURAL AREAS","Malopolskie","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED",NA,900,"WIDOWED",6,1954,9,1980,"MOSTLY SATISFIED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",163,56,"not applicable","TI","CL"
"FEMALE",29,"RURAL AREAS","Slaskie","SECONDARY","EMPLOYED IN PRIVATE SECTOR",0,1200,"MARRIED",9,2006,NA,NA,"PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",150,47,"not applicable","MY","HW"
"FEMALE",76,"URBAN BELOW 20,000","Warminsko-mazurskie","PRIMARY/NO EDUCATION","RETIRED",NA,1440,"WIDOWED",2,1954,7,1980,"DELIGHTED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",5,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,79,"not applicable","LV","OE"
"MALE",62,"URBAN 100,000-200,000","Swietokrzyskie","SECONDARY","RETIRED",NA,1800,"WIDOWED",6,1970,2,2010,"DELIGHTED",10,"IT`S DIFFICULT TO TELL","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",155,80,"not applicable","UC","UJ"
"MALE",76,"URBAN 20,000-100,000","Swietokrzyskie","PRIMARY/NO EDUCATION","RETIRED",24,800,"WIDOWED",11,1955,6,1985,"PLEASED",7,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",178,76,"not applicable","IV","UB"
"MALE",20,"RURAL AREAS","Podlaskie","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT",NA,350,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"IT`S DIFFICULT TO TELL","YES","NO OPINION","NO",4,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",187,82,"no specialisation","MY","QC"
