"combine","Freq","type","n","mb"
"0111",81,"synthetic",6,5
"1000",73,"synthetic",6,5
"1001",68,"synthetic",6,5
"1010",51,"synthetic",6,5
"1011",71,"synthetic",6,5
"1100",83,"synthetic",6,5
"1101",57,"synthetic",6,5
"1110",64,"synthetic",6,5
"1111",3,"synthetic",6,5
"0000",76,"synthetic",7,5
"0001",58,"synthetic",7,5
"0010",71,"synthetic",7,5
"0011",63,"synthetic",7,5
"0100",61,"synthetic",7,5
"0101",52,"synthetic",7,5
"0110",69,"synthetic",7,5
"0111",80,"synthetic",7,5
"1000",70,"synthetic",7,5
"1001",73,"synthetic",7,5
"1010",47,"synthetic",7,5
"1011",66,"synthetic",7,5
"1100",78,"synthetic",7,5
"1101",66,"synthetic",7,5
"1110",68,"synthetic",7,5
"1111",2,"synthetic",7,5
"0000",62,"synthetic",8,5
"0001",60,"synthetic",8,5
"0010",84,"synthetic",8,5
"0011",55,"synthetic",8,5
"0100",79,"synthetic",8,5
"0101",90,"synthetic",8,5
"0110",56,"synthetic",8,5
"0111",77,"synthetic",8,5
"1000",81,"synthetic",8,5
"1001",56,"synthetic",8,5
"1010",50,"synthetic",8,5
"1011",69,"synthetic",8,5
"1100",66,"synthetic",8,5
"1101",67,"synthetic",8,5
"1110",47,"synthetic",8,5
"1111",1,"synthetic",8,5
"0000",72,"synthetic",9,5
"0001",67,"synthetic",9,5
"0010",65,"synthetic",9,5
"0011",74,"synthetic",9,5
"0100",65,"synthetic",9,5
"0101",52,"synthetic",9,5
"0110",67,"synthetic",9,5
"0111",82,"synthetic",9,5
"1000",82,"synthetic",9,5
"1001",68,"synthetic",9,5
"1010",39,"synthetic",9,5
"1011",75,"synthetic",9,5
"1100",65,"synthetic",9,5
"1101",59,"synthetic",9,5
"1110",65,"synthetic",9,5
"1111",3,"synthetic",9,5
"0000",52,"synthetic",10,5
"0001",67,"synthetic",10,5
"0010",70,"synthetic",10,5
"0011",57,"synthetic",10,5
"0100",73,"synthetic",10,5
"0101",53,"synthetic",10,5
"0110",65,"synthetic",10,5
"0111",77,"synthetic",10,5
"1000",65,"synthetic",10,5
"1001",75,"synthetic",10,5
"1010",62,"synthetic",10,5
"1011",69,"synthetic",10,5
"1100",88,"synthetic",10,5
"1101",65,"synthetic",10,5
"1110",62,"synthetic",10,5
"0000",64,"synthetic",1,25
"0001",57,"synthetic",1,25
"0010",77,"synthetic",1,25
"0011",68,"synthetic",1,25
"0100",66,"synthetic",1,25
"0101",65,"synthetic",1,25
"0110",64,"synthetic",1,25
"0111",75,"synthetic",1,25
"1000",76,"synthetic",1,25
"1001",78,"synthetic",1,25
"1010",58,"synthetic",1,25
"1011",68,"synthetic",1,25
"1100",70,"synthetic",1,25
"1101",49,"synthetic",1,25
"1110",64,"synthetic",1,25
"1111",1,"synthetic",1,25
"0000",67,"synthetic",2,25
"0001",67,"synthetic",2,25
"0010",74,"synthetic",2,25
"0011",52,"synthetic",2,25
"0100",71,"synthetic",2,25
"0101",71,"synthetic",2,25
"0110",53,"synthetic",2,25
"0111",72,"synthetic",2,25
"1000",73,"synthetic",2,25
"1001",55,"synthetic",2,25
"1010",54,"synthetic",2,25
"1011",81,"synthetic",2,25
"1100",89,"synthetic",2,25
"1101",60,"synthetic",2,25
"1110",60,"synthetic",2,25
"1111",1,"synthetic",2,25
"0000",83,"synthetic",3,25
"0001",56,"synthetic",3,25
"0010",80,"synthetic",3,25
"0011",71,"synthetic",3,25
"0100",67,"synthetic",3,25
"0101",50,"synthetic",3,25
"0110",63,"synthetic",3,25
"0111",78,"synthetic",3,25
"1000",67,"synthetic",3,25
"1001",56,"synthetic",3,25
"1010",73,"synthetic",3,25
"1011",64,"synthetic",3,25
"1100",85,"synthetic",3,25
"1101",58,"synthetic",3,25
"1110",49,"synthetic",3,25
"0000",87,"synthetic",4,25
"0001",57,"synthetic",4,25
"0010",69,"synthetic",4,25
"0011",74,"synthetic",4,25
"0100",66,"synthetic",4,25
"0101",81,"synthetic",4,25
"0110",63,"synthetic",4,25
"0111",73,"synthetic",4,25
"1000",63,"synthetic",4,25
"1001",64,"synthetic",4,25
"1010",67,"synthetic",4,25
"1011",57,"synthetic",4,25
"1100",60,"synthetic",4,25
"1101",55,"synthetic",4,25
"1110",64,"synthetic",4,25
"0000",68,"synthetic",5,25
"0001",68,"synthetic",5,25
"0010",79,"synthetic",5,25
"0011",57,"synthetic",5,25
"0100",79,"synthetic",5,25
"0101",53,"synthetic",5,25
"0110",52,"synthetic",5,25
"0111",78,"synthetic",5,25
"1000",65,"synthetic",5,25
"1001",54,"synthetic",5,25
"1010",52,"synthetic",5,25
"1011",91,"synthetic",5,25
"1100",87,"synthetic",5,25
"1101",61,"synthetic",5,25
"1110",56,"synthetic",5,25
"0000",77,"synthetic",6,25
"0001",57,"synthetic",6,25
"0010",63,"synthetic",6,25
"0011",58,"synthetic",6,25
"0100",77,"synthetic",6,25
"0101",78,"synthetic",6,25
"0110",63,"synthetic",6,25
"0111",83,"synthetic",6,25
"1000",69,"synthetic",6,25
"1001",56,"synthetic",6,25
"1010",59,"synthetic",6,25
"1011",72,"synthetic",6,25
"1100",69,"synthetic",6,25
"1101",53,"synthetic",6,25
"1110",63,"synthetic",6,25
"1111",3,"synthetic",6,25
"0000",59,"synthetic",7,25
"0001",57,"synthetic",7,25
"0010",71,"synthetic",7,25
"0011",82,"synthetic",7,25
"0100",64,"synthetic",7,25
"0101",62,"synthetic",7,25
"0110",63,"synthetic",7,25
"0111",84,"synthetic",7,25
"1000",84,"synthetic",7,25
"1001",61,"synthetic",7,25
"1010",54,"synthetic",7,25
"1011",63,"synthetic",7,25
"1100",72,"synthetic",7,25
"1101",55,"synthetic",7,25
"1110",69,"synthetic",7,25
"0000",60,"synthetic",8,25
"0001",68,"synthetic",8,25
"0010",99,"synthetic",8,25
"0011",66,"synthetic",8,25
"0100",63,"synthetic",8,25
"0101",81,"synthetic",8,25
"0110",58,"synthetic",8,25
"0111",59,"synthetic",8,25
"1000",76,"synthetic",8,25
"1001",49,"synthetic",8,25
"1010",57,"synthetic",8,25
"1011",61,"synthetic",8,25
"1100",80,"synthetic",8,25
"1101",53,"synthetic",8,25
"1110",69,"synthetic",8,25
"1111",1,"synthetic",8,25
"0000",75,"synthetic",9,25
"0001",72,"synthetic",9,25
"0010",79,"synthetic",9,25
"0011",76,"synthetic",9,25
"0100",66,"synthetic",9,25
"0101",56,"synthetic",9,25
"0110",66,"synthetic",9,25
"0111",60,"synthetic",9,25
"1000",77,"synthetic",9,25
"1001",71,"synthetic",9,25
"1010",55,"synthetic",9,25
"1011",64,"synthetic",9,25
"1100",68,"synthetic",9,25
"1101",53,"synthetic",9,25
"1110",62,"synthetic",9,25
"0000",63,"synthetic",10,25
"0001",73,"synthetic",10,25
"0010",83,"synthetic",10,25
"0011",53,"synthetic",10,25
"0100",70,"synthetic",10,25
"0101",78,"synthetic",10,25
"0110",59,"synthetic",10,25
"0111",58,"synthetic",10,25
"1000",76,"synthetic",10,25
"1001",70,"synthetic",10,25
"1010",60,"synthetic",10,25
"1011",68,"synthetic",10,25
"1100",76,"synthetic",10,25
"1101",48,"synthetic",10,25
"1110",64,"synthetic",10,25
"1111",1,"synthetic",10,25
"0000",75,"synthetic",1,50
"0001",69,"synthetic",1,50
"0010",86,"synthetic",1,50
"0011",56,"synthetic",1,50
"0100",71,"synthetic",1,50
"0101",71,"synthetic",1,50
"0110",50,"synthetic",1,50
"0111",85,"synthetic",1,50
"1000",67,"synthetic",1,50
"1001",70,"synthetic",1,50
"1010",41,"synthetic",1,50
"1011",65,"synthetic",1,50
"1100",82,"synthetic",1,50
"1101",58,"synthetic",1,50
"1110",54,"synthetic",1,50
"0000",72,"synthetic",2,50
"0001",56,"synthetic",2,50
"0010",77,"synthetic",2,50
"0011",69,"synthetic",2,50
"0100",61,"synthetic",2,50
"0101",71,"synthetic",2,50
"0110",55,"synthetic",2,50
"0111",76,"synthetic",2,50
"1000",70,"synthetic",2,50
"1001",62,"synthetic",2,50
"1010",52,"synthetic",2,50
"1011",72,"synthetic",2,50
"1100",82,"synthetic",2,50
"1101",61,"synthetic",2,50
"1110",63,"synthetic",2,50
"1111",1,"synthetic",2,50
"0000",73,"synthetic",3,50
"0001",61,"synthetic",3,50
"0010",75,"synthetic",3,50
"0011",65,"synthetic",3,50
"0100",67,"synthetic",3,50
"0101",63,"synthetic",3,50
"0110",48,"synthetic",3,50
"0111",84,"synthetic",3,50
"1000",79,"synthetic",3,50
"1001",57,"synthetic",3,50
"1010",54,"synthetic",3,50
"1011",66,"synthetic",3,50
"1100",84,"synthetic",3,50
"1101",62,"synthetic",3,50
"1110",61,"synthetic",3,50
"1111",1,"synthetic",3,50
"0000",75,"synthetic",4,50
"0001",55,"synthetic",4,50
"0010",77,"synthetic",4,50
"0011",68,"synthetic",4,50
"0100",65,"synthetic",4,50
"0101",61,"synthetic",4,50
"0110",56,"synthetic",4,50
"0111",75,"synthetic",4,50
"1000",74,"synthetic",4,50
"1001",68,"synthetic",4,50
"1010",54,"synthetic",4,50
"1011",66,"synthetic",4,50
"1100",79,"synthetic",4,50
"1101",66,"synthetic",4,50
"1110",60,"synthetic",4,50
"1111",1,"synthetic",4,50
"0000",79,"synthetic",5,50
"0001",63,"synthetic",5,50
"0010",95,"synthetic",5,50
"0011",65,"synthetic",5,50
"0100",61,"synthetic",5,50
"0101",58,"synthetic",5,50
"0110",58,"synthetic",5,50
"0111",72,"synthetic",5,50
"1000",76,"synthetic",5,50
"1001",70,"synthetic",5,50
"1010",48,"synthetic",5,50
"1011",55,"synthetic",5,50
"1100",72,"synthetic",5,50
"1101",57,"synthetic",5,50
"1110",71,"synthetic",5,50
"0000",67,"synthetic",6,50
"0001",60,"synthetic",6,50
"0010",71,"synthetic",6,50
"0011",57,"synthetic",6,50
"0100",60,"synthetic",6,50
"0101",72,"synthetic",6,50
"0110",66,"synthetic",6,50
"0111",66,"synthetic",6,50
"1000",97,"synthetic",6,50
"1001",55,"synthetic",6,50
"1010",50,"synthetic",6,50
"1011",68,"synthetic",6,50
"1100",79,"synthetic",6,50
"1101",65,"synthetic",6,50
"1110",67,"synthetic",6,50
"0000",69,"synthetic",7,50
"0001",69,"synthetic",7,50
"0010",90,"synthetic",7,50
"0011",50,"synthetic",7,50
"0100",78,"synthetic",7,50
"0101",67,"synthetic",7,50
"0110",70,"synthetic",7,50
"0111",78,"synthetic",7,50
"1000",68,"synthetic",7,50
"1001",58,"synthetic",7,50
"1010",49,"synthetic",7,50
"1011",74,"synthetic",7,50
"1100",70,"synthetic",7,50
"1101",54,"synthetic",7,50
"1110",56,"synthetic",7,50
"0000",66,"synthetic",8,50
"0001",61,"synthetic",8,50
"0010",91,"synthetic",8,50
"0011",68,"synthetic",8,50
"0100",74,"synthetic",8,50
"0101",62,"synthetic",8,50
"0110",56,"synthetic",8,50
"0111",82,"synthetic",8,50
"1000",77,"synthetic",8,50
"1001",61,"synthetic",8,50
"1010",64,"synthetic",8,50
"1011",53,"synthetic",8,50
"1100",70,"synthetic",8,50
"1101",60,"synthetic",8,50
"1110",55,"synthetic",8,50
"0000",63,"synthetic",9,50
"0001",65,"synthetic",9,50
"0010",95,"synthetic",9,50
"0011",66,"synthetic",9,50
"0100",69,"synthetic",9,50
"0101",58,"synthetic",9,50
"0110",53,"synthetic",9,50
"0111",75,"synthetic",9,50
"1000",61,"synthetic",9,50
"1001",57,"synthetic",9,50
"1010",59,"synthetic",9,50
"1011",59,"synthetic",9,50
"1100",79,"synthetic",9,50
"1101",61,"synthetic",9,50
"1110",78,"synthetic",9,50
"1111",2,"synthetic",9,50
"0000",78,"synthetic",10,50
"0001",59,"synthetic",10,50
"0010",80,"synthetic",10,50
"0011",56,"synthetic",10,50
"0100",51,"synthetic",10,50
"0101",63,"synthetic",10,50
"0110",68,"synthetic",10,50
"0111",89,"synthetic",10,50
"1000",85,"synthetic",10,50
"1001",56,"synthetic",10,50
"1010",54,"synthetic",10,50
"1011",61,"synthetic",10,50
"1100",82,"synthetic",10,50
"1101",57,"synthetic",10,50
"1110",59,"synthetic",10,50
"1111",2,"synthetic",10,50
"0000",76,"synthetic",1,75
"0001",69,"synthetic",1,75
"0010",74,"synthetic",1,75
"0011",61,"synthetic",1,75
"0100",63,"synthetic",1,75
"0101",72,"synthetic",1,75
"0110",51,"synthetic",1,75
"0111",71,"synthetic",1,75
"1000",72,"synthetic",1,75
"1001",67,"synthetic",1,75
"1010",47,"synthetic",1,75
"1011",72,"synthetic",1,75
"1100",101,"synthetic",1,75
"1101",40,"synthetic",1,75
"1110",39,"synthetic",1,75
"1111",25,"synthetic",1,75
"0000",76,"synthetic",2,75
"0001",58,"synthetic",2,75
"0010",68,"synthetic",2,75
"0011",63,"synthetic",2,75
"0100",62,"synthetic",2,75
"0101",67,"synthetic",2,75
"0110",62,"synthetic",2,75
"0111",71,"synthetic",2,75
"1000",77,"synthetic",2,75
"1001",86,"synthetic",2,75
"1010",64,"synthetic",2,75
"1011",61,"synthetic",2,75
"1100",96,"synthetic",2,75
"1101",32,"synthetic",2,75
"1110",39,"synthetic",2,75
"1111",18,"synthetic",2,75
"0000",67,"synthetic",3,75
"0001",68,"synthetic",3,75
"0010",58,"synthetic",3,75
"0011",61,"synthetic",3,75
"0100",65,"synthetic",3,75
"0101",57,"synthetic",3,75
"0110",67,"synthetic",3,75
"0111",74,"synthetic",3,75
"1000",78,"synthetic",3,75
"1001",57,"synthetic",3,75
"1010",66,"synthetic",3,75
"1011",77,"synthetic",3,75
"1100",104,"synthetic",3,75
"1101",39,"synthetic",3,75
"1110",46,"synthetic",3,75
"1111",16,"synthetic",3,75
"0000",70,"synthetic",4,75
"0001",57,"synthetic",4,75
"0010",94,"synthetic",4,75
"0011",66,"synthetic",4,75
"0100",72,"synthetic",4,75
"0101",54,"synthetic",4,75
"0110",49,"synthetic",4,75
"0111",77,"synthetic",4,75
"1000",65,"synthetic",4,75
"1001",55,"synthetic",4,75
"1010",59,"synthetic",4,75
"1011",67,"synthetic",4,75
"1100",95,"synthetic",4,75
"1101",44,"synthetic",4,75
"1110",55,"synthetic",4,75
"1111",21,"synthetic",4,75
"0000",70,"synthetic",5,75
"0001",65,"synthetic",5,75
"0010",78,"synthetic",5,75
"0011",67,"synthetic",5,75
"0100",62,"synthetic",5,75
"0101",62,"synthetic",5,75
"0110",75,"synthetic",5,75
"0111",71,"synthetic",5,75
"1000",82,"synthetic",5,75
"1001",61,"synthetic",5,75
"1010",61,"synthetic",5,75
"1011",75,"synthetic",5,75
"1100",82,"synthetic",5,75
"1101",37,"synthetic",5,75
"1110",33,"synthetic",5,75
"1111",19,"synthetic",5,75
"0000",77,"synthetic",6,75
"0001",60,"synthetic",6,75
"0010",74,"synthetic",6,75
"0011",54,"synthetic",6,75
"0100",73,"synthetic",6,75
"0101",62,"synthetic",6,75
"0110",51,"synthetic",6,75
"0111",62,"synthetic",6,75
"1000",70,"synthetic",6,75
"1001",60,"synthetic",6,75
"1010",56,"synthetic",6,75
"1011",67,"synthetic",6,75
"1100",125,"synthetic",6,75
"1101",43,"synthetic",6,75
"1110",44,"synthetic",6,75
"1111",22,"synthetic",6,75
"0000",80,"synthetic",7,75
"0001",71,"synthetic",7,75
"0010",64,"synthetic",7,75
"0011",47,"synthetic",7,75
"0100",59,"synthetic",7,75
"0101",68,"synthetic",7,75
"0110",66,"synthetic",7,75
"0111",77,"synthetic",7,75
"1000",75,"synthetic",7,75
"1001",60,"synthetic",7,75
"1010",67,"synthetic",7,75
"1011",76,"synthetic",7,75
"1100",92,"synthetic",7,75
"1101",33,"synthetic",7,75
"1110",42,"synthetic",7,75
"1111",23,"synthetic",7,75
"0000",64,"synthetic",8,75
"0001",64,"synthetic",8,75
"0010",73,"synthetic",8,75
"0011",78,"synthetic",8,75
"0100",67,"synthetic",8,75
"0101",67,"synthetic",8,75
"0110",51,"synthetic",8,75
"0111",70,"synthetic",8,75
"1000",70,"synthetic",8,75
"1001",72,"synthetic",8,75
"1010",66,"synthetic",8,75
"1011",70,"synthetic",8,75
"1100",92,"synthetic",8,75
"1101",29,"synthetic",8,75
"1110",49,"synthetic",8,75
"1111",18,"synthetic",8,75
"0000",75,"synthetic",9,75
"0001",61,"synthetic",9,75
"0010",87,"synthetic",9,75
"0011",66,"synthetic",9,75
"0100",59,"synthetic",9,75
"0101",63,"synthetic",9,75
"0110",51,"synthetic",9,75
"0111",69,"synthetic",9,75
"1000",79,"synthetic",9,75
"1001",70,"synthetic",9,75
"1010",46,"synthetic",9,75
"1011",69,"synthetic",9,75
"1100",98,"synthetic",9,75
"1101",36,"synthetic",9,75
"1110",49,"synthetic",9,75
"1111",22,"synthetic",9,75
"0000",59,"synthetic",10,75
"0001",67,"synthetic",10,75
"0010",67,"synthetic",10,75
"0011",69,"synthetic",10,75
"0100",81,"synthetic",10,75
"0101",67,"synthetic",10,75
"0110",53,"synthetic",10,75
"0111",88,"synthetic",10,75
"1000",68,"synthetic",10,75
"1001",69,"synthetic",10,75
"1010",59,"synthetic",10,75
"1011",66,"synthetic",10,75
"1100",75,"synthetic",10,75
"1101",39,"synthetic",10,75
"1110",49,"synthetic",10,75
"1111",24,"synthetic",10,75
