"combine","Freq","type","n","cp"
"1011",57,"synthetic",1,"0.0001"
"1100",60,"synthetic",1,"0.0001"
"1101",55,"synthetic",1,"0.0001"
"1110",64,"synthetic",1,"0.0001"
"0000",68,"synthetic",2,"0.0001"
"0001",68,"synthetic",2,"0.0001"
"0010",79,"synthetic",2,"0.0001"
"0011",57,"synthetic",2,"0.0001"
"0100",79,"synthetic",2,"0.0001"
"0101",53,"synthetic",2,"0.0001"
"0110",52,"synthetic",2,"0.0001"
"0111",78,"synthetic",2,"0.0001"
"1000",65,"synthetic",2,"0.0001"
"1001",54,"synthetic",2,"0.0001"
"1010",52,"synthetic",2,"0.0001"
"1011",91,"synthetic",2,"0.0001"
"1100",87,"synthetic",2,"0.0001"
"1101",61,"synthetic",2,"0.0001"
"1110",56,"synthetic",2,"0.0001"
"0000",77,"synthetic",3,"0.0001"
"0001",57,"synthetic",3,"0.0001"
"0010",63,"synthetic",3,"0.0001"
"0011",58,"synthetic",3,"0.0001"
"0100",77,"synthetic",3,"0.0001"
"0101",78,"synthetic",3,"0.0001"
"0110",63,"synthetic",3,"0.0001"
"0111",83,"synthetic",3,"0.0001"
"1000",69,"synthetic",3,"0.0001"
"1001",56,"synthetic",3,"0.0001"
"1010",59,"synthetic",3,"0.0001"
"1011",72,"synthetic",3,"0.0001"
"1100",69,"synthetic",3,"0.0001"
"1101",53,"synthetic",3,"0.0001"
"1110",63,"synthetic",3,"0.0001"
"1111",3,"synthetic",3,"0.0001"
"0000",59,"synthetic",4,"0.0001"
"0001",57,"synthetic",4,"0.0001"
"0010",71,"synthetic",4,"0.0001"
"0011",82,"synthetic",4,"0.0001"
"0100",64,"synthetic",4,"0.0001"
"0101",62,"synthetic",4,"0.0001"
"0110",63,"synthetic",4,"0.0001"
"0111",84,"synthetic",4,"0.0001"
"1000",84,"synthetic",4,"0.0001"
"1001",61,"synthetic",4,"0.0001"
"1010",54,"synthetic",4,"0.0001"
"1011",63,"synthetic",4,"0.0001"
"1100",72,"synthetic",4,"0.0001"
"1101",55,"synthetic",4,"0.0001"
"1110",69,"synthetic",4,"0.0001"
"0000",60,"synthetic",5,"0.0001"
"0001",68,"synthetic",5,"0.0001"
"0010",99,"synthetic",5,"0.0001"
"0011",66,"synthetic",5,"0.0001"
"0100",63,"synthetic",5,"0.0001"
"0101",81,"synthetic",5,"0.0001"
"0110",58,"synthetic",5,"0.0001"
"0111",59,"synthetic",5,"0.0001"
"1000",76,"synthetic",5,"0.0001"
"1001",49,"synthetic",5,"0.0001"
"1010",57,"synthetic",5,"0.0001"
"1011",61,"synthetic",5,"0.0001"
"1100",80,"synthetic",5,"0.0001"
"1101",53,"synthetic",5,"0.0001"
"1110",69,"synthetic",5,"0.0001"
"1111",1,"synthetic",5,"0.0001"
"0000",75,"synthetic",6,"0.0001"
"0001",72,"synthetic",6,"0.0001"
"0010",79,"synthetic",6,"0.0001"
"0011",76,"synthetic",6,"0.0001"
"0100",66,"synthetic",6,"0.0001"
"0101",56,"synthetic",6,"0.0001"
"0110",66,"synthetic",6,"0.0001"
"0111",60,"synthetic",6,"0.0001"
"1000",77,"synthetic",6,"0.0001"
"1001",71,"synthetic",6,"0.0001"
"1010",55,"synthetic",6,"0.0001"
"1011",64,"synthetic",6,"0.0001"
"1100",68,"synthetic",6,"0.0001"
"1101",53,"synthetic",6,"0.0001"
"1110",62,"synthetic",6,"0.0001"
"0000",63,"synthetic",7,"0.0001"
"0001",73,"synthetic",7,"0.0001"
"0010",83,"synthetic",7,"0.0001"
"0011",53,"synthetic",7,"0.0001"
"0100",70,"synthetic",7,"0.0001"
"0101",78,"synthetic",7,"0.0001"
"0110",59,"synthetic",7,"0.0001"
"0111",58,"synthetic",7,"0.0001"
"1000",76,"synthetic",7,"0.0001"
"1001",70,"synthetic",7,"0.0001"
"1010",60,"synthetic",7,"0.0001"
"1011",68,"synthetic",7,"0.0001"
"1100",76,"synthetic",7,"0.0001"
"1101",48,"synthetic",7,"0.0001"
"1110",64,"synthetic",7,"0.0001"
"1111",1,"synthetic",7,"0.0001"
"0000",75,"synthetic",8,"0.0001"
"0001",69,"synthetic",8,"0.0001"
"0010",86,"synthetic",8,"0.0001"
"0011",56,"synthetic",8,"0.0001"
"0100",71,"synthetic",8,"0.0001"
"0101",71,"synthetic",8,"0.0001"
"0110",50,"synthetic",8,"0.0001"
"0111",85,"synthetic",8,"0.0001"
"1000",67,"synthetic",8,"0.0001"
"1001",70,"synthetic",8,"0.0001"
"1010",41,"synthetic",8,"0.0001"
"1011",65,"synthetic",8,"0.0001"
"1100",82,"synthetic",8,"0.0001"
"1101",58,"synthetic",8,"0.0001"
"1110",54,"synthetic",8,"0.0001"
"0000",72,"synthetic",9,"0.0001"
"0001",56,"synthetic",9,"0.0001"
"0010",77,"synthetic",9,"0.0001"
"0011",69,"synthetic",9,"0.0001"
"0100",61,"synthetic",9,"0.0001"
"0101",71,"synthetic",9,"0.0001"
"0110",55,"synthetic",9,"0.0001"
"0111",76,"synthetic",9,"0.0001"
"1000",70,"synthetic",9,"0.0001"
"1001",62,"synthetic",9,"0.0001"
"1010",52,"synthetic",9,"0.0001"
"1011",72,"synthetic",9,"0.0001"
"1100",82,"synthetic",9,"0.0001"
"1101",61,"synthetic",9,"0.0001"
"1110",63,"synthetic",9,"0.0001"
"1111",1,"synthetic",9,"0.0001"
"0000",73,"synthetic",10,"0.0001"
"0001",61,"synthetic",10,"0.0001"
"0010",75,"synthetic",10,"0.0001"
"0011",65,"synthetic",10,"0.0001"
"0100",67,"synthetic",10,"0.0001"
"0101",63,"synthetic",10,"0.0001"
"0110",48,"synthetic",10,"0.0001"
"0111",84,"synthetic",10,"0.0001"
"1000",79,"synthetic",10,"0.0001"
"1001",57,"synthetic",10,"0.0001"
"1010",54,"synthetic",10,"0.0001"
"1011",66,"synthetic",10,"0.0001"
"1100",84,"synthetic",10,"0.0001"
"1101",62,"synthetic",10,"0.0001"
"1110",61,"synthetic",10,"0.0001"
"1111",1,"synthetic",10,"0.0001"
"0000",84,"synthetic",1,"0.01"
"0001",70,"synthetic",1,"0.01"
"0010",73,"synthetic",1,"0.01"
"0011",62,"synthetic",1,"0.01"
"0100",56,"synthetic",1,"0.01"
"0101",58,"synthetic",1,"0.01"
"0110",65,"synthetic",1,"0.01"
"0111",64,"synthetic",1,"0.01"
"1000",81,"synthetic",1,"0.01"
"1001",92,"synthetic",1,"0.01"
"1010",44,"synthetic",1,"0.01"
"1011",40,"synthetic",1,"0.01"
"1100",69,"synthetic",1,"0.01"
"1101",50,"synthetic",1,"0.01"
"1110",92,"synthetic",1,"0.01"
"0000",77,"synthetic",2,"0.01"
"0001",55,"synthetic",2,"0.01"
"0010",74,"synthetic",2,"0.01"
"0011",73,"synthetic",2,"0.01"
"0100",63,"synthetic",2,"0.01"
"0101",60,"synthetic",2,"0.01"
"0110",79,"synthetic",2,"0.01"
"0111",70,"synthetic",2,"0.01"
"1000",73,"synthetic",2,"0.01"
"1001",77,"synthetic",2,"0.01"
"1010",42,"synthetic",2,"0.01"
"1011",46,"synthetic",2,"0.01"
"1100",69,"synthetic",2,"0.01"
"1101",55,"synthetic",2,"0.01"
"1110",85,"synthetic",2,"0.01"
"1111",2,"synthetic",2,"0.01"
"0000",72,"synthetic",3,"0.01"
"0001",76,"synthetic",3,"0.01"
"0010",60,"synthetic",3,"0.01"
"0011",62,"synthetic",3,"0.01"
"0100",59,"synthetic",3,"0.01"
"0101",61,"synthetic",3,"0.01"
"0110",66,"synthetic",3,"0.01"
"0111",63,"synthetic",3,"0.01"
"1000",67,"synthetic",3,"0.01"
"1001",69,"synthetic",3,"0.01"
"1010",51,"synthetic",3,"0.01"
"1011",42,"synthetic",3,"0.01"
"1100",77,"synthetic",3,"0.01"
"1101",63,"synthetic",3,"0.01"
"1110",110,"synthetic",3,"0.01"
"1111",2,"synthetic",3,"0.01"
"0000",72,"synthetic",4,"0.01"
"0001",59,"synthetic",4,"0.01"
"0010",78,"synthetic",4,"0.01"
"0011",78,"synthetic",4,"0.01"
"0100",78,"synthetic",4,"0.01"
"0101",73,"synthetic",4,"0.01"
"0110",76,"synthetic",4,"0.01"
"0111",57,"synthetic",4,"0.01"
"1000",68,"synthetic",4,"0.01"
"1001",72,"synthetic",4,"0.01"
"1010",45,"synthetic",4,"0.01"
"1011",51,"synthetic",4,"0.01"
"1100",71,"synthetic",4,"0.01"
"1101",44,"synthetic",4,"0.01"
"1110",77,"synthetic",4,"0.01"
"1111",1,"synthetic",4,"0.01"
"0000",73,"synthetic",5,"0.01"
"0001",67,"synthetic",5,"0.01"
"0010",79,"synthetic",5,"0.01"
"0011",65,"synthetic",5,"0.01"
"0100",74,"synthetic",5,"0.01"
"0101",55,"synthetic",5,"0.01"
"0110",87,"synthetic",5,"0.01"
"0111",60,"synthetic",5,"0.01"
"1000",67,"synthetic",5,"0.01"
"1001",82,"synthetic",5,"0.01"
"1010",42,"synthetic",5,"0.01"
"1011",47,"synthetic",5,"0.01"
"1100",75,"synthetic",5,"0.01"
"1101",53,"synthetic",5,"0.01"
"1110",72,"synthetic",5,"0.01"
"1111",2,"synthetic",5,"0.01"
"0000",71,"synthetic",6,"0.01"
"0001",70,"synthetic",6,"0.01"
"0010",78,"synthetic",6,"0.01"
"0011",66,"synthetic",6,"0.01"
"0100",56,"synthetic",6,"0.01"
"0101",77,"synthetic",6,"0.01"
"0110",56,"synthetic",6,"0.01"
"0111",70,"synthetic",6,"0.01"
"1000",80,"synthetic",6,"0.01"
"1001",71,"synthetic",6,"0.01"
"1010",43,"synthetic",6,"0.01"
"1011",45,"synthetic",6,"0.01"
"1100",71,"synthetic",6,"0.01"
"1101",54,"synthetic",6,"0.01"
"1110",89,"synthetic",6,"0.01"
"1111",3,"synthetic",6,"0.01"
"0000",80,"synthetic",7,"0.01"
"0001",65,"synthetic",7,"0.01"
"0010",88,"synthetic",7,"0.01"
"0011",72,"synthetic",7,"0.01"
"0100",57,"synthetic",7,"0.01"
"0101",68,"synthetic",7,"0.01"
"0110",61,"synthetic",7,"0.01"
"0111",53,"synthetic",7,"0.01"
"1000",69,"synthetic",7,"0.01"
"1001",67,"synthetic",7,"0.01"
"1010",52,"synthetic",7,"0.01"
"1011",42,"synthetic",7,"0.01"
"1100",77,"synthetic",7,"0.01"
"1101",61,"synthetic",7,"0.01"
"1110",88,"synthetic",7,"0.01"
"0000",78,"synthetic",8,"0.01"
"0001",61,"synthetic",8,"0.01"
"0010",83,"synthetic",8,"0.01"
"0011",71,"synthetic",8,"0.01"
"0100",58,"synthetic",8,"0.01"
"0101",61,"synthetic",8,"0.01"
"0110",68,"synthetic",8,"0.01"
"0111",57,"synthetic",8,"0.01"
"1000",63,"synthetic",8,"0.01"
"1001",90,"synthetic",8,"0.01"
"1010",42,"synthetic",8,"0.01"
"1011",43,"synthetic",8,"0.01"
"1100",72,"synthetic",8,"0.01"
"1101",62,"synthetic",8,"0.01"
"1110",90,"synthetic",8,"0.01"
"1111",1,"synthetic",8,"0.01"
"0000",75,"synthetic",9,"0.01"
"0001",61,"synthetic",9,"0.01"
"0010",78,"synthetic",9,"0.01"
"0011",75,"synthetic",9,"0.01"
"0100",60,"synthetic",9,"0.01"
"0101",61,"synthetic",9,"0.01"
"0110",61,"synthetic",9,"0.01"
"0111",56,"synthetic",9,"0.01"
"1000",81,"synthetic",9,"0.01"
"1001",76,"synthetic",9,"0.01"
"1010",48,"synthetic",9,"0.01"
"1011",49,"synthetic",9,"0.01"
"1100",68,"synthetic",9,"0.01"
"1101",52,"synthetic",9,"0.01"
"1110",97,"synthetic",9,"0.01"
"1111",2,"synthetic",9,"0.01"
"0000",63,"synthetic",10,"0.01"
"0001",65,"synthetic",10,"0.01"
"0010",68,"synthetic",10,"0.01"
"0011",73,"synthetic",10,"0.01"
"0100",73,"synthetic",10,"0.01"
"0101",64,"synthetic",10,"0.01"
"0110",59,"synthetic",10,"0.01"
"0111",52,"synthetic",10,"0.01"
"1000",81,"synthetic",10,"0.01"
"1001",91,"synthetic",10,"0.01"
"1010",41,"synthetic",10,"0.01"
"1011",49,"synthetic",10,"0.01"
"1100",81,"synthetic",10,"0.01"
"1101",51,"synthetic",10,"0.01"
"1110",86,"synthetic",10,"0.01"
"1111",3,"synthetic",10,"0.01"
"0000",85,"synthetic",1,"0.05"
"0001",72,"synthetic",1,"0.05"
"0010",83,"synthetic",1,"0.05"
"0011",54,"synthetic",1,"0.05"
"0100",80,"synthetic",1,"0.05"
"0101",51,"synthetic",1,"0.05"
"0110",64,"synthetic",1,"0.05"
"0111",50,"synthetic",1,"0.05"
"1000",67,"synthetic",1,"0.05"
"1001",55,"synthetic",1,"0.05"
"1010",60,"synthetic",1,"0.05"
"1011",54,"synthetic",1,"0.05"
"1100",56,"synthetic",1,"0.05"
"1101",47,"synthetic",1,"0.05"
"1110",71,"synthetic",1,"0.05"
"1111",51,"synthetic",1,"0.05"
"0000",93,"synthetic",2,"0.05"
"0001",60,"synthetic",2,"0.05"
"0010",76,"synthetic",2,"0.05"
"0011",56,"synthetic",2,"0.05"
"0100",71,"synthetic",2,"0.05"
"0101",70,"synthetic",2,"0.05"
"0110",72,"synthetic",2,"0.05"
"0111",52,"synthetic",2,"0.05"
"1000",60,"synthetic",2,"0.05"
"1001",59,"synthetic",2,"0.05"
"1010",60,"synthetic",2,"0.05"
"1011",69,"synthetic",2,"0.05"
"1100",57,"synthetic",2,"0.05"
"1101",48,"synthetic",2,"0.05"
"1110",52,"synthetic",2,"0.05"
"1111",45,"synthetic",2,"0.05"
"0000",70,"synthetic",3,"0.05"
"0001",75,"synthetic",3,"0.05"
"0010",65,"synthetic",3,"0.05"
"0011",60,"synthetic",3,"0.05"
"0100",79,"synthetic",3,"0.05"
"0101",69,"synthetic",3,"0.05"
"0110",51,"synthetic",3,"0.05"
"0111",44,"synthetic",3,"0.05"
"1000",73,"synthetic",3,"0.05"
"1001",67,"synthetic",3,"0.05"
"1010",58,"synthetic",3,"0.05"
"1011",49,"synthetic",3,"0.05"
"1100",72,"synthetic",3,"0.05"
"1101",55,"synthetic",3,"0.05"
"1110",61,"synthetic",3,"0.05"
"1111",52,"synthetic",3,"0.05"
"0000",81,"synthetic",4,"0.05"
"0001",61,"synthetic",4,"0.05"
"0010",80,"synthetic",4,"0.05"
"0011",60,"synthetic",4,"0.05"
"0100",89,"synthetic",4,"0.05"
"0101",55,"synthetic",4,"0.05"
"0110",55,"synthetic",4,"0.05"
"0111",51,"synthetic",4,"0.05"
"1000",78,"synthetic",4,"0.05"
"1001",66,"synthetic",4,"0.05"
"1010",67,"synthetic",4,"0.05"
"1011",41,"synthetic",4,"0.05"
"1100",70,"synthetic",4,"0.05"
"1101",56,"synthetic",4,"0.05"
"1110",45,"synthetic",4,"0.05"
"1111",45,"synthetic",4,"0.05"
"0000",105,"synthetic",5,"0.05"
"0001",66,"synthetic",5,"0.05"
"0010",78,"synthetic",5,"0.05"
"0011",48,"synthetic",5,"0.05"
"0100",69,"synthetic",5,"0.05"
"0101",57,"synthetic",5,"0.05"
"0110",59,"synthetic",5,"0.05"
"0111",52,"synthetic",5,"0.05"
"1000",77,"synthetic",5,"0.05"
"1001",55,"synthetic",5,"0.05"
"1010",66,"synthetic",5,"0.05"
"1011",58,"synthetic",5,"0.05"
"1100",68,"synthetic",5,"0.05"
"1101",39,"synthetic",5,"0.05"
"1110",62,"synthetic",5,"0.05"
"1111",41,"synthetic",5,"0.05"
"0000",73,"synthetic",6,"0.05"
"0001",57,"synthetic",6,"0.05"
"0010",88,"synthetic",6,"0.05"
"0011",54,"synthetic",6,"0.05"
"0100",70,"synthetic",6,"0.05"
"0101",77,"synthetic",6,"0.05"
"0110",60,"synthetic",6,"0.05"
"0111",52,"synthetic",6,"0.05"
"1000",78,"synthetic",6,"0.05"
"1001",52,"synthetic",6,"0.05"
"1010",78,"synthetic",6,"0.05"
"1011",51,"synthetic",6,"0.05"
"1100",59,"synthetic",6,"0.05"
"1101",47,"synthetic",6,"0.05"
"1110",57,"synthetic",6,"0.05"
"1111",47,"synthetic",6,"0.05"
"0000",70,"synthetic",7,"0.05"
"0001",71,"synthetic",7,"0.05"
"0010",81,"synthetic",7,"0.05"
"0011",64,"synthetic",7,"0.05"
"0100",67,"synthetic",7,"0.05"
"0101",59,"synthetic",7,"0.05"
"0110",76,"synthetic",7,"0.05"
"0111",63,"synthetic",7,"0.05"
"1000",54,"synthetic",7,"0.05"
"1001",63,"synthetic",7,"0.05"
"1010",65,"synthetic",7,"0.05"
"1011",57,"synthetic",7,"0.05"
"1100",62,"synthetic",7,"0.05"
"1101",48,"synthetic",7,"0.05"
"1110",50,"synthetic",7,"0.05"
"1111",50,"synthetic",7,"0.05"
"0000",68,"synthetic",8,"0.05"
"0001",69,"synthetic",8,"0.05"
"0010",69,"synthetic",8,"0.05"
"0011",58,"synthetic",8,"0.05"
"0100",76,"synthetic",8,"0.05"
"0101",77,"synthetic",8,"0.05"
"0110",74,"synthetic",8,"0.05"
"0111",46,"synthetic",8,"0.05"
"1000",62,"synthetic",8,"0.05"
"1001",63,"synthetic",8,"0.05"
"1010",67,"synthetic",8,"0.05"
"1011",57,"synthetic",8,"0.05"
"1100",57,"synthetic",8,"0.05"
"1101",52,"synthetic",8,"0.05"
"1110",63,"synthetic",8,"0.05"
"1111",42,"synthetic",8,"0.05"
"0000",84,"synthetic",9,"0.05"
"0001",75,"synthetic",9,"0.05"
"0010",64,"synthetic",9,"0.05"
"0011",52,"synthetic",9,"0.05"
"0100",86,"synthetic",9,"0.05"
"0101",58,"synthetic",9,"0.05"
"0110",80,"synthetic",9,"0.05"
"0111",39,"synthetic",9,"0.05"
"1000",65,"synthetic",9,"0.05"
"1001",55,"synthetic",9,"0.05"
"1010",73,"synthetic",9,"0.05"
"1011",55,"synthetic",9,"0.05"
"1100",58,"synthetic",9,"0.05"
"1101",68,"synthetic",9,"0.05"
"1110",55,"synthetic",9,"0.05"
"1111",33,"synthetic",9,"0.05"
"0000",95,"synthetic",10,"0.05"
"0001",64,"synthetic",10,"0.05"
"0010",79,"synthetic",10,"0.05"
"0011",46,"synthetic",10,"0.05"
"0100",73,"synthetic",10,"0.05"
"0101",65,"synthetic",10,"0.05"
"0110",69,"synthetic",10,"0.05"
"0111",55,"synthetic",10,"0.05"
"1000",61,"synthetic",10,"0.05"
"1001",63,"synthetic",10,"0.05"
"1010",60,"synthetic",10,"0.05"
"1011",66,"synthetic",10,"0.05"
"1100",60,"synthetic",10,"0.05"
"1101",59,"synthetic",10,"0.05"
"1110",43,"synthetic",10,"0.05"
"1111",42,"synthetic",10,"0.05"
