type,rows,cols,vals,n,duration,epochs
ctgan,1000,20,15,1,4.396644115447998,40.0
ctgan,1000,20,15,1,5.665694952011108,50.0
ctgan,1000,20,15,1,8.140918970108032,75.0
ctgan,1000,20,15,1,10.710139989852905,100.0
ctgan,1000,20,15,1,33.557557106018066,300.0
ctgan,1000,20,20,1,1.5049028396606445,10.0
ctgan,1000,20,20,1,2.748128890991211,20.0
ctgan,1000,20,20,1,4.198071002960205,30.0
ctgan,1000,20,20,1,5.48075008392334,40.0
ctgan,1000,20,20,1,6.6924989223480225,50.0
ctgan,1000,20,20,1,10.492687702178955,75.0
ctgan,1000,20,20,1,14.081363201141357,100.0
ctgan,1000,20,20,1,40.70589303970337,300.0
ctgan,5000,10,5,1,2.465420961380005,10.0
ctgan,5000,10,5,1,5.514837026596069,20.0
ctgan,5000,10,5,1,7.450469017028809,30.0
ctgan,5000,10,5,1,9.504425048828125,40.0
ctgan,5000,10,5,1,12.120803117752075,50.0
ctgan,5000,10,5,1,19.00126004219055,75.0
ctgan,5000,10,5,1,24.319980144500732,100.0
ctgan,5000,10,5,1,71.7244119644165,300.0
ctgan,5000,10,10,1,2.9047768115997314,10.0
ctgan,5000,10,10,1,5.821390151977539,20.0
ctgan,5000,10,10,1,8.487903356552124,30.0
ctgan,5000,10,10,1,11.417578935623169,40.0
ctgan,5000,10,10,1,13.781223058700562,50.0
ctgan,5000,10,10,1,20.752943754196167,75.0
ctgan,5000,10,10,1,27.881049871444702,100.0
ctgan,5000,10,10,1,81.94773006439209,300.0
ctgan,5000,10,15,1,3.3395400047302246,10.0
ctgan,5000,10,15,1,6.66335391998291,20.0
ctgan,5000,10,15,1,9.76640510559082,30.0
ctgan,5000,10,15,1,14.13543701171875,40.0
ctgan,5000,10,15,1,16.70494794845581,50.0
ctgan,5000,10,15,1,24.16803503036499,75.0
ctgan,5000,10,15,1,31.895872116088867,100.0
ctgan,5000,10,15,1,93.91668200492859,300.0
ctgan,5000,10,20,1,3.780247688293457,10.0
ctgan,5000,10,20,1,7.4295430183410645,20.0
ctgan,5000,10,20,1,11.15758991241455,30.0
ctgan,5000,10,20,1,14.370341062545776,40.0
ctgan,5000,10,20,1,17.531649827957153,50.0
ctgan,5000,10,20,1,27.52890133857727,75.0
ctgan,5000,10,20,1,37.35858607292175,100.0
ctgan,5000,10,20,1,108.59729671478271,300.0
ctgan,5000,15,5,1,2.8494961261749268,10.0
ctgan,5000,15,5,1,5.373836994171143,20.0
ctgan,5000,15,5,1,7.7984960079193115,30.0
ctgan,5000,15,5,1,10.259506940841675,40.0
ctgan,5000,15,5,1,13.11569595336914,50.0
ctgan,5000,15,5,1,20.260475158691406,75.0
ctgan,5000,15,5,1,26.549073219299316,100.0
ctgan,5000,15,5,1,80.67558312416077,300.0
ctgan,5000,15,10,1,3.517577886581421,10.0
ctgan,5000,15,10,1,6.788960933685303,20.0
ctgan,5000,15,10,1,10.131857872009277,30.0
ctgan,5000,15,10,1,13.429122924804688,40.0
ctgan,5000,15,10,1,16.885994911193848,50.0
ctgan,5000,15,10,1,25.21335005760193,75.0
ctgan,5000,15,10,1,33.65569615364075,100.0
ctgan,5000,15,10,1,97.77448987960815,300.0
ctgan,5000,15,15,1,4.311304807662964,10.0
ctgan,5000,15,15,1,8.037769794464111,20.0
ctgan,5000,15,15,1,12.351184844970703,30.0
ctgan,5000,15,15,1,16.22329020500183,40.0
ctgan,5000,15,15,1,21.904932975769043,50.0
ctgan,5000,15,15,1,31.55135416984558,75.0
ctgan,5000,15,15,1,48.268373012542725,100.0
ctgan,5000,15,15,1,126.69439482688904,300.0
ctgan,5000,15,20,1,4.941176891326904,10.0
ctgan,5000,15,20,1,9.614591121673584,20.0
ctgan,5000,15,20,1,15.195802211761475,30.0
ctgan,5000,15,20,1,19.21895718574524,40.0
ctgan,5000,15,20,1,23.4949471950531,50.0
ctgan,5000,15,20,1,36.50159692764282,75.0
ctgan,5000,15,20,1,50.43179416656494,100.0
ctgan,5000,15,20,1,152.18503785133362,300.0
ctgan,5000,20,5,1,3.47704815864563,10.0
ctgan,5000,20,5,1,6.660751104354858,20.0
ctgan,5000,20,5,1,10.112274885177612,30.0
ctgan,5000,20,5,1,13.090574741363525,40.0
ctgan,5000,20,5,1,16.355679035186768,50.0
ctgan,5000,20,5,1,24.381419897079468,75.0
ctgan,5000,20,5,1,36.8664071559906,100.0
ctgan,5000,20,5,1,92.70796799659729,300.0
ctgan,5000,20,10,1,4.624752044677734,10.0
ctgan,5000,20,10,1,8.23718810081482,20.0
ctgan,5000,20,10,1,12.395295858383179,30.0
ctgan,5000,20,10,1,16.53256607055664,40.0
ctgan,5000,20,10,1,20.039836168289185,50.0
ctgan,5000,20,10,1,31.533479928970337,75.0
ctgan,5000,20,10,1,41.826406955718994,100.0
ctgan,5000,20,10,1,127.29504609107971,300.0
ctgan,5000,20,15,1,5.442259788513184,10.0
ctgan,5000,20,15,1,11.048853874206543,20.0
ctgan,5000,20,15,1,16.04228401184082,30.0
ctgan,5000,20,15,1,22.620676040649414,40.0
ctgan,5000,20,15,1,27.169443130493164,50.0
ctgan,5000,20,15,1,40.250808000564575,75.0
ctgan,5000,20,15,1,53.01411581039429,100.0
ctgan,5000,20,15,1,160.06411910057068,300.0
ctgan,5000,20,20,1,6.7232677936553955,10.0
ctgan,5000,20,20,1,13.306071043014526,20.0
ctgan,5000,20,20,1,19.811583042144775,30.0
ctgan,5000,20,20,1,26.472328901290894,40.0
ctgan,5000,20,20,1,35.89483189582825,50.0
ctgan,5000,20,20,1,53.60760307312012,75.0
ctgan,5000,20,20,1,68.780513048172,100.0
ctgan,5000,20,20,1,211.02477312088013,300.0
