sex,age,income,edu
MALE,25.0,1477.0,POST-SECONDARY OR HIGHER
MALE,58.0,1497.0,SECONDARY
FEMALE,40.0,1214.0,SECONDARY
FEMALE,57.0,1431.0,PRIMARY/NO EDUCATION
MALE,26.0,1220.0,POST-SECONDARY OR HIGHER
FEMALE,17.0,538.0,PRIMARY/NO EDUCATION
FEMALE,40.0,3042.0,PRIMARY/NO EDUCATION
MALE,40.0,1654.0,SECONDARY
MALE,42.0,867.0,SECONDARY
FEMALE,24.0,828.0,VOCATIONAL/GRAMMAR
MALE,29.0,2312.0,POST-SECONDARY OR HIGHER
MALE,59.0,168.0,PRIMARY/NO EDUCATION
FEMALE,32.0,,POST-SECONDARY OR HIGHER
MALE,29.0,4399.0,SECONDARY
MALE,63.0,1878.0,PRIMARY/NO EDUCATION
FEMALE,35.0,1104.0,SECONDARY
MALE,59.0,271.0,PRIMARY/NO EDUCATION
FEMALE,64.0,3087.0,POST-SECONDARY OR HIGHER
FEMALE,59.0,77.0,POST-SECONDARY OR HIGHER
MALE,52.0,2186.0,SECONDARY
MALE,47.0,1195.0,POST-SECONDARY OR HIGHER
MALE,79.0,1261.0,PRIMARY/NO EDUCATION
MALE,54.0,1969.0,PRIMARY/NO EDUCATION
FEMALE,59.0,1412.0,VOCATIONAL/GRAMMAR
FEMALE,30.0,1227.0,POST-SECONDARY OR HIGHER
FEMALE,55.0,1121.0,VOCATIONAL/GRAMMAR
FEMALE,33.0,1122.0,POST-SECONDARY OR HIGHER
FEMALE,17.0,,VOCATIONAL/GRAMMAR
MALE,25.0,1133.0,SECONDARY
FEMALE,51.0,,VOCATIONAL/GRAMMAR
MALE,43.0,3636.0,SECONDARY
FEMALE,18.0,187.0,VOCATIONAL/GRAMMAR
FEMALE,45.0,774.0,POST-SECONDARY OR HIGHER
MALE,64.0,4683.0,PRIMARY/NO EDUCATION
MALE,56.0,1062.0,POST-SECONDARY OR HIGHER
MALE,80.0,1218.0,PRIMARY/NO EDUCATION
FEMALE,36.0,511.0,POST-SECONDARY OR HIGHER
MALE,80.0,1187.0,PRIMARY/NO EDUCATION
FEMALE,52.0,1731.0,SECONDARY
FEMALE,38.0,507.0,POST-SECONDARY OR HIGHER
FEMALE,74.0,1326.0,VOCATIONAL/GRAMMAR
FEMALE,23.0,462.0,SECONDARY
FEMALE,50.0,2010.0,PRIMARY/NO EDUCATION
FEMALE,31.0,2769.0,SECONDARY
FEMALE,64.0,,POST-SECONDARY OR HIGHER
MALE,52.0,3176.0,SECONDARY
MALE,35.0,70.0,VOCATIONAL/GRAMMAR
FEMALE,60.0,701.0,PRIMARY/NO EDUCATION
MALE,39.0,1594.0,SECONDARY
FEMALE,50.0,2200.0,POST-SECONDARY OR HIGHER
MALE,19.0,360.0,VOCATIONAL/GRAMMAR
FEMALE,48.0,418.0,PRIMARY/NO EDUCATION
FEMALE,44.0,833.0,POST-SECONDARY OR HIGHER
FEMALE,60.0,757.0,SECONDARY
FEMALE,24.0,137.0,POST-SECONDARY OR HIGHER
FEMALE,47.0,1454.0,VOCATIONAL/GRAMMAR
MALE,26.0,1590.0,POST-SECONDARY OR HIGHER
FEMALE,19.0,,VOCATIONAL/GRAMMAR
FEMALE,36.0,,PRIMARY/NO EDUCATION
MALE,49.0,1502.0,VOCATIONAL/GRAMMAR
FEMALE,55.0,,VOCATIONAL/GRAMMAR
MALE,65.0,1302.0,PRIMARY/NO EDUCATION
FEMALE,25.0,114.0,SECONDARY
FEMALE,44.0,1267.0,SECONDARY
MALE,62.0,533.0,SECONDARY
MALE,60.0,,PRIMARY/NO EDUCATION
FEMALE,61.0,3137.0,VOCATIONAL/GRAMMAR
FEMALE,21.0,1342.0,SECONDARY
FEMALE,63.0,922.0,VOCATIONAL/GRAMMAR
MALE,32.0,2424.0,VOCATIONAL/GRAMMAR
FEMALE,67.0,2239.0,PRIMARY/NO EDUCATION
MALE,40.0,1074.0,VOCATIONAL/GRAMMAR
FEMALE,71.0,1862.0,SECONDARY
FEMALE,75.0,1873.0,VOCATIONAL/GRAMMAR
FEMALE,40.0,3132.0,SECONDARY
FEMALE,43.0,661.0,VOCATIONAL/GRAMMAR
MALE,39.0,3026.0,VOCATIONAL/GRAMMAR
FEMALE,67.0,1181.0,VOCATIONAL/GRAMMAR
MALE,42.0,5582.0,SECONDARY
FEMALE,22.0,455.0,VOCATIONAL/GRAMMAR
MALE,56.0,1503.0,SECONDARY
MALE,44.0,2367.0,SECONDARY
MALE,61.0,2074.0,SECONDARY
MALE,28.0,,POST-SECONDARY OR HIGHER
MALE,65.0,1267.0,PRIMARY/NO EDUCATION
MALE,25.0,3164.0,SECONDARY
FEMALE,70.0,817.0,PRIMARY/NO EDUCATION
FEMALE,23.0,1223.0,SECONDARY
FEMALE,32.0,1688.0,SECONDARY
FEMALE,44.0,1448.0,POST-SECONDARY OR HIGHER
FEMALE,87.0,1541.0,PRIMARY/NO EDUCATION
MALE,89.0,1241.0,SECONDARY
FEMALE,21.0,1032.0,SECONDARY
FEMALE,45.0,1514.0,SECONDARY
FEMALE,63.0,875.0,SECONDARY
MALE,62.0,624.0,SECONDARY
FEMALE,73.0,826.0,SECONDARY
FEMALE,42.0,1414.0,VOCATIONAL/GRAMMAR
FEMALE,53.0,,PRIMARY/NO EDUCATION
MALE,85.0,1403.0,SECONDARY
MALE,48.0,625.0,VOCATIONAL/GRAMMAR
MALE,53.0,2924.0,VOCATIONAL/GRAMMAR
FEMALE,42.0,938.0,VOCATIONAL/GRAMMAR
FEMALE,27.0,650.0,POST-SECONDARY OR HIGHER
FEMALE,64.0,972.0,VOCATIONAL/GRAMMAR
MALE,56.0,2256.0,VOCATIONAL/GRAMMAR
MALE,81.0,2895.0,
FEMALE,23.0,1467.0,POST-SECONDARY OR HIGHER
MALE,69.0,1223.0,VOCATIONAL/GRAMMAR
MALE,32.0,1604.0,POST-SECONDARY OR HIGHER
MALE,51.0,731.0,SECONDARY
FEMALE,56.0,2847.0,POST-SECONDARY OR HIGHER
FEMALE,30.0,1950.0,VOCATIONAL/GRAMMAR
MALE,58.0,1158.0,VOCATIONAL/GRAMMAR
MALE,27.0,1245.0,SECONDARY
FEMALE,46.0,618.0,SECONDARY
FEMALE,49.0,,POST-SECONDARY OR HIGHER
MALE,18.0,,VOCATIONAL/GRAMMAR
MALE,58.0,245.0,SECONDARY
MALE,59.0,5137.0,VOCATIONAL/GRAMMAR
FEMALE,59.0,145.0,VOCATIONAL/GRAMMAR
FEMALE,38.0,1177.0,VOCATIONAL/GRAMMAR
MALE,54.0,1414.0,VOCATIONAL/GRAMMAR
FEMALE,60.0,827.0,POST-SECONDARY OR HIGHER
MALE,82.0,1471.0,PRIMARY/NO EDUCATION
FEMALE,75.0,920.0,VOCATIONAL/GRAMMAR
FEMALE,48.0,1724.0,POST-SECONDARY OR HIGHER
FEMALE,43.0,162.0,SECONDARY
MALE,46.0,6188.0,POST-SECONDARY OR HIGHER
FEMALE,24.0,1342.0,PRIMARY/NO EDUCATION
FEMALE,37.0,671.0,POST-SECONDARY OR HIGHER
FEMALE,21.0,944.0,VOCATIONAL/GRAMMAR
MALE,20.0,1516.0,PRIMARY/NO EDUCATION
MALE,38.0,121.0,PRIMARY/NO EDUCATION
FEMALE,50.0,121.0,VOCATIONAL/GRAMMAR
FEMALE,17.0,329.0,VOCATIONAL/GRAMMAR
MALE,32.0,1061.0,POST-SECONDARY OR HIGHER
MALE,43.0,2201.0,POST-SECONDARY OR HIGHER
FEMALE,31.0,2134.0,SECONDARY
FEMALE,63.0,840.0,SECONDARY
FEMALE,70.0,,PRIMARY/NO EDUCATION
FEMALE,34.0,80.0,VOCATIONAL/GRAMMAR
FEMALE,63.0,1213.0,SECONDARY
FEMALE,48.0,876.0,SECONDARY
FEMALE,49.0,442.0,SECONDARY
FEMALE,17.0,,VOCATIONAL/GRAMMAR
FEMALE,66.0,1368.0,PRIMARY/NO EDUCATION
FEMALE,47.0,487.0,SECONDARY
FEMALE,46.0,1600.0,PRIMARY/NO EDUCATION
MALE,52.0,3943.0,POST-SECONDARY OR HIGHER
MALE,47.0,996.0,VOCATIONAL/GRAMMAR
FEMALE,50.0,358.0,VOCATIONAL/GRAMMAR
FEMALE,62.0,412.0,SECONDARY
FEMALE,43.0,,PRIMARY/NO EDUCATION
MALE,66.0,2375.0,PRIMARY/NO EDUCATION
MALE,27.0,239.0,POST-SECONDARY OR HIGHER
FEMALE,69.0,1319.0,SECONDARY
MALE,87.0,2264.0,PRIMARY/NO EDUCATION
FEMALE,78.0,1244.0,VOCATIONAL/GRAMMAR
FEMALE,45.0,,PRIMARY/NO EDUCATION
FEMALE,42.0,971.0,POST-SECONDARY OR HIGHER
FEMALE,26.0,3416.0,POST-SECONDARY OR HIGHER
MALE,43.0,97.0,POST-SECONDARY OR HIGHER
MALE,72.0,2179.0,VOCATIONAL/GRAMMAR
FEMALE,20.0,,SECONDARY
FEMALE,79.0,1189.0,SECONDARY
MALE,62.0,256.0,VOCATIONAL/GRAMMAR
FEMALE,50.0,1527.0,VOCATIONAL/GRAMMAR
FEMALE,56.0,152.0,PRIMARY/NO EDUCATION
FEMALE,36.0,,SECONDARY
MALE,40.0,1694.0,PRIMARY/NO EDUCATION
FEMALE,25.0,1289.0,POST-SECONDARY OR HIGHER
FEMALE,65.0,307.0,VOCATIONAL/GRAMMAR
FEMALE,71.0,1096.0,PRIMARY/NO EDUCATION
FEMALE,37.0,1264.0,SECONDARY
FEMALE,35.0,2080.0,SECONDARY
MALE,40.0,808.0,VOCATIONAL/GRAMMAR
FEMALE,62.0,71.0,SECONDARY
MALE,23.0,30.0,VOCATIONAL/GRAMMAR
MALE,82.0,3221.0,PRIMARY/NO EDUCATION
FEMALE,45.0,161.0,VOCATIONAL/GRAMMAR
FEMALE,27.0,1521.0,POST-SECONDARY OR HIGHER
FEMALE,44.0,53.0,VOCATIONAL/GRAMMAR
FEMALE,64.0,147.0,VOCATIONAL/GRAMMAR
FEMALE,55.0,,PRIMARY/NO EDUCATION
FEMALE,16.0,454.0,VOCATIONAL/GRAMMAR
MALE,61.0,1896.0,VOCATIONAL/GRAMMAR
MALE,63.0,5327.0,PRIMARY/NO EDUCATION
FEMALE,84.0,958.0,PRIMARY/NO EDUCATION
FEMALE,58.0,2945.0,SECONDARY
FEMALE,28.0,52.0,POST-SECONDARY OR HIGHER
FEMALE,73.0,1075.0,PRIMARY/NO EDUCATION
MALE,28.0,1134.0,SECONDARY
FEMALE,66.0,1284.0,PRIMARY/NO EDUCATION
MALE,37.0,2407.0,SECONDARY
FEMALE,70.0,818.0,PRIMARY/NO EDUCATION
FEMALE,18.0,,SECONDARY
MALE,52.0,84.0,VOCATIONAL/GRAMMAR
MALE,68.0,2074.0,POST-SECONDARY OR HIGHER
FEMALE,61.0,344.0,SECONDARY
FEMALE,46.0,1347.0,POST-SECONDARY OR HIGHER
FEMALE,67.0,1951.0,VOCATIONAL/GRAMMAR
MALE,26.0,798.0,SECONDARY
FEMALE,24.0,189.0,SECONDARY
MALE,29.0,738.0,POST-SECONDARY OR HIGHER
FEMALE,24.0,1459.0,POST-SECONDARY OR HIGHER
FEMALE,53.0,1394.0,SECONDARY
FEMALE,75.0,1046.0,PRIMARY/NO EDUCATION
MALE,55.0,1370.0,VOCATIONAL/GRAMMAR
MALE,40.0,1814.0,VOCATIONAL/GRAMMAR
MALE,52.0,1619.0,VOCATIONAL/GRAMMAR
MALE,40.0,5107.0,VOCATIONAL/GRAMMAR
FEMALE,40.0,546.0,POST-SECONDARY OR HIGHER
FEMALE,27.0,987.0,SECONDARY
FEMALE,51.0,2384.0,SECONDARY
MALE,63.0,2646.0,VOCATIONAL/GRAMMAR
MALE,76.0,492.0,PRIMARY/NO EDUCATION
FEMALE,64.0,877.0,PRIMARY/NO EDUCATION
FEMALE,27.0,863.0,POST-SECONDARY OR HIGHER
FEMALE,58.0,,POST-SECONDARY OR HIGHER
MALE,18.0,633.0,VOCATIONAL/GRAMMAR
FEMALE,21.0,1271.0,SECONDARY
FEMALE,47.0,877.0,VOCATIONAL/GRAMMAR
MALE,52.0,1106.0,PRIMARY/NO EDUCATION
FEMALE,61.0,495.0,SECONDARY
FEMALE,38.0,2236.0,POST-SECONDARY OR HIGHER
FEMALE,84.0,1944.0,SECONDARY
MALE,47.0,359.0,VOCATIONAL/GRAMMAR
MALE,21.0,1493.0,VOCATIONAL/GRAMMAR
FEMALE,51.0,2864.0,PRIMARY/NO EDUCATION
FEMALE,40.0,609.0,VOCATIONAL/GRAMMAR
MALE,81.0,1231.0,PRIMARY/NO EDUCATION
MALE,36.0,2147.0,VOCATIONAL/GRAMMAR
FEMALE,54.0,1438.0,VOCATIONAL/GRAMMAR
FEMALE,54.0,659.0,VOCATIONAL/GRAMMAR
MALE,22.0,,SECONDARY
FEMALE,58.0,139.0,VOCATIONAL/GRAMMAR
MALE,30.0,1356.0,PRIMARY/NO EDUCATION
MALE,37.0,563.0,VOCATIONAL/GRAMMAR
MALE,61.0,2740.0,SECONDARY
MALE,53.0,1035.0,POST-SECONDARY OR HIGHER
FEMALE,59.0,1758.0,PRIMARY/NO EDUCATION
FEMALE,32.0,745.0,POST-SECONDARY OR HIGHER
MALE,22.0,,VOCATIONAL/GRAMMAR
FEMALE,46.0,541.0,SECONDARY
MALE,22.0,2331.0,SECONDARY
MALE,45.0,3705.0,SECONDARY
MALE,76.0,1040.0,PRIMARY/NO EDUCATION
MALE,54.0,1419.0,POST-SECONDARY OR HIGHER
MALE,36.0,1485.0,VOCATIONAL/GRAMMAR
MALE,73.0,645.0,PRIMARY/NO EDUCATION
MALE,42.0,428.0,SECONDARY
FEMALE,62.0,1192.0,PRIMARY/NO EDUCATION
MALE,51.0,1448.0,POST-SECONDARY OR HIGHER
FEMALE,46.0,1358.0,VOCATIONAL/GRAMMAR
MALE,50.0,2460.0,VOCATIONAL/GRAMMAR
MALE,59.0,600.0,VOCATIONAL/GRAMMAR
MALE,56.0,,VOCATIONAL/GRAMMAR
FEMALE,20.0,,VOCATIONAL/GRAMMAR
MALE,39.0,647.0,PRIMARY/NO EDUCATION
FEMALE,42.0,1997.0,POST-SECONDARY OR HIGHER
MALE,73.0,970.0,SECONDARY
MALE,43.0,1955.0,PRIMARY/NO EDUCATION
FEMALE,61.0,,POST-SECONDARY OR HIGHER
MALE,45.0,390.0,POST-SECONDARY OR HIGHER
MALE,55.0,7056.0,VOCATIONAL/GRAMMAR
MALE,45.0,,POST-SECONDARY OR HIGHER
MALE,16.0,389.0,VOCATIONAL/GRAMMAR
MALE,30.0,1484.0,POST-SECONDARY OR HIGHER
FEMALE,71.0,1132.0,POST-SECONDARY OR HIGHER
FEMALE,42.0,935.0,POST-SECONDARY OR HIGHER
MALE,34.0,1120.0,SECONDARY
MALE,75.0,1432.0,PRIMARY/NO EDUCATION
FEMALE,59.0,1280.0,SECONDARY
FEMALE,22.0,1523.0,SECONDARY
FEMALE,62.0,560.0,VOCATIONAL/GRAMMAR
MALE,56.0,2150.0,VOCATIONAL/GRAMMAR
MALE,62.0,1532.0,PRIMARY/NO EDUCATION
MALE,35.0,567.0,POST-SECONDARY OR HIGHER
FEMALE,42.0,,POST-SECONDARY OR HIGHER
FEMALE,58.0,2029.0,PRIMARY/NO EDUCATION
FEMALE,61.0,686.0,PRIMARY/NO EDUCATION
MALE,40.0,2330.0,SECONDARY
FEMALE,19.0,,VOCATIONAL/GRAMMAR
FEMALE,60.0,1534.0,VOCATIONAL/GRAMMAR
MALE,62.0,173.0,PRIMARY/NO EDUCATION
MALE,47.0,2793.0,SECONDARY
MALE,25.0,1304.0,POST-SECONDARY OR HIGHER
MALE,54.0,1633.0,VOCATIONAL/GRAMMAR
FEMALE,29.0,323.0,POST-SECONDARY OR HIGHER
MALE,53.0,2077.0,VOCATIONAL/GRAMMAR
FEMALE,48.0,1465.0,VOCATIONAL/GRAMMAR
MALE,49.0,2427.0,VOCATIONAL/GRAMMAR
FEMALE,73.0,1850.0,PRIMARY/NO EDUCATION
MALE,69.0,1045.0,PRIMARY/NO EDUCATION
FEMALE,26.0,1723.0,SECONDARY
FEMALE,30.0,252.0,PRIMARY/NO EDUCATION
FEMALE,45.0,4787.0,PRIMARY/NO EDUCATION
MALE,32.0,385.0,PRIMARY/NO EDUCATION
MALE,28.0,,SECONDARY
MALE,29.0,1651.0,POST-SECONDARY OR HIGHER
FEMALE,42.0,621.0,VOCATIONAL/GRAMMAR
MALE,43.0,2382.0,POST-SECONDARY OR HIGHER
FEMALE,28.0,1530.0,SECONDARY
MALE,22.0,480.0,PRIMARY/NO EDUCATION
FEMALE,60.0,1115.0,SECONDARY
FEMALE,50.0,1450.0,VOCATIONAL/GRAMMAR
MALE,75.0,451.0,SECONDARY
FEMALE,50.0,3336.0,POST-SECONDARY OR HIGHER
FEMALE,23.0,4526.0,SECONDARY
FEMALE,49.0,373.0,SECONDARY
FEMALE,23.0,1352.0,SECONDARY
FEMALE,57.0,957.0,VOCATIONAL/GRAMMAR
FEMALE,78.0,1025.0,PRIMARY/NO EDUCATION
FEMALE,32.0,1036.0,POST-SECONDARY OR HIGHER
MALE,24.0,1025.0,SECONDARY
FEMALE,23.0,,VOCATIONAL/GRAMMAR
MALE,24.0,1355.0,POST-SECONDARY OR HIGHER
MALE,61.0,1073.0,VOCATIONAL/GRAMMAR
FEMALE,21.0,,SECONDARY
FEMALE,39.0,2125.0,SECONDARY
FEMALE,36.0,,VOCATIONAL/GRAMMAR
MALE,39.0,2405.0,SECONDARY
FEMALE,19.0,12.0,VOCATIONAL/GRAMMAR
MALE,56.0,367.0,SECONDARY
FEMALE,49.0,726.0,VOCATIONAL/GRAMMAR
FEMALE,45.0,2431.0,VOCATIONAL/GRAMMAR
FEMALE,36.0,861.0,VOCATIONAL/GRAMMAR
FEMALE,77.0,1593.0,PRIMARY/NO EDUCATION
FEMALE,49.0,,VOCATIONAL/GRAMMAR
MALE,36.0,1842.0,SECONDARY
FEMALE,61.0,852.0,PRIMARY/NO EDUCATION
MALE,44.0,842.0,POST-SECONDARY OR HIGHER
FEMALE,54.0,1657.0,VOCATIONAL/GRAMMAR
FEMALE,29.0,1772.0,VOCATIONAL/GRAMMAR
MALE,25.0,2063.0,SECONDARY
MALE,23.0,20.0,SECONDARY
FEMALE,20.0,,VOCATIONAL/GRAMMAR
MALE,50.0,664.0,SECONDARY
MALE,48.0,,VOCATIONAL/GRAMMAR
FEMALE,26.0,,SECONDARY
FEMALE,30.0,,VOCATIONAL/GRAMMAR
MALE,35.0,746.0,VOCATIONAL/GRAMMAR
MALE,48.0,259.0,VOCATIONAL/GRAMMAR
MALE,64.0,1457.0,POST-SECONDARY OR HIGHER
FEMALE,36.0,,SECONDARY
MALE,19.0,479.0,SECONDARY
FEMALE,36.0,,POST-SECONDARY OR HIGHER
MALE,25.0,812.0,SECONDARY
FEMALE,87.0,2256.0,PRIMARY/NO EDUCATION
MALE,55.0,1573.0,VOCATIONAL/GRAMMAR
MALE,40.0,,POST-SECONDARY OR HIGHER
MALE,18.0,,VOCATIONAL/GRAMMAR
MALE,80.0,1379.0,PRIMARY/NO EDUCATION
MALE,78.0,575.0,PRIMARY/NO EDUCATION
FEMALE,31.0,1916.0,POST-SECONDARY OR HIGHER
FEMALE,60.0,1477.0,POST-SECONDARY OR HIGHER
FEMALE,56.0,813.0,SECONDARY
MALE,47.0,1878.0,VOCATIONAL/GRAMMAR
MALE,24.0,655.0,POST-SECONDARY OR HIGHER
MALE,17.0,,VOCATIONAL/GRAMMAR
MALE,63.0,1729.0,VOCATIONAL/GRAMMAR
FEMALE,21.0,144.0,SECONDARY
MALE,57.0,835.0,PRIMARY/NO EDUCATION
FEMALE,88.0,816.0,PRIMARY/NO EDUCATION
FEMALE,56.0,3103.0,SECONDARY
FEMALE,25.0,,POST-SECONDARY OR HIGHER
MALE,91.0,1409.0,POST-SECONDARY OR HIGHER
MALE,68.0,1228.0,SECONDARY
FEMALE,49.0,2269.0,POST-SECONDARY OR HIGHER
MALE,75.0,2515.0,PRIMARY/NO EDUCATION
FEMALE,57.0,2381.0,PRIMARY/NO EDUCATION
FEMALE,82.0,1370.0,PRIMARY/NO EDUCATION
FEMALE,44.0,647.0,POST-SECONDARY OR HIGHER
FEMALE,57.0,999.0,POST-SECONDARY OR HIGHER
MALE,81.0,808.0,POST-SECONDARY OR HIGHER
MALE,66.0,2883.0,SECONDARY
FEMALE,30.0,1393.0,VOCATIONAL/GRAMMAR
FEMALE,40.0,,VOCATIONAL/GRAMMAR
MALE,23.0,3136.0,SECONDARY
MALE,27.0,5714.0,POST-SECONDARY OR HIGHER
FEMALE,41.0,171.0,SECONDARY
FEMALE,73.0,483.0,SECONDARY
FEMALE,18.0,644.0,VOCATIONAL/GRAMMAR
FEMALE,59.0,,POST-SECONDARY OR HIGHER
FEMALE,18.0,,VOCATIONAL/GRAMMAR
MALE,16.0,,PRIMARY/NO EDUCATION
FEMALE,67.0,1030.0,PRIMARY/NO EDUCATION
MALE,57.0,2706.0,SECONDARY
FEMALE,65.0,1350.0,PRIMARY/NO EDUCATION
FEMALE,67.0,855.0,SECONDARY
MALE,39.0,1174.0,SECONDARY
MALE,45.0,1007.0,SECONDARY
MALE,71.0,819.0,SECONDARY
FEMALE,34.0,2686.0,PRIMARY/NO EDUCATION
FEMALE,18.0,,VOCATIONAL/GRAMMAR
FEMALE,39.0,2632.0,SECONDARY
MALE,79.0,2309.0,PRIMARY/NO EDUCATION
MALE,40.0,2846.0,VOCATIONAL/GRAMMAR
FEMALE,59.0,979.0,VOCATIONAL/GRAMMAR
FEMALE,34.0,4240.0,POST-SECONDARY OR HIGHER
MALE,55.0,1212.0,PRIMARY/NO EDUCATION
FEMALE,62.0,1584.0,PRIMARY/NO EDUCATION
MALE,49.0,1812.0,VOCATIONAL/GRAMMAR
FEMALE,59.0,1095.0,VOCATIONAL/GRAMMAR
FEMALE,19.0,,VOCATIONAL/GRAMMAR
MALE,56.0,82.0,VOCATIONAL/GRAMMAR
FEMALE,61.0,54.0,PRIMARY/NO EDUCATION
FEMALE,56.0,150.0,VOCATIONAL/GRAMMAR
FEMALE,80.0,1312.0,PRIMARY/NO EDUCATION
MALE,56.0,2141.0,POST-SECONDARY OR HIGHER
MALE,40.0,4653.0,VOCATIONAL/GRAMMAR
FEMALE,71.0,1454.0,PRIMARY/NO EDUCATION
FEMALE,19.0,,VOCATIONAL/GRAMMAR
FEMALE,55.0,211.0,POST-SECONDARY OR HIGHER
FEMALE,56.0,,VOCATIONAL/GRAMMAR
FEMALE,45.0,289.0,VOCATIONAL/GRAMMAR
MALE,68.0,1549.0,PRIMARY/NO EDUCATION
FEMALE,58.0,1212.0,PRIMARY/NO EDUCATION
FEMALE,56.0,,PRIMARY/NO EDUCATION
FEMALE,42.0,509.0,VOCATIONAL/GRAMMAR
FEMALE,64.0,1354.0,PRIMARY/NO EDUCATION
FEMALE,85.0,1531.0,POST-SECONDARY OR HIGHER
FEMALE,53.0,1121.0,SECONDARY
MALE,56.0,612.0,PRIMARY/NO EDUCATION
MALE,58.0,1949.0,VOCATIONAL/GRAMMAR
MALE,60.0,1066.0,PRIMARY/NO EDUCATION
MALE,40.0,1382.0,SECONDARY
FEMALE,47.0,1284.0,VOCATIONAL/GRAMMAR
FEMALE,59.0,,SECONDARY
MALE,33.0,240.0,VOCATIONAL/GRAMMAR
FEMALE,53.0,2864.0,VOCATIONAL/GRAMMAR
MALE,31.0,877.0,VOCATIONAL/GRAMMAR
FEMALE,32.0,724.0,VOCATIONAL/GRAMMAR
FEMALE,23.0,818.0,VOCATIONAL/GRAMMAR
FEMALE,19.0,49.0,VOCATIONAL/GRAMMAR
FEMALE,54.0,2150.0,SECONDARY
FEMALE,25.0,1421.0,POST-SECONDARY OR HIGHER
MALE,61.0,3941.0,PRIMARY/NO EDUCATION
MALE,22.0,1131.0,POST-SECONDARY OR HIGHER
FEMALE,43.0,,SECONDARY
FEMALE,56.0,,POST-SECONDARY OR HIGHER
FEMALE,52.0,1545.0,SECONDARY
FEMALE,50.0,1195.0,SECONDARY
FEMALE,57.0,65.0,VOCATIONAL/GRAMMAR
MALE,56.0,229.0,VOCATIONAL/GRAMMAR
MALE,68.0,1189.0,SECONDARY
FEMALE,77.0,2298.0,PRIMARY/NO EDUCATION
FEMALE,54.0,,SECONDARY
FEMALE,39.0,,VOCATIONAL/GRAMMAR
FEMALE,57.0,40.0,SECONDARY
FEMALE,80.0,426.0,SECONDARY
FEMALE,85.0,,PRIMARY/NO EDUCATION
MALE,23.0,432.0,SECONDARY
MALE,24.0,685.0,SECONDARY
MALE,77.0,1890.0,PRIMARY/NO EDUCATION
MALE,34.0,371.0,SECONDARY
MALE,65.0,1324.0,PRIMARY/NO EDUCATION
MALE,74.0,974.0,PRIMARY/NO EDUCATION
FEMALE,73.0,1301.0,SECONDARY
MALE,56.0,1953.0,VOCATIONAL/GRAMMAR
FEMALE,60.0,184.0,PRIMARY/NO EDUCATION
MALE,69.0,992.0,VOCATIONAL/GRAMMAR
FEMALE,44.0,1267.0,VOCATIONAL/GRAMMAR
MALE,41.0,2135.0,POST-SECONDARY OR HIGHER
FEMALE,61.0,1019.0,PRIMARY/NO EDUCATION
MALE,27.0,1101.0,SECONDARY
MALE,52.0,1565.0,POST-SECONDARY OR HIGHER
MALE,85.0,1069.0,PRIMARY/NO EDUCATION
MALE,44.0,2867.0,VOCATIONAL/GRAMMAR
FEMALE,46.0,1959.0,VOCATIONAL/GRAMMAR
MALE,48.0,1124.0,SECONDARY
