"epochs","discriminator","batch","frequency","copies","std_diff","ci_overlap"
"600","5","500","False","1",1.90483583344525,0.512930439097844
"900","1","1000","True","1",1.92710154043039,0.508376091223958
"300","1","1000","True","1",1.93874662421366,0.531104643479642
"300","5","500","False","1",2.04157068643142,0.5275077075579
"300","5","1000","True","1",2.10734651421103,0.461966103878464
"300","1","500","False","1",2.19219941216144,0.472497139707498
"600","1","500","False","1",2.31993268904164,0.407220972949271
"300","1","1000","False","1",2.38645989627445,0.409391032667826
"600","5","500","True","1",2.48092646957728,0.398336189865495
"900","5","500","True","1",2.50607594548773,0.417536595790488
"900","5","1000","False","1",2.57378754470969,0.446404952484101
