"names","Estimate","Std. Error","dep_var","data","epochs","discriminator","copies","frequency","batch"
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",600,10,5,"True",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",600,10,5,"True",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",600,10,5,"True",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",600,10,5,"True",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",600,10,5,"False",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",600,10,5,"False",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",600,10,5,"False",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",600,10,5,"False",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",900,1,5,"True",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",900,1,5,"True",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",900,1,5,"True",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",900,1,5,"True",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",900,1,5,"False",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",900,1,5,"False",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",900,1,5,"False",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",900,1,5,"False",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",900,1,5,"True",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",900,1,5,"True",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",900,1,5,"True",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",900,1,5,"True",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",900,1,5,"False",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",900,1,5,"False",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",900,1,5,"False",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",900,1,5,"False",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",900,5,5,"True",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",900,5,5,"True",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",900,5,5,"True",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",900,5,5,"True",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",900,5,5,"False",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",900,5,5,"False",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",900,5,5,"False",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",900,5,5,"False",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",900,5,5,"True",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",900,5,5,"True",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",900,5,5,"True",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",900,5,5,"True",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",900,5,5,"False",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",900,5,5,"False",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",900,5,5,"False",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",900,5,5,"False",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",900,10,5,"True",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",900,10,5,"True",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",900,10,5,"True",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",900,10,5,"True",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",900,10,5,"False",500
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",900,10,5,"False",500
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",900,10,5,"False",500
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",900,10,5,"False",500
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",900,10,5,"True",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",900,10,5,"True",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",900,10,5,"True",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",900,10,5,"True",1000
"(Intercept)",0.101570747142305,0.12819581900804,"var_1","ods",900,10,5,"False",1000
"var_2B",0.0577645741850422,0.126779496089202,"var_1","ods",900,10,5,"False",1000
"var_3B",-0.0903501614259586,0.126971104854358,"var_1","ods",900,10,5,"False",1000
"var_4B",0.0353251912329608,0.126994765032812,"var_1","ods",900,10,5,"False",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",300,1,5,"True",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",300,1,5,"True",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",300,1,5,"True",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",300,1,5,"True",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",300,1,5,"False",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",300,1,5,"False",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",300,1,5,"False",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",300,1,5,"False",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",300,1,5,"True",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",300,1,5,"True",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",300,1,5,"True",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",300,1,5,"True",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",300,1,5,"False",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",300,1,5,"False",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",300,1,5,"False",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",300,1,5,"False",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",300,5,5,"True",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",300,5,5,"True",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",300,5,5,"True",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",300,5,5,"True",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",300,5,5,"False",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",300,5,5,"False",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",300,5,5,"False",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",300,5,5,"False",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",300,5,5,"True",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",300,5,5,"True",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",300,5,5,"True",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",300,5,5,"True",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",300,5,5,"False",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",300,5,5,"False",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",300,5,5,"False",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",300,5,5,"False",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",300,10,5,"True",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",300,10,5,"True",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",300,10,5,"True",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",300,10,5,"True",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",300,10,5,"False",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",300,10,5,"False",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",300,10,5,"False",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",300,10,5,"False",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",300,10,5,"True",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",300,10,5,"True",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",300,10,5,"True",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",300,10,5,"True",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",300,10,5,"False",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",300,10,5,"False",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",300,10,5,"False",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",300,10,5,"False",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",600,1,5,"True",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",600,1,5,"True",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",600,1,5,"True",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",600,1,5,"True",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",600,1,5,"False",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",600,1,5,"False",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",600,1,5,"False",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",600,1,5,"False",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",600,1,5,"True",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",600,1,5,"True",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",600,1,5,"True",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",600,1,5,"True",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",600,1,5,"False",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",600,1,5,"False",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",600,1,5,"False",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",600,1,5,"False",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",600,5,5,"True",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",600,5,5,"True",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",600,5,5,"True",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",600,5,5,"True",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",600,5,5,"False",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",600,5,5,"False",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",600,5,5,"False",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",600,5,5,"False",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",600,5,5,"True",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",600,5,5,"True",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",600,5,5,"True",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",600,5,5,"True",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",600,5,5,"False",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",600,5,5,"False",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",600,5,5,"False",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",600,5,5,"False",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",600,10,5,"True",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",600,10,5,"True",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",600,10,5,"True",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",600,10,5,"True",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",600,10,5,"False",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",600,10,5,"False",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",600,10,5,"False",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",600,10,5,"False",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",600,10,5,"True",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",600,10,5,"True",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",600,10,5,"True",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",600,10,5,"True",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",600,10,5,"False",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",600,10,5,"False",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",600,10,5,"False",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",600,10,5,"False",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",900,1,5,"True",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",900,1,5,"True",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",900,1,5,"True",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",900,1,5,"True",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",900,1,5,"False",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",900,1,5,"False",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",900,1,5,"False",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",900,1,5,"False",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",900,1,5,"True",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",900,1,5,"True",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",900,1,5,"True",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",900,1,5,"True",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",900,1,5,"False",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",900,1,5,"False",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",900,1,5,"False",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",900,1,5,"False",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",900,5,5,"True",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",900,5,5,"True",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",900,5,5,"True",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",900,5,5,"True",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",900,5,5,"False",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",900,5,5,"False",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",900,5,5,"False",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",900,5,5,"False",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",900,5,5,"True",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",900,5,5,"True",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",900,5,5,"True",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",900,5,5,"True",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",900,5,5,"False",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",900,5,5,"False",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",900,5,5,"False",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",900,5,5,"False",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",900,10,5,"True",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",900,10,5,"True",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",900,10,5,"True",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",900,10,5,"True",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",900,10,5,"False",500
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",900,10,5,"False",500
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",900,10,5,"False",500
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",900,10,5,"False",500
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",900,10,5,"True",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",900,10,5,"True",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",900,10,5,"True",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",900,10,5,"True",1000
"(Intercept)",-0.0136996054789214,0.129910026807094,"var_2","ods",900,10,5,"False",1000
"var_1B",0.0577662652182845,0.126779349875633,"var_2","ods",900,10,5,"False",1000
"var_3B",-0.0237644648449166,0.126864714973761,"var_2","ods",900,10,5,"False",1000
"var_4B",0.0869731308788704,0.126829802153178,"var_2","ods",900,10,5,"False",1000
"(Intercept)",-0.150161841565976,0.127497692605768,"var_3","ods",300,1,5,"True",500
"var_1B",0.0903508613451583,0.126970836076838,"var_3","ods",300,1,5,"True",500
"var_2B",0.0237632768388441,0.12686477669972,"var_3","ods",300,1,5,"True",500
"var_4B",0.247712040923235,0.126828823665594,"var_3","ods",300,1,5,"True",500
"(Intercept)",-0.150161841565976,0.127497692605768,"var_3","ods",300,1,5,"False",500
"var_1B",0.0903508613451583,0.126970836076838,"var_3","ods",300,1,5,"False",500
"var_2B",0.0237632768388441,0.12686477669972,"var_3","ods",300,1,5,"False",500
"var_4B",0.247712040923235,0.126828823665594,"var_3","ods",300,1,5,"False",500
"(Intercept)",-0.150161841565976,0.127497692605768,"var_3","ods",300,1,5,"True",1000
"var_1B",0.0903508613451583,0.126970836076838,"var_3","ods",300,1,5,"True",1000
"var_2B",0.0237632768388441,0.12686477669972,"var_3","ods",300,1,5,"True",1000
"var_4B",0.247712040923235,0.126828823665594,"var_3","ods",300,1,5,"True",1000
"(Intercept)",-0.150161841565976,0.127497692605768,"var_3","ods",300,1,5,"False",1000
"var_1B",0.0903508613451583,0.126970836076838,"var_3","ods",300,1,5,"False",1000
"var_2B",0.0237632768388441,0.12686477669972,"var_3","ods",300,1,5,"False",1000
"var_4B",0.247712040923235,0.126828823665594,"var_3","ods",300,1,5,"False",1000
"(Intercept)",-0.150161841565976,0.127497692605768,"var_3","ods",300,5,5,"True",500
"var_1B",0.0903508613451583,0.126970836076838,"var_3","ods",300,5,5,"True",500
"var_2B",0.0237632768388441,0.12686477669972,"var_3","ods",300,5,5,"True",500
"var_4B",0.247712040923235,0.126828823665594,"var_3","ods",300,5,5,"True",500
"(Intercept)",-0.150161841565976,0.127497692605768,"var_3","ods",300,5,5,"False",500
"var_1B",0.0903508613451583,0.126970836076838,"var_3","ods",300,5,5,"False",500
"var_2B",0.0237632768388441,0.12686477669972,"var_3","ods",300,5,5,"False",500
"var_4B",0.247712040923235,0.126828823665594,"var_3","ods",300,5,5,"False",500
"(Intercept)",-0.150161841565976,0.127497692605768,"var_3","ods",300,5,5,"True",1000
"var_1B",0.0903508613451583,0.126970836076838,"var_3","ods",300,5,5,"True",1000
"var_2B",0.0237632768388441,0.12686477669972,"var_3","ods",300,5,5,"True",1000
"var_4B",0.247712040923235,0.126828823665594,"var_3","ods",300,5,5,"True",1000
"(Intercept)",-0.150161841565976,0.127497692605768,"var_3","ods",300,5,5,"False",1000
"var_1B",0.0903508613451583,0.126970836076838,"var_3","ods",300,5,5,"False",1000
"var_2B",0.0237632768388441,0.12686477669972,"var_3","ods",300,5,5,"False",1000
"var_4B",0.247712040923235,0.126828823665594,"var_3","ods",300,5,5,"False",1000
"(Intercept)",-0.150161841565976,0.127497692605768,"var_3","ods",300,10,5,"True",500
"var_1B",0.0903508613451583,0.126970836076838,"var_3","ods",300,10,5,"True",500
